accession	NCBI_COG	NCBI_COG_Description	PathwayID	Pathway	NCBI_COG_evalue
GCA_000008085-CALJACFG_00330	COG1094	rRNA_processing_protein_Krr1/Pno1,_contains_KH_domain	J	-	2.1e-20
GCA_000008085-CALJACFG_00340	-	-	-	-	-
GCA_000008085-CALJACFG_00350	-	-	-	-	-
GCA_000008085-CALJACFG_00360	-	-	-	-	-
GCA_000008085-CALJACFG_00370	-	-	-	-	-
GCA_000008085-CALJACFG_00380	-	-	-	-	-
GCA_000008085-CALJACFG_00390	COG1997	Ribosomal_protein_L37AE/L43A	J	Archaeal_ribosomal_proteins	1.1e-18
GCA_000008085-CALJACFG_00400	COG1958	Small_nuclear_ribonucleoprotein_(snRNP)_homolog	K	-	3.1e-14
GCA_000008085-CALJACFG_00410	COG2101	TATA-box_binding_protein_(TBP),_component_of_TFIID_and_TFIIIB	K	-	2e-51
GCA_000008085-CALJACFG_00420	-	-	-	-	-
GCA_000008085-CALJACFG_00430	COG0170	Dolichol_kinase	OM	-	6.3e-09
GCA_000008085-CALJACFG_00440	COG2317	Zn-dependent_carboxypeptidase,_M32_family	O	-	2e-172
GCA_000008085-CALJACFG_00450	COG4830	Ribosomal_protein_S26e	J	Archaeal_ribosomal_proteins	2.3e-09
GCA_000008085-CALJACFG_00460	COG3642	tRNA_A-37_threonylcarbamoyl_transferase_component_Bud32	J	tRNA_modification	1.5e-34
GCA_000008085-CALJACFG_00470	COG0550	DNA_topoisomerase_IA	L	-	1.2e-92
GCA_000008085-CALJACFG_00480	COG0476	Molybdopterin_or_thiamine_biosynthesis_adenylyltransferase	H	Molybdopterin_biosynthesis	1.5e-15
GCA_000008085-CALJACFG_00490	-	-	-	-	-
GCA_000008085-CALJACFG_00500	COG1708	Predicted_nucleotidyltransferase,_MJ0604_family	R	-	1.8e-15
GCA_000008085-CALJACFG_00510	COG1244	Archaeosine_formation_enzyme,_radical_SAM_superfamily	J	-	4e-55
GCA_000008085-CALJACFG_00520	COG1018	Flavodoxin/ferredoxin--NADP_reductase	C	-	1.3e-35
GCA_000008085-CALJACFG_00530	COG1503	Peptide_chain_release_factor_1_(eRF1)	J	Translation_factors	1.8e-102
GCA_000008085-CALJACFG_00540	COG2265	tRNA/tmRNA/rRNA_uracil-C5-methylase,_TrmA/RlmC/RlmD_family	J	tRNA_modification	2.1e-92
GCA_000008085-CALJACFG_00550	COG3431	Uncharacterized_membrane_protein,_DUF373_family	S	-	7.5e-21
GCA_000008085-CALJACFG_00560	COG0215	Cysteinyl-tRNA_synthetase	J	Aminoacyl-tRNA_synthetases	2e-156
GCA_000008085-CALJACFG_00570	COG1474	Cdc6-related_protein,_AAA_superfamily_ATPase	L	-	1.6e-63
GCA_000008085-CALJACFG_00580	-	-	-	-	-
GCA_000008085-CALJACFG_00590	COG0048	Ribosomal_protein_S12	J	Ribosome_30S_subunit	6.7e-31
GCA_000008085-CALJACFG_00600	COG1855	Predicted_ATPase,_PilT_family,_contains_N-terminal_PIN_domain	UW	-	2.8e-235
GCA_000008085-CALJACFG_00610	-	-	-	-	-
GCA_000008085-CALJACFG_00620	-	-	-	-	-
GCA_000008085-CALJACFG_00630	COG0472	UDP-N-acetylmuramyl_pentapeptide_phosphotransferase/UDP-N-acetylglucosamine-1-phosphate_transferase	M	Mureine_biosynthesis	4.3e-21
GCA_000008085-CALJACFG_00640	-	-	-	-	-
GCA_000008085-CALJACFG_00650	COG0164	Ribonuclease_HII	L	-	1.5e-38
GCA_000008085-CALJACFG_00660	COG1234	Ribonuclease_BN,_tRNA_processing_enzyme	J	-	2.4e-49
GCA_000008085-CALJACFG_00670	COG0089	Ribosomal_protein_L23	J	Ribosome_50S_subunit	1.5e-09
GCA_000008085-CALJACFG_00680	-	-	-	-	-
GCA_000008085-CALJACFG_00690	-	-	-	-	-
GCA_000008085-CALJACFG_00700	COG2248	Predicted_hydrolase,_metallo-beta-lactamase_superfamily	R	-	2.1e-73
GCA_000008085-CALJACFG_00710	COG0417	DNA_polymerase_B_elongation_subunit	L	-	1.3e-134
GCA_000008085-CALJACFG_00720	COG0100	Ribosomal_protein_S11	J	Ribosome_30S_subunit	2.8e-35
GCA_000008085-CALJACFG_00730	-	-	-	-	-
GCA_000008085-CALJACFG_00740	-	-	-	-	-
GCA_000008085-CALJACFG_00750	COG2112	Predicted_Ser/Thr_protein_kinase	T	-	2.3e-12
GCA_000008085-CALJACFG_00760	-	-	-	-	-
GCA_000008085-CALJACFG_00770	COG1326	Uncharacterized_archaeal_Zn-finger_protein	R	-	8.9e-06
GCA_000008085-CALJACFG_00780	COG0396	Fe-S_cluster_assembly_ATPase_SufC	O	-	1.8e-34
GCA_000008085-CALJACFG_00790	COG0256	Ribosomal_protein_L18	J	Ribosome_50S_subunit	1.6e-29
GCA_000008085-CALJACFG_00800	COG1782	Predicted_metal-dependent_RNase,_contains_metallo-beta-lactamase_and_KH_domains	R	-	1.4e-157
GCA_000008085-CALJACFG_00810	COG0334	Glutamate_dehydrogenase/leucine_dehydrogenase	E	Glutamine_biosynthesis	4.4e-146
GCA_000008085-CALJACFG_00820	COG0648	Endonuclease_IV	L	-	3.8e-56
GCA_000008085-CALJACFG_00830	COG1690	RNA-splicing_ligase_RtcB,_repairs_tRNA_damage	J	-	8.8e-146
GCA_000008085-CALJACFG_00840	COG1849	Uncharacterized_conserved_protein	S	-	3.4e-12
GCA_000008085-CALJACFG_00850	-	-	-	-	-
GCA_000008085-CALJACFG_00860	-	-	-	-	-
GCA_000008085-CALJACFG_00870	-	-	-	-	-
GCA_000008085-CALJACFG_00880	COG5256	Translation_elongation_factor_EF-1alpha_(GTPase)	J	Translation_factors	2e-193
GCA_000008085-CALJACFG_00890	COG0051	Ribosomal_protein_S10	J	Ribosome_30S_subunit	2.7e-27
GCA_000008085-CALJACFG_00900	COG2524	Predicted_transcriptional_regulator,_contains_C-terminal_CBS_domains	K	-	8.2e-13
GCA_000008085-CALJACFG_00910	-	-	-	-	-
GCA_000008085-CALJACFG_00920	-	-	-	-	-
GCA_000008085-CALJACFG_00930	COG0258	5'-3'_exonuclease_Xni/ExoIX_(flap_endonuclease)	L	-	1.9e-24
GCA_000008085-CALJACFG_00940	COG1384	Lysyl-tRNA_synthetase,_class_I	J	Aminoacyl-tRNA_synthetases	6.7e-144
GCA_000008085-CALJACFG_00950	-	-	-	-	-
GCA_000008085-CALJACFG_00960	COG2244	Membrane_protein_involved_in_the_export_of_O-antigen_and_teichoic_acid	M	-	1.6e-26
GCA_000008085-CALJACFG_00970	COG0244	Ribosomal_protein_L10	J	Ribosome_50S_subunit	4.3e-17
GCA_000008085-CALJACFG_00980	COG0093	Ribosomal_protein_L14	J	Ribosome_50S_subunit	1.3e-37
GCA_000008085-CALJACFG_00990	-	-	-	-	-
GCA_000008085-CALJACFG_01000	-	-	-	-	-
GCA_000008085-CALJACFG_01010	COG0094	Ribosomal_protein_L5	J	Ribosome_50S_subunit	1.6e-35
GCA_000008085-CALJACFG_01020	COG2013	AIM24_protein,_required_for_mitochondrial_respiration	C	-	6.9e-06
GCA_000008085-CALJACFG_01030	COG1444	tRNA(Met)_C34_N-acetyltransferase_TmcA	J	tRNA_modification	1.7e-69
GCA_000008085-CALJACFG_01040	COG1525	Endonuclease_YncB,_thermonuclease_family	L	-	6.5e-19
GCA_000008085-CALJACFG_01050	COG1378	Sugar-specific_transcriptional_regulator_TrmB	K	-	6.4e-55
GCA_000008085-CALJACFG_01060	-	-	-	-	-
GCA_000008085-CALJACFG_01070	-	-	-	-	-
GCA_000008085-CALJACFG_01080	COG0080	Ribosomal_protein_L11	J	Ribosome_50S_subunit	9.6e-40
GCA_000008085-CALJACFG_01090	COG1155	Archaeal/vacuolar-type_H+-ATPase_catalytic_subunit_A/Vma1	C	A/V-type_ATP_synthase	1.2e-251
GCA_000008085-CALJACFG_01100	COG0124	Histidyl-tRNA_synthetase	J	Aminoacyl-tRNA_synthetases	1.5e-107
GCA_000008085-CALJACFG_01110	-	-	-	-	-
GCA_000008085-CALJACFG_01120	COG2125	Ribosomal_protein_S6E_(S10)	J	Archaeal_ribosomal_proteins	1.4e-40
GCA_000008085-CALJACFG_01130	-	-	-	-	-
GCA_000008085-CALJACFG_01140	COG1537	Stalled_ribosome_rescue_protein_Dom34,_pelota_family	J	-	4.5e-45
GCA_000008085-CALJACFG_01150	COG1867	tRNA_G26_N,N-dimethylase_Trm1	J	tRNA_modification	9.6e-105
GCA_000008085-CALJACFG_01160	COG1750	Predicted_archaeal_serine_protease,_S18_family	R	-	3.4e-62
GCA_000008085-CALJACFG_01170	COG2123	Exosome_complex_RNA-binding_protein_Rrp42,_RNase_PH_superfamily	U	-	6e-64
GCA_000008085-CALJACFG_01180	COG1163	Ribosome-interacting_GTPase_RBG1	J	-	3.2e-90
GCA_000008085-CALJACFG_01190	COG1325	Exosome_subunit,_RNA_binding_protein_with_dsRBD_fold	U	-	2.5e-27
GCA_000008085-CALJACFG_01200	COG1078	HD_superfamily_phosphohydrolase	R	-	1.6e-77
GCA_000008085-CALJACFG_01210	COG0180	Tryptophanyl-tRNA_synthetase	J	Aminoacyl-tRNA_synthetases	7.6e-61
GCA_000008085-CALJACFG_01220	-	-	-	-	-
GCA_000008085-CALJACFG_01230	COG2404	Oligoribonuclease_NrnA/c-di-AMP_phosphodiesterase_DhhP,_DHH_superfamily	JT	-	1.6e-21
GCA_000008085-CALJACFG_01240	COG1936	Broad-specificity_NMP_kinase	F	-	1.1e-36
GCA_000008085-CALJACFG_01250	COG0455	MinD-like_ATPase_FlhG/YlxH,_activator_of_the_FlhF-type_GTPase	DN	-	1.7e-52
GCA_000008085-CALJACFG_01260	-	-	-	-	-
GCA_000008085-CALJACFG_01270	-	-	-	-	-
GCA_000008085-CALJACFG_01280	-	-	-	-	-
GCA_000008085-CALJACFG_01290	COG1234	Ribonuclease_BN,_tRNA_processing_enzyme	J	-	2.7e-35
GCA_000008085-CALJACFG_01300	COG0343	Queuine/archaeosine_tRNA-ribosyltransferase	J	tRNA_modification	1.1e-71
GCA_000008085-CALJACFG_01310	COG1889	Fibrillarin-like_rRNA_2'-O-methylase_NOP1	J	-	6.2e-91
GCA_000008085-CALJACFG_01320	COG0252	L-asparaginase/archaeal_Glu-tRNAGln_amidotransferase_subunit_D	JE	-	7.6e-68
GCA_000008085-CALJACFG_01330	COG1833	Uri_superfamily_endonuclease	R	-	1.6e-31
GCA_000008085-CALJACFG_01340	COG2192	Predicted_carbamoyl_transferase,_NodU_family	R	-	4.4e-156
GCA_000008085-CALJACFG_01350	COG1524	c-di-AMP_phosphodiesterase_AtaC_or_nucleotide_pyrophosphatase,_AlkP_superfamily	T	-	4.1e-24
GCA_000008085-CALJACFG_01360	COG0361	Translation_initiation_factor_IF-1	J	Translation_factors	1.6e-17
GCA_000008085-CALJACFG_01370	COG0719	Fe-S_cluster_assembly_scaffold_protein_SufB	O	-	6.7e-25
GCA_000008085-CALJACFG_01380	COG2178	Predicted_RNA-_or_ssDNA-binding_protein,_translin_family	R	-	2.7e-44
GCA_000008085-CALJACFG_01390	COG0206	Cell_division_GTPase_FtsZ	D	-	1.2e-114
GCA_000008085-CALJACFG_01400	-	-	-	-	-
GCA_000008085-CALJACFG_01410	-	-	-	-	-
GCA_000008085-CALJACFG_01420	-	-	-	-	-
GCA_000008085-CALJACFG_01430	-	-	-	-	-
GCA_000008085-CALJACFG_01440	-	-	-	-	-
GCA_000008085-CALJACFG_01450	-	-	-	-	-
GCA_000008085-CALJACFG_01460	-	-	-	-	-
GCA_000008085-CALJACFG_01470	-	-	-	-	-
GCA_000008085-CALJACFG_01480	COG0459	Chaperonin_GroEL_(HSP60_family)	O	-	3.8e-153
GCA_000008085-CALJACFG_01490	COG1389	DNA_topoisomerase_VI,_subunit_B	L	-	1.1e-186
GCA_000008085-CALJACFG_01500	COG1813	Archaeal_ribosome-binding_protein_aMBF1,_putative_translation_factor,_contains_Zn-ribbon_and_HTH_domains	J	-	2.3e-21
GCA_000008085-CALJACFG_01510	COG0088	Ribosomal_protein_L4	J	Ribosome_50S_subunit	2.2e-35
GCA_000008085-CALJACFG_01520	-	-	-	-	-
GCA_000008085-CALJACFG_01530	COG0432	Thiamin_phosphate_synthase_YjbQ,_UPF0047_family	H	-	4.3e-44
GCA_000008085-CALJACFG_01540	COG1032	Radical_SAM_superfamily_enzyme_YgiQ,_UPF0313_family	R	-	1e-53
GCA_000008085-CALJACFG_01550	COG2118	DNA-binding_TFAR19-related_protein,_PDSD5_family	R	-	2.7e-07
GCA_000008085-CALJACFG_01560	COG2019	Archaeal_adenylate_kinase	F	-	2.5e-37
GCA_000008085-CALJACFG_01570	-	-	-	-	-
GCA_000008085-CALJACFG_01580	COG1746	tRNA_nucleotidyltransferase_(CCA-adding_enzyme)	J	tRNA_modification	1.6e-86
GCA_000008085-CALJACFG_01590	-	-	-	-	-
GCA_000008085-CALJACFG_01600	-	-	-	-	-
GCA_000008085-CALJACFG_01610	COG1287	Asparagine_N-glycosylation_enzyme,_membrane_subunit_Stt3	O	-	3.2e-64
GCA_000008085-CALJACFG_01620	COG0085	DNA-directed_RNA_polymerase,_beta_subunit/140_kD_subunit	K	RNA_polymerase	3.5e-111
GCA_000008085-CALJACFG_01630	COG1084	GTP-binding_protein,_GTP1/Obg_family	R	-	2.2e-83
GCA_000008085-CALJACFG_01640	COG2411	Predicted_RNA-binding_protein,_contains_PUA-like_ASCH_domain	R	-	4.6e-39
GCA_000008085-CALJACFG_01650	-	-	-	-	-
GCA_000008085-CALJACFG_01660	COG1881	Uncharacterized_conserved_protein,_phosphatidylethanolamine-binding_protein_(PEBP)_family	R	-	8.6e-28
GCA_000008085-CALJACFG_01670	COG1300	Stage_II_sporulation_protein_SpoIIM,_component_of_the_engulfment_complex	D	-	1.9e-07
GCA_000008085-CALJACFG_01680	COG0628	Predicted_PurR-regulated_permease_PerM	R	-	7e-41
GCA_000008085-CALJACFG_01690	-	-	-	-	-
GCA_000008085-CALJACFG_01700	-	-	-	-	-
GCA_000008085-CALJACFG_01710	COG0530	Ca2+/Na+_antiporter	P	-	4.5e-09
GCA_000008085-CALJACFG_01720	-	-	-	-	-
GCA_000008085-CALJACFG_01730	COG2263	Predicted_RNA_methylase	R	-	8.9e-23
GCA_000008085-CALJACFG_01740	COG1394	Archaeal/vacuolar-type_H+-ATPase_subunit_D/Vma8	C	A/V-type_ATP_synthase	1.6e-39
GCA_000008085-CALJACFG_01750	COG0201	Preprotein_translocase_subunit_SecY	U	-	1.9e-50
GCA_000008085-CALJACFG_01760	COG0470	DNA_polymerase_III,_delta_prime_subunit	L	-	3.3e-112
GCA_000008085-CALJACFG_01770	COG0630	Type_IV_secretory_pathway_ATPase_VirB11/Archaellum_biosynthesis_ATPase_ArlI/FlaI	NU	-	9.4e-179
GCA_000008085-CALJACFG_01780	-	-	-	-	-
GCA_000008085-CALJACFG_01790	COG1215	Glycosyltransferase,_catalytic_subunit_of_cellulose_synthase_and_poly-beta-1,6-N-acetylglucosamine_synthase	N	-	4.8e-20
GCA_000008085-CALJACFG_01800	COG0085	DNA-directed_RNA_polymerase,_beta_subunit/140_kD_subunit	K	RNA_polymerase	3.5e-58
GCA_000008085-CALJACFG_01810	COG3127	Predicted_ABC-type_transport_system_involved_in_lysophospholipase_L1_biosynthesis,_permease_component	Q	-	6.8e-51
GCA_000008085-CALJACFG_01820	COG0467	RecA-superfamily_ATPase,_KaiC/GvpD/RAD55_family	T	-	1.2e-60
GCA_000008085-CALJACFG_01830	COG1998	Ribosomal_protein_S27AE	J	Archaeal_ribosomal_proteins	9.8e-24
GCA_000008085-CALJACFG_01840	COG0441	Threonyl-tRNA_synthetase	J	Aminoacyl-tRNA_synthetases	4.8e-93
GCA_000008085-CALJACFG_01850	COG2163	Ribosomal_protein_L14E/L6E/L27E	J	Ribosome_50S_subunit	1.7e-25
GCA_000008085-CALJACFG_01860	COG1911	Ribosomal_protein_L30E	J	Archaeal_ribosomal_proteins	2.4e-24
GCA_000008085-CALJACFG_01870	COG0195	Transcription_antitermination_factor_NusA,_contains_S1_and_KH_domains	K	-	4.3e-10
GCA_000008085-CALJACFG_01880	COG1761	DNA-directed_RNA_polymerase,_subunit_L/RPAC2	K	RNA_polymerase	1.6e-25
GCA_000008085-CALJACFG_01890	COG1632	Ribosomal_protein_L15E	J	Archaeal_ribosomal_proteins	1.4e-72
GCA_000008085-CALJACFG_01900	COG1631	Ribosomal_protein_L44E	J	Archaeal_ribosomal_proteins	1.1e-29
GCA_000008085-CALJACFG_01910	COG1097	Exosome_complex_RNA-binding_protein_Rrp4,_contains_S1_and_KH_domains	U	-	5.1e-46
GCA_000008085-CALJACFG_01920	COG0064	Asp-tRNAAsn/Glu-tRNAGln_amidotransferase_B_subunit	J	Aminoacyl-tRNA_synthetases	8.4e-117
GCA_000008085-CALJACFG_01930	COG1222	ATP-dependent_26S_proteasome_regulatory_subunit	O	-	2e-114
GCA_000008085-CALJACFG_01940	COG1848	VapC_family_ribonuclease,_toxin_component_of_the_VapBC_toxin-antitoxin_module,_contains_PIN_domain	V	-	4.6e-08
GCA_000008085-CALJACFG_01950	COG2238	Ribosomal_protein_S19E_(S16A)	J	Archaeal_ribosomal_proteins	7.7e-57
GCA_000008085-CALJACFG_01960	COG0115	Branched-chain_amino_acid_aminotransferase/4-amino-4-deoxychorismate_lyase	EH	Isoleucine,_leucine,_valine_biosynthesis	6.5e-57
GCA_000008085-CALJACFG_01970	COG4536	Mg2+_and_Co2+_transporter_CorB,_contains_DUF21,_CBS_pair,_and_CorC-HlyC_domains	P	-	4.3e-66
GCA_000008085-CALJACFG_01980	COG0678	Peroxiredoxin	O	-	4.8e-10
GCA_000008085-CALJACFG_01990	-	-	-	-	-
GCA_000008085-CALJACFG_02000	COG0077	Prephenate_dehydratase	E	Aromatic_amino_acid_biosynthesis	4.5e-78
GCA_000008085-CALJACFG_02010	-	-	-	-	-
GCA_000008085-CALJACFG_02020	-	-	-	-	-
GCA_000008085-CALJACFG_02030	-	-	-	-	-
GCA_000008085-CALJACFG_02040	COG0668	Small-conductance_mechanosensitive_channel	M	-	3.6e-70
GCA_000008085-CALJACFG_02050	COG0175	3'-phosphoadenosine_5'-phosphosulfate_sulfotransferase_(PAPS_reductase)/FAD_synthetase_or_related_enzyme	EH	Cysteine_biosynthesis	1.8e-13
GCA_000008085-CALJACFG_02060	COG1599	ssDNA-binding_replication_factor_A,_large_subunit	L	-	3.5e-20
GCA_000008085-CALJACFG_02070	-	-	-	-	-
GCA_000008085-CALJACFG_02080	COG2058	Ribosomal_protein_L12E/L44/L45/RPP1/RPP2	J	Archaeal_ribosomal_proteins	3.6e-31
GCA_000008085-CALJACFG_02090	COG0091	Ribosomal_protein_L22	J	Ribosome_50S_subunit	4.7e-15
GCA_000008085-CALJACFG_02100	COG0638	20S_proteasome,_alpha_and_beta_subunits	O	-	2.1e-46
GCA_000008085-CALJACFG_02110	COG1676	tRNA_splicing_endonuclease_subunit_SEN34	J	tRNA_modification	7.3e-38
GCA_000008085-CALJACFG_02120	COG1758	DNA-directed_RNA_polymerase,_subunit_K/omega	K	RNA_polymerase	7.6e-09
GCA_000008085-CALJACFG_02130	COG2016	Predicted_ribosome-associated_RNA-binding_protein_Tma20,_contains_PUA_domain	J	-	1e-35
GCA_000008085-CALJACFG_02140	COG0018	Arginyl-tRNA_synthetase	J	Aminoacyl-tRNA_synthetases	2e-118
GCA_000008085-CALJACFG_02150	COG0102	Ribosomal_protein_L13	J	Ribosome_50S_subunit	3.4e-27
GCA_000008085-CALJACFG_02160	COG1082	Sugar_phosphate_isomerase/epimerase	G	-	1.8e-09
GCA_000008085-CALJACFG_02170	COG0442	Prolyl-tRNA_synthetase	J	Aminoacyl-tRNA_synthetases	1.2e-103
GCA_000008085-CALJACFG_02180	COG1439	rRNA_maturation_endonuclease_Nob1	J	-	8.3e-25
GCA_000008085-CALJACFG_02190	COG0013	Alanyl-tRNA_synthetase	J	Aminoacyl-tRNA_synthetases	5.4e-84
GCA_000008085-CALJACFG_02200	COG0537	Purine_nucleoside_phosphoramidase/Ap4A_hydrolase,_histidine_triade_(HIT)_family	FR	-	1.8e-27
GCA_000008085-CALJACFG_02210	-	-	-	-	-
GCA_000008085-CALJACFG_02220	COG1361	S-layer_protein_MJ0795,_predicted_component_of_type_IV_pili-like_system	R	-	9.2e-11
GCA_000008085-CALJACFG_02230	-	-	-	-	-
GCA_000008085-CALJACFG_02240	-	-	-	-	-
GCA_000008085-CALJACFG_02250	COG0636	FoF1-type_ATP_synthase,_membrane_subunit_c/Archaeal/vacuolar-type_H+-ATPase,_subunit_K	C	FoF1-type_ATP_synthase	5.3e-24
GCA_000008085-CALJACFG_02260	-	-	-	-	-
GCA_000008085-CALJACFG_02270	COG2051	Ribosomal_protein_S27E	J	Archaeal_ribosomal_proteins	7.6e-18
GCA_000008085-CALJACFG_02280	COG2092	Translation_elongation_factor_EF-1beta	J	Translation_factors	3.6e-26
GCA_000008085-CALJACFG_02290	-	-	-	-	-
GCA_000008085-CALJACFG_02300	-	-	-	-	-
GCA_000008085-CALJACFG_02310	COG0010	Arginase/agmatinase_family_enzyme	E	Urea_cycle	1.1e-34
GCA_000008085-CALJACFG_02320	-	-	-	-	-
GCA_000008085-CALJACFG_02330	-	-	-	-	-
GCA_000008085-CALJACFG_02340	-	-	-	-	-
GCA_000008085-CALJACFG_02350	COG1736	Diphthamide_synthase_subunit_DPH2	J	-	2.5e-73
GCA_000008085-CALJACFG_02360	COG0199	Ribosomal_protein_S14	J	Ribosome_30S_subunit	6.7e-12
GCA_000008085-CALJACFG_02370	COG1522	DNA-binding_transcriptional_regulator,_Lrp_family	K	-	1.6e-22
GCA_000008085-CALJACFG_02380	COG2520	tRNA_G37_N-methylase_Trm5	J	tRNA_modification	2e-64
GCA_000008085-CALJACFG_02390	COG0060	Isoleucyl-tRNA_synthetase	J	Aminoacyl-tRNA_synthetases	8.9e-283
GCA_000008085-CALJACFG_02400	COG2093	RNA_polymerase_subunit_RPABC4/transcription_elongation_factor_Spt4	K	RNA_polymerase	8.9e-16
GCA_000008085-CALJACFG_02410	-	-	-	-	-
GCA_000008085-CALJACFG_02420	COG1721	Uncharacterized_conserved_protein,_DUF58_family,_contains_vWF_domain	S	-	6.9e-08
GCA_000008085-CALJACFG_02430	COG0714	MoxR-like_ATPase	R	Cobalamine/B12_biosynthesis	6e-74
GCA_000008085-CALJACFG_02440	COG1499	NMD_protein_affecting_ribosome_stability_and_mRNA_decay	J	-	1.5e-49
GCA_000008085-CALJACFG_02450	COG2959	Proteobacterial_HemX_domain,_involved_in_2-ketogluconate_production_(unrelated_to_B._subtilis_HemX,_COG0755,_no_evidence_of_involvement_in_heme_biosynthesis)	R	-	5.4e-08
GCA_000008085-CALJACFG_02460	-	-	-	-	-
GCA_000008085-CALJACFG_02470	COG2890	Methylase_of_polypeptide_chain_release_factors	J	-	5.6e-18
GCA_000008085-CALJACFG_02480	COG0495	Leucyl-tRNA_synthetase	J	Aminoacyl-tRNA_synthetases	5.9e-112
GCA_000008085-CALJACFG_02490	COG1311	Archaeal_DNA_polymerase_II,_small_subunit/DNA_polymerase_delta,_subunit_B	L	-	1.4e-144
GCA_000008085-CALJACFG_02500	COG0097	Ribosomal_protein_L6P/L9E	J	Ribosome_50S_subunit	5.4e-43
GCA_000008085-CALJACFG_02510	COG0049	Ribosomal_protein_S7	J	Ribosome_30S_subunit	1.6e-43
GCA_000008085-CALJACFG_02520	-	-	-	-	-
GCA_000008085-CALJACFG_02530	COG2511	Archaeal_Glu-tRNAGln_amidotransferase_subunit_E,_contains_GAD_domain	J	-	2.6e-118
GCA_000008085-CALJACFG_02540	COG1990	Peptidyl-tRNA_hydrolase	J	-	2e-36
GCA_000008085-CALJACFG_02550	-	-	-	-	-
GCA_000008085-CALJACFG_02560	COG0522	Ribosomal_protein_S4_or_related_protein	J	Ribosome_30S_subunit	9.3e-34
GCA_000008085-CALJACFG_02570	COG0689	Ribonuclease_PH	J	-	1.3e-55
GCA_000008085-CALJACFG_02580	-	-	-	-	-
GCA_000008085-CALJACFG_02590	-	-	-	-	-
