accession	KO_hmm	e_value	bit_score	bit_score_cutoff	Definition	confidence
GCA_000008085-CALJACFG_00580	-	-	-	-	-	-
GCA_000008085-CALJACFG_00590	K02973	2.4e-39	131.5	189.30	small_subunit_ribosomal_protein_S23e	-
GCA_000008085-CALJACFG_00600	K06865	1.2e-236	783.6	402.50	ATPase	high_score
GCA_000008085-CALJACFG_00610	-	-	-	-	-	-
GCA_000008085-CALJACFG_00620	-	-	-	-	-	-
GCA_000008085-CALJACFG_00630	K01001	1.2e-28	97.0	115.67	UDP-N-acetylglucosamine--dolichyl-phosphate_N-acetylglucosaminephosphotransferase_[EC:2.7.8.15]	-
GCA_000008085-CALJACFG_00640	-	-	-	-	-	-
GCA_000008085-CALJACFG_00650	K03470	1.4e-39	133.3	110.37	ribonuclease_HII_[EC:3.1.26.4]	high_score
GCA_000008085-CALJACFG_00660	K00784	7.9e-54	179.9	85.27	ribonuclease_Z_[EC:3.1.26.11]	high_score
GCA_000008085-CALJACFG_00670	K02893	1.3e-12	45.2	115.07	large_subunit_ribosomal_protein_L23Ae	-
GCA_000008085-CALJACFG_00680	-	-	-	-	-	-
GCA_000008085-CALJACFG_00690	-	-	-	-	-	-
GCA_000008085-CALJACFG_00700	K07022	8.2e-68	225.6	203.17	uncharacterized_protein	high_score
GCA_000008085-CALJACFG_00710	K02319	1.2e-144	480.4	548.60	DNA_polymerase,_archaea_type_[EC:2.7.7.7]	-
GCA_000008085-CALJACFG_00720	K02955	8.5e-46	152.3	212.63	small_subunit_ribosomal_protein_S14e	-
GCA_000008085-CALJACFG_00730	-	-	-	-	-	-
GCA_000008085-CALJACFG_00740	-	-	-	-	-	-
GCA_000008085-CALJACFG_00750	K07176	4.9e-16	55.4	117.40	putative_serine/threonine_protein_kinase	-
GCA_000008085-CALJACFG_00760	-	-	-	-	-	-
GCA_000008085-CALJACFG_00770	-	-	-	-	-	-
GCA_000008085-CALJACFG_00780	K09013	6e-32	107.8	156.70	Fe-S_cluster_assembly_ATP-binding_protein	-
GCA_000008085-CALJACFG_00790	K02932	1.9e-33	113.3	96.67	large_subunit_ribosomal_protein_L5e	high_score
GCA_000008085-CALJACFG_00800	K07041	1.1e-227	754.1	389.83	uncharacterized_protein	high_score
GCA_000008085-CALJACFG_00810	K00260	2.1e-159	527.9	623.50	glutamate_dehydrogenase_[EC:1.4.1.2]	-
GCA_000008085-CALJACFG_00820	K01151	4.5e-47	157.6	104.47	deoxyribonuclease_IV_[EC:3.1.21.2]	high_score
GCA_000008085-CALJACFG_00830	K14415	7.8e-156	516.3	242.20	tRNA-splicing_ligase_RtcB_(3'-phosphate/5'-hydroxy_nucleic_acid_ligase)_[EC:6.5.1.8]	high_score
GCA_000008085-CALJACFG_00840	K09728	3.7e-15	52.5	60.00	uncharacterized_protein	-
GCA_000008085-CALJACFG_00850	-	-	-	-	-	-
GCA_000008085-CALJACFG_00860	-	-	-	-	-	-
GCA_000008085-CALJACFG_00870	-	-	-	-	-	-
GCA_000008085-CALJACFG_00880	K03231	3e-159	527.6	429.47	elongation_factor_1-alpha	high_score
GCA_000008085-CALJACFG_00890	K02969	6.3e-18	62.1	117.63	small_subunit_ribosomal_protein_S20e	-
GCA_000008085-CALJACFG_00900	K04767	1.4e-12	44.6	129.73	acetoin_utilization_protein_AcuB	-
GCA_000008085-CALJACFG_00910	-	-	-	-	-	-
GCA_000008085-CALJACFG_00920	K14650	2.2e-06	24.0	115.13	transcription_initiation_factor_TFIID_subunit_3	-
GCA_000008085-CALJACFG_00930	K04799	6e-103	341.8	228.97	flap_endonuclease-1_[EC:3.-.-.-]	high_score
GCA_000008085-CALJACFG_00940	K04566	2e-126	419.5	77.47	lysyl-tRNA_synthetase,_class_I_[EC:6.1.1.6]	high_score
GCA_000008085-CALJACFG_00950	-	-	-	-	-	-
GCA_000008085-CALJACFG_00960	K03328	2.9e-20	69.9	189.03	polysaccharide_transporter,_PST_family	-
GCA_000008085-CALJACFG_00970	K02941	1.1e-27	93.9	189.87	large_subunit_ribosomal_protein_LP0	-
GCA_000008085-CALJACFG_00980	K02894	5.9e-34	114.0	173.70	large_subunit_ribosomal_protein_L23e	-
GCA_000008085-CALJACFG_00990	-	-	-	-	-	-
GCA_000008085-CALJACFG_01000	-	-	-	-	-	-
GCA_000008085-CALJACFG_01010	K02868	2.4e-47	157.7	218.27	large_subunit_ribosomal_protein_L11e	-
GCA_000008085-CALJACFG_01020	-	-	-	-	-	-
GCA_000008085-CALJACFG_01030	K06957	7.4e-59	196.7	464.27	tRNA(Met)_cytidine_acetyltransferase_[EC:2.3.1.193]	-
GCA_000008085-CALJACFG_01040	K01174	2.9e-20	69.5	72.70	micrococcal_nuclease_[EC:3.1.31.1]	-
GCA_000008085-CALJACFG_01050	K07725	2.7e-10	37.3	73.63	CRISPR-associated_protein_Csa3	-
GCA_000008085-CALJACFG_01060	-	-	-	-	-	-
GCA_000008085-CALJACFG_01070	-	-	-	-	-	-
GCA_000008085-CALJACFG_01080	K02867	1.9e-39	131.7	67.97	large_subunit_ribosomal_protein_L11	high_score
GCA_000008085-CALJACFG_01090	K02117	2.8e-248	822.0	816.27	V/A-type_H+/Na+-transporting_ATPase_subunit_A_[EC:7.1.2.2_7.2.2.1]	high_score
GCA_000008085-CALJACFG_01100	K01892	2.9e-102	339.7	252.40	histidyl-tRNA_synthetase_[EC:6.1.1.21]	high_score
GCA_000008085-CALJACFG_01110	-	-	-	-	-	-
GCA_000008085-CALJACFG_01120	K02991	1.3e-22	77.4	54.93	small_subunit_ribosomal_protein_S6e	high_score
GCA_000008085-CALJACFG_01130	-	-	-	-	-	-
GCA_000008085-CALJACFG_01140	K06965	4.3e-13	46.0	105.07	protein_pelota	-
GCA_000008085-CALJACFG_01150	K00555	4.7e-76	253.5	94.47	tRNA_(guanine26-N2/guanine27-N2)-dimethyltransferase_[EC:2.1.1.215_2.1.1.216]	high_score
GCA_000008085-CALJACFG_01160	K06870	5.3e-27	91.9	142.23	uncharacterized_protein	-
GCA_000008085-CALJACFG_01170	K12586	2.3e-31	106.2	239.50	exosome_complex_component_RRP43	-
GCA_000008085-CALJACFG_01180	K06944	2e-53	178.5	114.93	uncharacterized_protein	high_score
GCA_000008085-CALJACFG_01190	K07581	7.4e-26	87.6	73.43	RNA-binding_protein	high_score
GCA_000008085-CALJACFG_01200	K06885	2.7e-73	244.4	255.90	uncharacterized_protein	-
GCA_000008085-CALJACFG_01210	K01867	1.8e-59	199.0	132.27	tryptophanyl-tRNA_synthetase_[EC:6.1.1.2]	high_score
GCA_000008085-CALJACFG_01220	-	-	-	-	-	-
GCA_000008085-CALJACFG_01230	K07462	8.3e-19	64.7	64.50	single-stranded-DNA-specific_exonuclease_[EC:3.1.-.-]	high_score
GCA_000008085-CALJACFG_01240	K18532	3.7e-30	102.1	55.83	adenylate_kinase_[EC:2.7.4.3]	high_score
GCA_000008085-CALJACFG_01250	K03609	8.5e-57	189.9	187.53	septum_site-determining_protein_MinD	high_score
GCA_000008085-CALJACFG_01260	-	-	-	-	-	-
GCA_000008085-CALJACFG_01270	-	-	-	-	-	-
GCA_000008085-CALJACFG_01280	-	-	-	-	-	-
GCA_000008085-CALJACFG_01290	K00784	1e-24	84.4	85.27	ribonuclease_Z_[EC:3.1.26.11]	-
GCA_000008085-CALJACFG_01300	K18779	4.9e-131	434.5	374.97	7-cyano-7-deazaguanine_tRNA-ribosyltransferase_[EC:2.4.2.48]	high_score
GCA_000008085-CALJACFG_01310	K04795	4.9e-92	304.0	281.80	fibrillarin-like_pre-rRNA_processing_protein	high_score
GCA_000008085-CALJACFG_01320	K09482	5e-126	417.5	372.90	glutamyl-tRNA(Gln)_amidotransferase_subunit_D_[EC:6.3.5.7]	high_score
GCA_000008085-CALJACFG_01330	-	-	-	-	-	-
GCA_000008085-CALJACFG_01340	K00612	2.9e-150	498.9	317.77	carbamoyltransferase_[EC:2.1.3.-]	high_score
GCA_000008085-CALJACFG_01350	K18398	2.8e-14	49.3	534.20	ectonucleotide_pyrophosphatase/phosphodiesterase_family_member_5_[EC:3.1.-.-]	-
GCA_000008085-CALJACFG_01360	K03236	5.3e-19	65.6	58.43	translation_initiation_factor_1A	high_score
GCA_000008085-CALJACFG_01370	K07033	3.1e-44	148.5	422.17	uncharacterized_protein	-
GCA_000008085-CALJACFG_01380	K07477	1.2e-41	139.5	121.43	translin	high_score
GCA_000008085-CALJACFG_01390	K03531	2.5e-114	378.9	140.53	cell_division_protein_FtsZ	high_score
GCA_000008085-CALJACFG_01400	-	-	-	-	-	-
GCA_000008085-CALJACFG_01410	-	-	-	-	-	-
GCA_000008085-CALJACFG_01420	-	-	-	-	-	-
GCA_000008085-CALJACFG_01430	-	-	-	-	-	-
GCA_000008085-CALJACFG_01440	-	-	-	-	-	-
GCA_000008085-CALJACFG_01450	-	-	-	-	-	-
GCA_000008085-CALJACFG_01460	-	-	-	-	-	-
GCA_000008085-CALJACFG_01470	K11985	4.8e-06	23.3	70.23	TRAF-interacting_protein_[EC:2.3.2.27]	-
GCA_000008085-CALJACFG_01480	K22447	1.4e-248	822.8	589.77	archaeal_chaperonin	high_score
GCA_000008085-CALJACFG_01490	K03167	4.7e-181	600.0	119.30	DNA_topoisomerase_VI_subunit_B_[EC:5.6.2.2]	high_score
GCA_000008085-CALJACFG_01500	K03627	4.7e-17	59.4	44.27	putative_transcription_factor	high_score
GCA_000008085-CALJACFG_01510	K02930	7.4e-70	232.8	125.03	large_subunit_ribosomal_protein_L4e	high_score
GCA_000008085-CALJACFG_01520	-	-	-	-	-	-
GCA_000008085-CALJACFG_01530	-	-	-	-	-	-
GCA_000008085-CALJACFG_01540	K04034	1.4e-37	126.8	260.57	anaerobic_magnesium-protoporphyrin_IX_monomethyl_ester_cyclase_[EC:1.21.98.3]	-
GCA_000008085-CALJACFG_01550	K06875	1.9e-10	37.7	43.50	programmed_cell_death_protein_5	-
GCA_000008085-CALJACFG_01560	K18532	5e-11	39.8	55.83	adenylate_kinase_[EC:2.7.4.3]	-
GCA_000008085-CALJACFG_01570	-	-	-	-	-	-
GCA_000008085-CALJACFG_01580	K07558	7.9e-82	272.3	289.20	tRNA_nucleotidyltransferase_(CCA-adding_enzyme)_[EC:2.7.7.72]	-
GCA_000008085-CALJACFG_01590	-	-	-	-	-	-
GCA_000008085-CALJACFG_01600	-	-	-	-	-	-
GCA_000008085-CALJACFG_01610	K07151	3.9e-39	131.9	206.27	dolichyl-diphosphooligosaccharide---protein_glycosyltransferase_[EC:2.4.99.18]	-
GCA_000008085-CALJACFG_01620	K03044	2.3e-270	894.9	1054.50	DNA-directed_RNA_polymerase_subunit_B'_[EC:2.7.7.6]	-
GCA_000008085-CALJACFG_01630	K06943	4.5e-68	227.3	91.33	nucleolar_GTP-binding_protein	high_score
GCA_000008085-CALJACFG_01640	K09900	9.9e-07	26.0	49.20	uncharacterized_protein	-
GCA_000008085-CALJACFG_01650	-	-	-	-	-	-
GCA_000008085-CALJACFG_01660	K06910	3.1e-27	92.8	39.63	uncharacterized_protein	high_score
GCA_000008085-CALJACFG_01670	-	-	-	-	-	-
GCA_000008085-CALJACFG_01680	K03548	4.1e-15	53.2	187.90	putative_permease	-
GCA_000008085-CALJACFG_01690	-	-	-	-	-	-
GCA_000008085-CALJACFG_01700	-	-	-	-	-	-
GCA_000008085-CALJACFG_01710	K07301	8.8e-09	31.9	112.00	cation:H+_antiporter	-
GCA_000008085-CALJACFG_01720	-	-	-	-	-	-
GCA_000008085-CALJACFG_01730	K07579	7.7e-40	133.6	102.20	putative_methylase	high_score
GCA_000008085-CALJACFG_01740	K02120	7.3e-38	127.4	155.97	V/A-type_H+/Na+-transporting_ATPase_subunit_D	-
GCA_000008085-CALJACFG_01750	K03076	2.5e-51	171.8	228.30	preprotein_translocase_subunit_SecY	-
GCA_000008085-CALJACFG_01760	K04801	1.8e-144	477.5	370.70	replication_factor_C_small_subunit	high_score
GCA_000008085-CALJACFG_01770	K07332	1.1e-181	602.2	360.80	archaeal_flagellar_protein_FlaI	high_score
GCA_000008085-CALJACFG_01780	-	-	-	-	-	-
GCA_000008085-CALJACFG_01790	K19427	3.6e-23	79.6	282.43	glycosyltransferase_EpsJ_[EC:2.4.-.-]	-
GCA_000008085-CALJACFG_01800	K03045	1.3e-163	541.8	738.03	DNA-directed_RNA_polymerase_subunit_B"_[EC:2.7.7.6]	-
GCA_000008085-CALJACFG_01810	K05685	2.6e-57	191.4	458.33	macrolide_transport_system_ATP-binding/permease_protein_[EC:3.6.3.-]	-
GCA_000008085-CALJACFG_01820	K08482	2.5e-52	175.1	115.43	circadian_clock_protein_KaiC	high_score
GCA_000008085-CALJACFG_01830	K02977	6.1e-13	46.4	167.37	small_subunit_ribosomal_protein_S27Ae	-
GCA_000008085-CALJACFG_01840	K01868	5.8e-72	240.1	124.90	threonyl-tRNA_synthetase_[EC:6.1.1.3]	high_score
GCA_000008085-CALJACFG_01850	K02875	6.6e-20	68.5	44.90	large_subunit_ribosomal_protein_L14e	high_score
GCA_000008085-CALJACFG_01860	K02908	4.7e-18	61.8	47.87	large_subunit_ribosomal_protein_L30e	high_score
GCA_000008085-CALJACFG_01870	K02600	2.7e-11	39.8	36.63	transcription_termination/antitermination_protein_NusA	high_score
GCA_000008085-CALJACFG_01880	K03056	2e-25	85.3	83.23	DNA-directed_RNA_polymerase_subunit_L_[EC:2.7.7.6]	high_score
GCA_000008085-CALJACFG_01890	K02877	4.4e-52	173.7	102.90	large_subunit_ribosomal_protein_L15e	high_score
GCA_000008085-CALJACFG_01900	K02929	3.2e-16	56.9	36.07	large_subunit_ribosomal_protein_L44e	high_score
GCA_000008085-CALJACFG_01910	K03679	7.1e-22	74.9	98.40	exosome_complex_component_RRP4	-
GCA_000008085-CALJACFG_01920	K02434	1.9e-122	406.6	235.73	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln)_amidotransferase_subunit_B_[EC:6.3.5.6_6.3.5.7]	high_score
GCA_000008085-CALJACFG_01930	K03420	1.8e-153	508.4	503.20	proteasome_regulatory_subunit	high_score
GCA_000008085-CALJACFG_01940	K07064	1.1e-06	26.5	52.77	uncharacterized_protein	-
GCA_000008085-CALJACFG_01950	K02966	8.9e-44	145.8	53.37	small_subunit_ribosomal_protein_S19e	high_score
GCA_000008085-CALJACFG_01960	K00826	2.7e-68	227.7	176.40	branched-chain_amino_acid_aminotransferase_[EC:2.6.1.42]	high_score
GCA_000008085-CALJACFG_01970	K03699	1.6e-47	159.1	289.43	putative_hemolysin	-
GCA_000008085-CALJACFG_01980	K03386	1.6e-61	204.2	180.43	peroxiredoxin_(alkyl_hydroperoxide_reductase_subunit_C)_[EC:1.11.1.15]	high_score
GCA_000008085-CALJACFG_01990	-	-	-	-	-	-
GCA_000008085-CALJACFG_02000	K14170	2.3e-100	332.9	328.90	chorismate_mutase_/_prephenate_dehydratase_[EC:5.4.99.5_4.2.1.51]	high_score
GCA_000008085-CALJACFG_02010	K17248	5.6e-29	98.3	252.90	N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol_4-alpha-N-acetylgalactosaminyltransferase_[EC:2.4.1.291]	-
GCA_000008085-CALJACFG_02020	-	-	-	-	-	-
GCA_000008085-CALJACFG_02030	-	-	-	-	-	-
GCA_000008085-CALJACFG_02040	K16052	2.3e-102	340.5	213.67	MscS_family_membrane_protein	high_score
GCA_000008085-CALJACFG_02050	-	-	-	-	-	-
GCA_000008085-CALJACFG_02060	K06931	1.2e-06	25.2	259.43	uncharacterized_protein	-
GCA_000008085-CALJACFG_02070	-	-	-	-	-	-
GCA_000008085-CALJACFG_02080	K02869	1.8e-40	134.7	92.30	large_subunit_ribosomal_protein_L12	high_score
GCA_000008085-CALJACFG_02090	K02880	3.8e-19	65.9	140.03	large_subunit_ribosomal_protein_L17e	-
GCA_000008085-CALJACFG_02100	K03433	1.9e-54	181.4	185.00	proteasome_beta_subunit_[EC:3.4.25.1]	-
GCA_000008085-CALJACFG_02110	K01170	4.1e-34	114.8	80.47	tRNA-intron_endonuclease,_archaea_type_[EC:4.6.1.16]	high_score
GCA_000008085-CALJACFG_02120	K03055	1.3e-24	82.9	87.77	DNA-directed_RNA_polymerase_subunit_K_[EC:2.7.7.6]	-
GCA_000008085-CALJACFG_02130	K07575	2.9e-22	76.3	88.43	PUA_domain_protein	-
GCA_000008085-CALJACFG_02140	K01887	7.1e-124	411.7	58.17	arginyl-tRNA_synthetase_[EC:6.1.1.19]	high_score
GCA_000008085-CALJACFG_02150	K02872	1.2e-22	77.4	139.80	large_subunit_ribosomal_protein_L13Ae	-
GCA_000008085-CALJACFG_02160	K20478	1.5e-07	26.0	210.33	golgin_subfamily_B_member_1	-
GCA_000008085-CALJACFG_02170	K14163	9.8e-97	321.5	1201.50	bifunctional_glutamyl/prolyl-tRNA_synthetase_[EC:6.1.1.17_6.1.1.15]	-
GCA_000008085-CALJACFG_02180	K07060	4e-32	108.0	75.47	endoribonuclease_Nob1_[EC:3.1.-.-]	high_score
GCA_000008085-CALJACFG_02190	K01872	1.7e-67	225.5	179.77	alanyl-tRNA_synthetase_[EC:6.1.1.7]	high_score
GCA_000008085-CALJACFG_02200	K02503	5e-25	85.0	78.30	histidine_triad_(HIT)_family_protein	high_score
GCA_000008085-CALJACFG_02210	-	-	-	-	-	-
GCA_000008085-CALJACFG_02220	-	-	-	-	-	-
GCA_000008085-CALJACFG_02230	-	-	-	-	-	-
GCA_000008085-CALJACFG_02240	-	-	-	-	-	-
GCA_000008085-CALJACFG_02250	K02124	6.9e-24	81.2	57.30	V/A-type_H+/Na+-transporting_ATPase_subunit_K	high_score
GCA_000008085-CALJACFG_02260	-	-	-	-	-	-
GCA_000008085-CALJACFG_02270	K02978	1e-14	51.2	33.67	small_subunit_ribosomal_protein_S27e	high_score
GCA_000008085-CALJACFG_02280	K03232	1.6e-09	35.2	224.07	elongation_factor_1-beta	-
GCA_000008085-CALJACFG_02290	-	-	-	-	-	-
GCA_000008085-CALJACFG_02300	-	-	-	-	-	-
GCA_000008085-CALJACFG_02310	K01480	1.8e-33	113.3	175.33	agmatinase_[EC:3.5.3.11]	-
GCA_000008085-CALJACFG_02320	-	-	-	-	-	-
GCA_000008085-CALJACFG_02330	-	-	-	-	-	-
GCA_000008085-CALJACFG_02340	-	-	-	-	-	-
GCA_000008085-CALJACFG_02350	K07561	7.7e-41	137.3	193.47	2-(3-amino-3-carboxypropyl)histidine_synthase_[EC:2.5.1.108]	-
GCA_000008085-CALJACFG_02360	K02980	1e-16	57.6	77.90	small_subunit_ribosomal_protein_S29e	-
GCA_000008085-CALJACFG_02370	K03718	1.9e-34	115.4	137.20	Lrp/AsnC_family_transcriptional_regulator,_regulator_for_asnA,_asnC_and_gidA	-
GCA_000008085-CALJACFG_02380	K15429	4.9e-49	164.6	171.33	tRNA_(guanine37-N1)-methyltransferase_[EC:2.1.1.228]	-
GCA_000008085-CALJACFG_02390	K01870	1e-231	768.7	466.60	isoleucyl-tRNA_synthetase_[EC:6.1.1.5]	high_score
GCA_000008085-CALJACFG_02400	K03050	2.8e-24	81.6	70.43	DNA-directed_RNA_polymerase_subunit_E"_[EC:2.7.7.6]	high_score
GCA_000008085-CALJACFG_02410	-	-	-	-	-	-
GCA_000008085-CALJACFG_02420	-	-	-	-	-	-
GCA_000008085-CALJACFG_02430	K03924	3.7e-105	348.5	105.43	MoxR-like_ATPase_[EC:3.6.3.-]	high_score
GCA_000008085-CALJACFG_02440	K07562	4.4e-20	69.1	40.60	nonsense-mediated_mRNA_decay_protein_3	high_score
GCA_000008085-CALJACFG_02450	K10750	3.8e-08	29.8	97.63	chromatin_assembly_factor_1_subunit_A	-
GCA_000008085-CALJACFG_02460	-	-	-	-	-	-
GCA_000008085-CALJACFG_02470	K02493	1.7e-23	80.5	215.63	release_factor_glutamine_methyltransferase_[EC:2.1.1.297]	-
GCA_000008085-CALJACFG_02480	K01869	7.2e-109	362.3	370.53	leucyl-tRNA_synthetase_[EC:6.1.1.4]	-
GCA_000008085-CALJACFG_02490	K02323	9.1e-140	463.6	410.67	DNA_polymerase_II_small_subunit_[EC:2.7.7.7]	high_score
GCA_000008085-CALJACFG_02500	K02940	6e-36	120.8	193.70	large_subunit_ribosomal_protein_L9e	-
GCA_000008085-CALJACFG_02510	K02989	3.9e-48	160.5	237.70	small_subunit_ribosomal_protein_S5e	-
GCA_000008085-CALJACFG_02520	-	-	-	-	-	-
GCA_000008085-CALJACFG_02530	K03330	7.1e-130	431.2	299.60	glutamyl-tRNA(Gln)_amidotransferase_subunit_E_[EC:6.3.5.7]	high_score
GCA_000008085-CALJACFG_02540	K04794	1.2e-37	125.8	36.90	peptidyl-tRNA_hydrolase,_PTH2_family_[EC:3.1.1.29]	high_score
GCA_000008085-CALJACFG_02550	-	-	-	-	-	-
GCA_000008085-CALJACFG_02560	K02997	5e-36	121.0	170.33	small_subunit_ribosomal_protein_S9e	-
GCA_000008085-CALJACFG_02570	K11600	3.2e-54	181.2	204.03	exosome_complex_component_RRP41	-
GCA_000008085-CALJACFG_02580	-	-	-	-	-	-
GCA_000008085-CALJACFG_02590	-	-	-	-	-	-
GCA_000008085-CALJACFG_02600	K01873	9.7e-169	560.3	580.90	valyl-tRNA_synthetase_[EC:6.1.1.9]	-
GCA_000008085-CALJACFG_02610	-	-	-	-	-	-
GCA_000008085-CALJACFG_02620	-	-	-	-	-	-
GCA_000008085-CALJACFG_02630	K03546	1.4e-73	245.8	206.97	DNA_repair_protein_SbcC/Rad50	high_score
