accession	TIRGR	TIGR_description	EC	TIGR_Evalue
GCA_000008085-CALJACFG_01400	-	-	-	-
GCA_000008085-CALJACFG_01410	-	-	-	-
GCA_000008085-CALJACFG_01420	-	-	-	-
GCA_000008085-CALJACFG_01430	-	-	-	-
GCA_000008085-CALJACFG_01440	-	-	-	-
GCA_000008085-CALJACFG_01450	-	-	-	-
GCA_000008085-CALJACFG_01460	-	-	-	-
GCA_000008085-CALJACFG_01470	-	-	-	-
GCA_000008085-CALJACFG_01480	TIGR02339	thermosome,_various_subunits,_archaeal	-	1.9e-241
GCA_000008085-CALJACFG_01490	TIGR01052	DNA_topoisomerase_VI,_B_subunit	5.99.1.3	1.9e-154
GCA_000008085-CALJACFG_01500	TIGR00270	TIGR00270_family_protein	-	1.1e-28
GCA_000008085-CALJACFG_01510	TIGR03672	50S_ribosomal_protein_uL4	-	5.8e-100
GCA_000008085-CALJACFG_01520	-	-	-	-
GCA_000008085-CALJACFG_01530	TIGR00149	secondary_thiamine-phosphate_synthase_enzyme	-	1.2e-40
GCA_000008085-CALJACFG_01540	TIGR04013	B12-binding_domain/radical_SAM_domain_protein,_MJ_1487_family	-	1.6e-142
GCA_000008085-CALJACFG_01550	-	-	-	-
GCA_000008085-CALJACFG_01560	TIGR01359	UMP-CMP_kinase_family	2.7.4.-	1.5e-08
GCA_000008085-CALJACFG_01570	-	-	-	-
GCA_000008085-CALJACFG_01580	TIGR03671	CCA-adding_enzyme	2.7.7.25|2.7.7.21	8.4e-99
GCA_000008085-CALJACFG_01590	-	-	-	-
GCA_000008085-CALJACFG_01600	-	-	-	-
GCA_000008085-CALJACFG_01610	-	-	-	-
GCA_000008085-CALJACFG_01620	TIGR03670	DNA-directed_RNA_polymerase_subunit_B	2.7.7.6	5.9e-289
GCA_000008085-CALJACFG_01630	TIGR00231	small_GTP-binding_protein_domain	-	1.4e-14
GCA_000008085-CALJACFG_01640	-	-	-	-
GCA_000008085-CALJACFG_01650	-	-	-	-
GCA_000008085-CALJACFG_01660	TIGR00481	Raf_kinase_inhibitor-like_protein,_YbhB/YbcL_family	-	5.1e-19
GCA_000008085-CALJACFG_01670	-	-	-	-
GCA_000008085-CALJACFG_01680	TIGR02872	sporulation_integral_membrane_protein_YtvI	-	1.7e-21
GCA_000008085-CALJACFG_01690	-	-	-	-
GCA_000008085-CALJACFG_01700	-	-	-	-
GCA_000008085-CALJACFG_01710	-	-	-	-
GCA_000008085-CALJACFG_01720	-	-	-	-
GCA_000008085-CALJACFG_01730	TIGR00138	16S_rRNA_(guanine(527)-N(7))-methyltransferase_RsmG	2.1.1.170	1.9e-08
GCA_000008085-CALJACFG_01740	TIGR00309	V-type_ATPase,_D_subunit	3.6.3.14	8.7e-23
GCA_000008085-CALJACFG_01750	TIGR00967	preprotein_translocase,_SecY_subunit	-	1.8e-52
GCA_000008085-CALJACFG_01760	TIGR02397	DNA_polymerase_III,_subunit_gamma_and_tau	2.7.7.7	3.9e-38
GCA_000008085-CALJACFG_01770	TIGR03819	helicase/secretion_neighborhood_ATPase	-	7.4e-52
GCA_000008085-CALJACFG_01780	-	-	-	-
GCA_000008085-CALJACFG_01790	TIGR03937	poly-beta-1,6_N-acetyl-D-glucosamine_synthase	2.4.1.-	2.7e-14
GCA_000008085-CALJACFG_01800	TIGR02013	DNA-directed_RNA_polymerase,_beta_subunit	2.7.7.6	1.4e-24
GCA_000008085-CALJACFG_01810	TIGR03434	acidobacterial_duplicated_orphan_permease	-	1.1e-21
GCA_000008085-CALJACFG_01820	TIGR03877	KaiC_domain_protein,_Ph0284_family	-	3.4e-136
GCA_000008085-CALJACFG_01830	TIGR01384	transcription_factor_S	-	4.2e-07
GCA_000008085-CALJACFG_01840	TIGR00418	threonine--tRNA_ligase	6.1.1.3	1.3e-102
GCA_000008085-CALJACFG_01850	-	-	-	-
GCA_000008085-CALJACFG_01860	-	-	-	-
GCA_000008085-CALJACFG_01870	TIGR01952	NusA_family_KH_domain_protein,_archaeal	-	3.4e-17
GCA_000008085-CALJACFG_01880	-	-	-	-
GCA_000008085-CALJACFG_01890	-	-	-	-
GCA_000008085-CALJACFG_01900	-	-	-	-
GCA_000008085-CALJACFG_01910	TIGR03591	polyribonucleotide_nucleotidyltransferase	2.7.7.8	1e-08
GCA_000008085-CALJACFG_01920	TIGR00133	aspartyl/glutamyl-tRNA(Asn/Gln)_amidotransferase,_B_subunit	6.3.5.-	2.2e-110
GCA_000008085-CALJACFG_01930	TIGR01242	26S_proteasome_subunit_P45_family	-	7.6e-150
GCA_000008085-CALJACFG_01940	-	-	-	-
GCA_000008085-CALJACFG_01950	-	-	-	-
GCA_000008085-CALJACFG_01960	TIGR01122	branched-chain_amino_acid_aminotransferase	2.6.1.42	4.9e-97
GCA_000008085-CALJACFG_01970	TIGR03520	gliding_motility-associated_protein_GldE	-	1.7e-27
GCA_000008085-CALJACFG_01980	TIGR03137	peroxiredoxin	1.11.1.15	1.6e-29
GCA_000008085-CALJACFG_01990	-	-	-	-
GCA_000008085-CALJACFG_02000	TIGR01791	chorismate_mutase	5.4.99.5	8.6e-14
GCA_000008085-CALJACFG_02010	TIGR03999	N-acetyl-alpha-D-glucosaminyl_L-malate_synthase_BshA	2.4.1.-	2.6e-10
GCA_000008085-CALJACFG_02020	-	-	-	-
GCA_000008085-CALJACFG_02030	-	-	-	-
GCA_000008085-CALJACFG_02040	-	-	-	-
GCA_000008085-CALJACFG_02050	-	-	-	-
GCA_000008085-CALJACFG_02060	-	-	-	-
GCA_000008085-CALJACFG_02070	-	-	-	-
GCA_000008085-CALJACFG_02080	TIGR03685	50S_ribosomal_protein_P1	-	5.6e-41
GCA_000008085-CALJACFG_02090	TIGR01038	ribosomal_protein_uL22	-	9.9e-30
GCA_000008085-CALJACFG_02100	TIGR03634	proteasome_endopeptidase_complex,_archaeal,_beta_subunit	3.4.25.1	1.5e-67
GCA_000008085-CALJACFG_02110	TIGR00324	tRNA-intron_lyase	4.6.1.16	2.7e-28
GCA_000008085-CALJACFG_02120	-	-	-	-
GCA_000008085-CALJACFG_02130	TIGR03684	arCOG04150_universal_archaeal_PUA-domain_protein	-	6.9e-43
GCA_000008085-CALJACFG_02140	TIGR00456	arginine--tRNA_ligase	6.1.1.19	8.2e-104
GCA_000008085-CALJACFG_02150	TIGR01077	ribosomal_protein_uL13	-	5.6e-41
GCA_000008085-CALJACFG_02160	-	-	-	-
GCA_000008085-CALJACFG_02170	TIGR00408	proline--tRNA_ligase	6.1.1.15	8.4e-149
GCA_000008085-CALJACFG_02180	TIGR03875	RNA_ligase_partner,_MJ_0950_family	-	5.8e-06
GCA_000008085-CALJACFG_02190	TIGR03683	alanine--tRNA_ligase	6.1.1.7	4e-101
GCA_000008085-CALJACFG_02200	-	-	-	-
GCA_000008085-CALJACFG_02210	-	-	-	-
GCA_000008085-CALJACFG_02220	-	-	-	-
GCA_000008085-CALJACFG_02230	-	-	-	-
GCA_000008085-CALJACFG_02240	-	-	-	-
GCA_000008085-CALJACFG_02250	TIGR01260	ATP_synthase_F0,_C_subunit	3.6.3.14	3.9e-06
GCA_000008085-CALJACFG_02260	-	-	-	-
GCA_000008085-CALJACFG_02270	-	-	-	-
GCA_000008085-CALJACFG_02280	TIGR00489	translation_elongation_factor_aEF-1_beta	-	1.3e-20
GCA_000008085-CALJACFG_02290	-	-	-	-
GCA_000008085-CALJACFG_02300	-	-	-	-
GCA_000008085-CALJACFG_02310	TIGR01230	agmatinase	3.5.3.11	2.1e-23
GCA_000008085-CALJACFG_02320	-	-	-	-
GCA_000008085-CALJACFG_02330	-	-	-	-
GCA_000008085-CALJACFG_02340	-	-	-	-
GCA_000008085-CALJACFG_02350	TIGR03682	diphthamide_biosynthesis_enzyme_Dph2	-	2.3e-88
GCA_000008085-CALJACFG_02360	-	-	-	-
GCA_000008085-CALJACFG_02370	TIGR01884	CRISPR_locus-related_DNA-binding_protein	-	7.5e-07
GCA_000008085-CALJACFG_02380	-	-	-	-
GCA_000008085-CALJACFG_02390	TIGR00392	isoleucine--tRNA_ligase	6.1.1.5	3.5e-232
GCA_000008085-CALJACFG_02400	-	-	-	-
GCA_000008085-CALJACFG_02410	-	-	-	-
GCA_000008085-CALJACFG_02420	-	-	-	-
GCA_000008085-CALJACFG_02430	TIGR02031	magnesium_chelatase_ATPase_subunit_D	6.6.1.1	1e-13
GCA_000008085-CALJACFG_02440	-	-	-	-
GCA_000008085-CALJACFG_02450	-	-	-	-
GCA_000008085-CALJACFG_02460	-	-	-	-
GCA_000008085-CALJACFG_02470	TIGR00537	putative_methylase	-	5.3e-43
GCA_000008085-CALJACFG_02480	TIGR00395	leucine--tRNA_ligase	6.1.1.4	1.5e-230
GCA_000008085-CALJACFG_02490	-	-	-	-
GCA_000008085-CALJACFG_02500	TIGR03653	ribosomal_protein_uL6	-	8.5e-71
GCA_000008085-CALJACFG_02510	TIGR01028	ribosomal_protein_uS7	-	4e-74
GCA_000008085-CALJACFG_02520	-	-	-	-
GCA_000008085-CALJACFG_02530	TIGR00134	glutamyl-tRNA(Gln)_amidotransferase,_subunit_E	6.3.5.-	6.6e-112
GCA_000008085-CALJACFG_02540	TIGR00283	peptidyl-tRNA_hydrolase	3.1.1.29	1.7e-44
GCA_000008085-CALJACFG_02550	-	-	-	-
GCA_000008085-CALJACFG_02560	TIGR01018	ribosomal_protein_uS4	-	2.9e-62
GCA_000008085-CALJACFG_02570	TIGR02065	exosome_complex_exonuclease_1	3.1.13.-	3.7e-58
GCA_000008085-CALJACFG_02580	-	-	-	-
GCA_000008085-CALJACFG_02590	-	-	-	-
GCA_000008085-CALJACFG_02600	TIGR00422	valine--tRNA_ligase	6.1.1.9	1.2e-179
GCA_000008085-CALJACFG_02610	-	-	-	-
GCA_000008085-CALJACFG_02620	-	-	-	-
GCA_000008085-CALJACFG_02630	TIGR02169	chromosome_segregation_protein_SMC	-	2.7e-14
GCA_000008085-CALJACFG_02640	-	-	-	-
GCA_000008085-CALJACFG_02650	TIGR01080	ribosomal_protein_uL24	-	1.2e-34
GCA_000008085-CALJACFG_02660	-	-	-	-
GCA_000008085-CALJACFG_02670	-	-	-	-
GCA_000008085-CALJACFG_02680	-	-	-	-
GCA_000008085-CALJACFG_02690	-	-	-	-
GCA_000008085-CALJACFG_02700	-	-	-	-
GCA_000008085-CALJACFG_02710	TIGR00012	ribosomal_protein_uL29	-	2.6e-13
GCA_000008085-CALJACFG_02720	TIGR01158	putative_translation_initiation_factor_SUI1	-	1.9e-19
GCA_000008085-CALJACFG_02730	TIGR01041	ATP_synthase_archaeal,_B_subunit	3.6.3.14	3.3e-132
GCA_000008085-CALJACFG_02740	-	-	-	-
GCA_000008085-CALJACFG_02750	-	-	-	-
GCA_000008085-CALJACFG_02760	-	-	-	-
GCA_000008085-CALJACFG_02770	-	-	-	-
GCA_000008085-CALJACFG_02780	TIGR03680	translation_initiation_factor_2,_gamma_subunit	-	3.1e-174
GCA_000008085-CALJACFG_02790	-	-	-	-
GCA_000008085-CALJACFG_02800	-	-	-	-
GCA_000008085-CALJACFG_02810	-	-	-	-
GCA_000008085-CALJACFG_02820	-	-	-	-
GCA_000008085-CALJACFG_02830	-	-	-	-
GCA_000008085-CALJACFG_02840	-	-	-	-
GCA_000008085-CALJACFG_02850	-	-	-	-
GCA_000008085-CALJACFG_02860	-	-	-	-
GCA_000008085-CALJACFG_02870	-	-	-	-
GCA_000008085-CALJACFG_02880	-	-	-	-
GCA_000008085-CALJACFG_02890	-	-	-	-
GCA_000008085-CALJACFG_02900	TIGR00368	Mg_chelatase-like_protein	-	4e-09
GCA_000008085-CALJACFG_02910	TIGR02432	tRNA(Ile)-lysidine_synthetase	6.3.4.-	1.2e-16
GCA_000008085-CALJACFG_02920	-	-	-	-
GCA_000008085-CALJACFG_02930	-	-	-	-
GCA_000008085-CALJACFG_02940	-	-	-	-
GCA_000008085-CALJACFG_02950	-	-	-	-
GCA_000008085-CALJACFG_02960	-	-	-	-
GCA_000008085-CALJACFG_02970	-	-	-	-
GCA_000008085-CALJACFG_02980	-	-	-	-
GCA_000008085-CALJACFG_02990	TIGR00251	TIGR00251_family_protein	-	1.5e-14
GCA_000008085-CALJACFG_03000	-	-	-	-
GCA_000008085-CALJACFG_03010	-	-	-	-
GCA_000008085-CALJACFG_03020	-	-	-	-
GCA_000008085-CALJACFG_03030	-	-	-	-
GCA_000008085-CALJACFG_03040	TIGR00094	tRNA_pseudouridine_synthase,_TruD_family	5.4.99.-	1.2e-52
GCA_000008085-CALJACFG_03050	-	-	-	-
GCA_000008085-CALJACFG_03060	TIGR03679	arCOG00187_universal_archaeal_metal-binding-domain/4Fe-4S-binding-domain_containing_ABC_transporter,_ATP-binding_protein	-	1.7e-68
GCA_000008085-CALJACFG_03070	TIGR00446	NOL1/NOP2/sun_family_putative_RNA_methylase	2.1.1.-	2.1e-62
GCA_000008085-CALJACFG_03080	-	-	-	-
GCA_000008085-CALJACFG_03090	-	-	-	-
GCA_000008085-CALJACFG_03100	-	-	-	-
GCA_000008085-CALJACFG_03110	TIGR03873	proposed_F420-0_ABC_transporter,_ATP-binding_protein	-	1e-37
GCA_000008085-CALJACFG_03120	-	-	-	-
GCA_000008085-CALJACFG_03130	-	-	-	-
GCA_000008085-CALJACFG_03140	TIGR00463	glutamate--tRNA_ligase	6.1.1.17	4e-150
GCA_000008085-CALJACFG_03150	-	-	-	-
GCA_000008085-CALJACFG_03160	-	-	-	-
GCA_000008085-CALJACFG_03170	-	-	-	-
GCA_000008085-CALJACFG_03180	-	-	-	-
GCA_000008085-CALJACFG_03190	TIGR01830	3-oxoacyl-[acyl-carrier-protein]_reductase	1.1.1.100	4.7e-46
GCA_000008085-CALJACFG_03200	-	-	-	-
GCA_000008085-CALJACFG_03210	-	-	-	-
GCA_000008085-CALJACFG_03220	TIGR00414	serine--tRNA_ligase	6.1.1.11	1.5e-96
GCA_000008085-CALJACFG_03230	-	-	-	-
GCA_000008085-CALJACFG_03240	-	-	-	-
GCA_000008085-CALJACFG_03250	TIGR01309	ribosomal_protein_uL30	-	2.6e-60
GCA_000008085-CALJACFG_03260	TIGR02888	sporulation_protein,_YlmC/YmxH_family	-	3.3e-07
GCA_000008085-CALJACFG_03270	-	-	-	-
GCA_000008085-CALJACFG_03280	TIGR02274	deoxycytidine_triphosphate_deaminase	3.5.4.13	1.9e-60
GCA_000008085-CALJACFG_03290	TIGR00706	signal_peptide_peptidase_SppA,_36K_type	3.4.-.-	2.6e-42
GCA_000008085-CALJACFG_03300	-	-	-	-
GCA_000008085-CALJACFG_03310	TIGR01054	reverse_gyrase	3.6.4.12|5.99.1.3	2.9e-243
GCA_000008085-CALJACFG_03320	TIGR03677	ribosomal_protein_eL8	-	2.1e-59
GCA_000008085-CALJACFG_03330	TIGR00340	zinc_finger_protein_ZPR1_homolog	-	3.9e-32
GCA_000008085-CALJACFG_03340	-	-	-	-
GCA_000008085-CALJACFG_03350	-	-	-	-
GCA_000008085-CALJACFG_03360	TIGR01057	DNA_topoisomerase_I	5.99.1.2	7.7e-44
GCA_000008085-CALJACFG_03370	TIGR00311	putative_translation_initiation_factor_aIF-2,_beta_subunit	-	2.4e-33
GCA_000008085-CALJACFG_03380	-	-	-	-
GCA_000008085-CALJACFG_03390	TIGR03630	ribosomal_protein_uS17	-	1.6e-42
GCA_000008085-CALJACFG_03400	-	-	-	-
GCA_000008085-CALJACFG_03410	-	-	-	-
GCA_000008085-CALJACFG_03420	TIGR02274	deoxycytidine_triphosphate_deaminase	3.5.4.13	1.1e-13
GCA_000008085-CALJACFG_03430	-	-	-	-
GCA_000008085-CALJACFG_03440	-	-	-	-
GCA_000008085-CALJACFG_03450	-	-	-	-
GCA_000008085-CALJACFG_03460	-	-	-	-
GCA_000008085-CALJACFG_03470	-	-	-	-
GCA_000008085-CALJACFG_03480	TIGR00071	tRNA_pseudouridine(38-40)_synthase	5.4.99.12	2.7e-22
GCA_000008085-CALJACFG_03490	-	-	-	-
GCA_000008085-CALJACFG_03500	-	-	-	-
GCA_000008085-CALJACFG_03510	-	-	-	-
GCA_000008085-CALJACFG_03520	TIGR02469	precorrin-6Y_C5,15-methyltransferase_(decarboxylating),_CbiT_subunit	2.1.1.132	5.6e-09
GCA_000008085-CALJACFG_03530	-	-	-	-
GCA_000008085-CALJACFG_03540	TIGR01449	phosphoglycolate_phosphatase,_bacterial	3.1.3.18	5.4e-06
GCA_000008085-CALJACFG_03550	-	-	-	-
GCA_000008085-CALJACFG_03560	TIGR01391	DNA_primase	2.7.7.-	1.5e-10
GCA_000008085-CALJACFG_03570	-	-	-	-
GCA_000008085-CALJACFG_03580	-	-	-	-
GCA_000008085-CALJACFG_03590	TIGR01382	intracellular_protease,_PfpI_family	-	4.8e-08
