accession	BinID	NewContigID	OldContigId	ContigIdMerge	ContigNewLength	ContigOldLength	GC	ProteinID	ProteinGC	ProteinLength	Prokka
GCA_000008085-CALJACFG_00130	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00130	0.08	346	Coenzyme PQQ synthesis protein E
GCA_000008085-CALJACFG_00140	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00140	0.053	315	hypothetical protein
GCA_000008085-CALJACFG_00150	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00150	0.051	352	Flavin-dependent thymidylate synthase
GCA_000008085-CALJACFG_00160	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00160	0.028	70	hypothetical protein
GCA_000008085-CALJACFG_00170	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00170	0.047	85	CRISPR-associated endoribonuclease Cas2
GCA_000008085-CALJACFG_00180	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00180	0.048	333	CRISPR-associated endonuclease Cas1
GCA_000008085-CALJACFG_00190	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00190	0.056	425	hypothetical protein
GCA_000008085-CALJACFG_00200	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00200	0.055	322	hypothetical protein
GCA_000008085-CALJACFG_00210	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00210	0.064	234	hypothetical protein
GCA_000008085-CALJACFG_00220	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00220	0.043	755	CRISPR-associated nuclease/helicase Cas3
GCA_000008085-CALJACFG_00230	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00230	0.059	168	hypothetical protein
GCA_000008085-CALJACFG_00240	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00240	0.07	85	hypothetical protein
GCA_000008085-CALJACFG_00250	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00250	0.067	297	hypothetical protein
GCA_000008085-CALJACFG_00260	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00260	0.071	365	Sulfide-quinone reductase
GCA_000008085-CALJACFG_00270	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00270	0.046	257	Bifunctional protein GlmU
GCA_000008085-CALJACFG_00280	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00280	0.058	102	hypothetical protein
GCA_000008085-CALJACFG_00290	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00290	0.044	314	hypothetical protein
GCA_000008085-CALJACFG_00300	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00300	0.038	364	hypothetical protein
GCA_000008085-CALJACFG_00310	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00310	0.087	171	hypothetical protein
GCA_000008085-CALJACFG_00320	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00320	0.047	211	hypothetical protein
GCA_000008085-CALJACFG_00330	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00330	0.052	170	hypothetical protein
GCA_000008085-CALJACFG_00340	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00340	0.062	383	hypothetical protein
GCA_000008085-CALJACFG_00350	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00350	0.065	595	hypothetical protein
GCA_000008085-CALJACFG_00360	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00360	0.056	211	hypothetical protein
GCA_000008085-CALJACFG_00370	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00370	0.045	466	hypothetical protein
GCA_000008085-CALJACFG_00380	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00380	0.031	94	hypothetical protein
GCA_000008085-CALJACFG_00390	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00390	0.162	86	50S ribosomal protein L37Ae
GCA_000008085-CALJACFG_00400	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00400	0.06	66	Putative snRNP Sm-like protein
GCA_000008085-CALJACFG_00410	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00410	0.078	217	TATA-box-binding protein
GCA_000008085-CALJACFG_00420	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00420	0.069	215	hypothetical protein
GCA_000008085-CALJACFG_00430	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00430	0.065	275	hypothetical protein
GCA_000008085-CALJACFG_00440	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00440	0.039	483	Thermostable carboxypeptidase 1
GCA_000008085-CALJACFG_00450	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00450	0.083	84	hypothetical protein
GCA_000008085-CALJACFG_00460	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00460	0.047	190	putative bifunctional tRNA threonylcarbamoyladenosine biosynthesis protein
GCA_000008085-CALJACFG_00470	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00470	0.049	408	Reverse gyrase
GCA_000008085-CALJACFG_00480	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00480	0.062	192	hypothetical protein
GCA_000008085-CALJACFG_00490	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00490	0.052	265	hypothetical protein
GCA_000008085-CALJACFG_00500	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00500	0.042	540	hypothetical protein
GCA_000008085-CALJACFG_00510	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00510	0.052	230	hypothetical protein
GCA_000008085-CALJACFG_00520	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00520	0.056	213	Sulfhydrogenase 2 subunit gamma
GCA_000008085-CALJACFG_00530	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00530	0.072	358	Peptide chain release factor subunit 1
GCA_000008085-CALJACFG_00540	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00540	0.064	447	tRNA (uracil(54)-C(5))-methyltransferase
GCA_000008085-CALJACFG_00550	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00550	0.014	136	hypothetical protein
GCA_000008085-CALJACFG_00560	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00560	0.043	457	Cysteine--tRNA ligase
GCA_000008085-CALJACFG_00570	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00570	0.055	344	ORC1-type DNA replication protein
GCA_000008085-CALJACFG_00580	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00580	0.077	181	hypothetical protein
GCA_000008085-CALJACFG_00590	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00590	0.104	143	30S ribosomal protein S12
GCA_000008085-CALJACFG_00600	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00600	0.063	597	putative KH and PIN-domain containing protein
GCA_000008085-CALJACFG_00610	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00610	0.039	179	hypothetical protein
GCA_000008085-CALJACFG_00620	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00620	0.053	358	hypothetical protein
GCA_000008085-CALJACFG_00630	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00630	0.059	288	hypothetical protein
GCA_000008085-CALJACFG_00640	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00640	0.061	537	hypothetical protein
GCA_000008085-CALJACFG_00650	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00650	0.06	200	Ribonuclease HII
GCA_000008085-CALJACFG_00660	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00660	0.06	316	Ribonuclease Z
GCA_000008085-CALJACFG_00670	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00670	0.064	78	50S ribosomal protein L23
GCA_000008085-CALJACFG_00680	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00680	0	71	hypothetical protein
GCA_000008085-CALJACFG_00690	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00690	0.038	206	hypothetical protein
GCA_000008085-CALJACFG_00700	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00700	0.035	251	hypothetical protein
GCA_000008085-CALJACFG_00710	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00710	0.052	669	DNA polymerase
GCA_000008085-CALJACFG_00720	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00720	0.153	130	30S ribosomal protein S11
GCA_000008085-CALJACFG_00730	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00730	0.064	265	hypothetical protein
GCA_000008085-CALJACFG_00740	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00740	0.048	226	hypothetical protein
GCA_000008085-CALJACFG_00750	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00750	0.041	167	hypothetical protein
GCA_000008085-CALJACFG_00760	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00760	0.074	189	hypothetical protein
GCA_000008085-CALJACFG_00770	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00770	0.148	54	hypothetical protein
GCA_000008085-CALJACFG_00780	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00780	0.072	192	Vitamin B12 import ATP-binding protein BtuD
GCA_000008085-CALJACFG_00790	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00790	0.082	195	50S ribosomal protein L18
GCA_000008085-CALJACFG_00800	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00800	0.063	615	Ribonuclease J
GCA_000008085-CALJACFG_00810	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00810	0.099	404	Glutamate dehydrogenase
GCA_000008085-CALJACFG_00820	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00820	0.059	269	endonuclease 4
GCA_000008085-CALJACFG_00830	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00830	0.09	477	tRNA-splicing ligase RtcB
GCA_000008085-CALJACFG_00840	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00840	0.059	84	hypothetical protein
GCA_000008085-CALJACFG_00850	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00850	0.067	313	hypothetical protein
GCA_000008085-CALJACFG_00860	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00860	0.062	402	hypothetical protein
GCA_000008085-CALJACFG_00870	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00870	0.04	200	hypothetical protein
GCA_000008085-CALJACFG_00880	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00880	0.078	433	Elongation factor 1-alpha
GCA_000008085-CALJACFG_00890	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00890	0.036	109	30S ribosomal protein S10
GCA_000008085-CALJACFG_00900	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00900	0.039	352	hypothetical protein
GCA_000008085-CALJACFG_00910	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00910	0.057	175	hypothetical protein
GCA_000008085-CALJACFG_00920	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00920	0.034	497	hypothetical protein
GCA_000008085-CALJACFG_00930	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00930	0.067	339	Flap endonuclease 1
GCA_000008085-CALJACFG_00940	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00940	0.052	595	Lysine--tRNA ligase
GCA_000008085-CALJACFG_00950	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00950	0.039	230	hypothetical protein
GCA_000008085-CALJACFG_00960	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00960	0.035	393	hypothetical protein
GCA_000008085-CALJACFG_00970	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00970	0.045	284	50S ribosomal protein L10
GCA_000008085-CALJACFG_00980	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00980	0.075	133	50S ribosomal protein L14
GCA_000008085-CALJACFG_00990	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00990	0.045	88	hypothetical protein
GCA_000008085-CALJACFG_01000	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01000	0.029	206	hypothetical protein
GCA_000008085-CALJACFG_01010	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01010	0.094	169	50S ribosomal protein L5
GCA_000008085-CALJACFG_01020	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01020	0.097	185	hypothetical protein
GCA_000008085-CALJACFG_01030	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01030	0.068	276	tRNA(Met) cytidine acetyltransferase TmcA
GCA_000008085-CALJACFG_01040	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01040	0.082	217	hypothetical protein
GCA_000008085-CALJACFG_01050	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01050	0.043	276	Putative HTH-type transcriptional regulator TrmBL2
GCA_000008085-CALJACFG_01060	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01060	0.151	258	hypothetical protein
GCA_000008085-CALJACFG_01070	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01070	0.141	304	hypothetical protein
GCA_000008085-CALJACFG_01080	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01080	0.087	160	50S ribosomal protein L11
GCA_000008085-CALJACFG_01090	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01090	0.084	570	V-type ATP synthase alpha chain
GCA_000008085-CALJACFG_01100	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01100	0.061	404	Histidine--tRNA ligase
GCA_000008085-CALJACFG_01110	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01110	0.039	326	hypothetical protein
GCA_000008085-CALJACFG_01120	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01120	0.095	126	30S ribosomal protein S6e
GCA_000008085-CALJACFG_01130	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01130	0.081	370	hypothetical protein
GCA_000008085-CALJACFG_01140	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01140	0.062	305	Protein pelota
GCA_000008085-CALJACFG_01150	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01150	0.059	352	tRNA (guanine(26)-N(2))-dimethyltransferase
GCA_000008085-CALJACFG_01160	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01160	0.052	420	hypothetical protein
GCA_000008085-CALJACFG_01170	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01170	0.041	218	Exosome complex component Rrp42
GCA_000008085-CALJACFG_01180	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01180	0.067	327	GTPase Der
GCA_000008085-CALJACFG_01190	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01190	0.034	146	RNA-binding protein
GCA_000008085-CALJACFG_01200	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01200	0.04	348	Deoxyguanosinetriphosphate triphosphohydrolase-like protein
GCA_000008085-CALJACFG_01210	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01210	0.05	377	Tryptophan--tRNA ligase
GCA_000008085-CALJACFG_01220	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01220	0.04	99	hypothetical protein
GCA_000008085-CALJACFG_01230	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01230	0.056	337	hypothetical protein
GCA_000008085-CALJACFG_01240	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01240	0.046	152	Putative adenylate kinase
GCA_000008085-CALJACFG_01250	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01250	0.065	244	Iron-sulfur cluster carrier protein
GCA_000008085-CALJACFG_01260	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01260	0.056	249	hypothetical protein
GCA_000008085-CALJACFG_01270	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01270	0.008	121	hypothetical protein
GCA_000008085-CALJACFG_01280	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01280	0.048	166	hypothetical protein
GCA_000008085-CALJACFG_01290	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01290	0.079	253	Ribonuclease BN
GCA_000008085-CALJACFG_01300	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01300	0.06	410	tRNA-guanine(15) transglycosylase
GCA_000008085-CALJACFG_01310	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01310	0.051	232	Fibrillarin-like rRNA/tRNA 2'-O-methyltransferase
GCA_000008085-CALJACFG_01320	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01320	0.086	392	Glutamyl-tRNA(Gln) amidotransferase subunit D
GCA_000008085-CALJACFG_01330	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01330	0.055	127	hypothetical protein
GCA_000008085-CALJACFG_01340	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01340	0.06	633	hypothetical protein
GCA_000008085-CALJACFG_01350	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01350	0.052	340	hypothetical protein
GCA_000008085-CALJACFG_01360	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01360	0.082	109	Translation initiation factor 1A
GCA_000008085-CALJACFG_01370	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01370	0.089	290	hypothetical protein
GCA_000008085-CALJACFG_01380	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01380	0.037	185	hypothetical protein
GCA_000008085-CALJACFG_01390	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01390	0.092	355	Cell division protein FtsZ 1
GCA_000008085-CALJACFG_01400	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01400	0.08	186	hypothetical protein
GCA_000008085-CALJACFG_01410	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01410	0.104	286	hypothetical protein
GCA_000008085-CALJACFG_01420	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01420	0.072	496	hypothetical protein
GCA_000008085-CALJACFG_01430	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01430	0.076	250	hypothetical protein
GCA_000008085-CALJACFG_01440	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01440	0.068	569	hypothetical protein
GCA_000008085-CALJACFG_01450	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01450	0.046	365	hypothetical protein
GCA_000008085-CALJACFG_01460	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01460	0.034	232	hypothetical protein
GCA_000008085-CALJACFG_01470	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01470	0.065	292	hypothetical protein
GCA_000008085-CALJACFG_01480	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01480	0.07	540	Thermosome subunit alpha
GCA_000008085-CALJACFG_01490	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_01490	0.054	567	Type 2 DNA topoisomerase 6 subunit B
