accession	PFAM_hmm	PFAM_description	Pfam_Evalue
GCA_000008085-CALJACFG_00840	PF04010	Protein_of_unknown_function_(DUF357)	3.7e-08
GCA_000008085-CALJACFG_00850	-	-	-
GCA_000008085-CALJACFG_00860	-	-	-
GCA_000008085-CALJACFG_00870	-	-	-
GCA_000008085-CALJACFG_00880	PF00009	Elongation_factor_Tu_GTP_binding_domain	2.2e-56
GCA_000008085-CALJACFG_00890	PF00338	Ribosomal_protein_S10p/S20e	3.3e-24
GCA_000008085-CALJACFG_00900	PF00571	CBS_domain	3e-15
GCA_000008085-CALJACFG_00910	-	-	-
GCA_000008085-CALJACFG_00920	-	-	-
GCA_000008085-CALJACFG_00930	PF00867	XPG_I-region	3.7e-29
GCA_000008085-CALJACFG_00940	PF01921	tRNA_synthetases_class_I_(K)	1.8e-87
GCA_000008085-CALJACFG_00950	-	-	-
GCA_000008085-CALJACFG_00960	PF14667	Polysaccharide_biosynthesis_C-terminal_domain	1.6e-08
GCA_000008085-CALJACFG_00970	PF00466	Ribosomal_protein_L10	6.5e-20
GCA_000008085-CALJACFG_00980	PF00238	Ribosomal_protein_L14p/L23e	8.9e-33
GCA_000008085-CALJACFG_00990	-	-	-
GCA_000008085-CALJACFG_01000	-	-	-
GCA_000008085-CALJACFG_01010	PF00281	Ribosomal_protein_L5	2.9e-21
GCA_000008085-CALJACFG_01020	PF01987	Mitochondrial_biogenesis_AIM24	1.3e-08
GCA_000008085-CALJACFG_01030	PF13718	GNAT_acetyltransferase_2	6e-39
GCA_000008085-CALJACFG_01040	PF00565	Staphylococcal_nuclease_homologue	1e-11
GCA_000008085-CALJACFG_01050	PF01978	Sugar-specific_transcriptional_regulator_TrmB	9.5e-23
GCA_000008085-CALJACFG_01060	-	-	-
GCA_000008085-CALJACFG_01070	-	-	-
GCA_000008085-CALJACFG_01080	PF00298	Ribosomal_protein_L11,_RNA_binding_domain	1.4e-22
GCA_000008085-CALJACFG_01090	PF00006	ATP_synthase_alpha/beta_family,_nucleotide-binding_domain	1.2e-88
GCA_000008085-CALJACFG_01100	PF13393	Histidyl-tRNA_synthetase	6.8e-42
GCA_000008085-CALJACFG_01110	-	-	-
GCA_000008085-CALJACFG_01120	PF01092	Ribosomal_protein_S6e	1e-27
GCA_000008085-CALJACFG_01130	-	-	-
GCA_000008085-CALJACFG_01140	PF03463	eRF1_domain_1	8.6e-09
GCA_000008085-CALJACFG_01150	PF02005	N2,N2-dimethylguanosine_tRNA_methyltransferase	6.6e-86
GCA_000008085-CALJACFG_01160	-	-	-
GCA_000008085-CALJACFG_01170	PF01138	3'_exoribonuclease_family,_domain_1	4.2e-15
GCA_000008085-CALJACFG_01180	PF02824	TGS_domain	1.2e-16
GCA_000008085-CALJACFG_01190	PF01877	RNA_binding	1.1e-18
GCA_000008085-CALJACFG_01200	PF01966	HD_domain	3.1e-13
GCA_000008085-CALJACFG_01210	PF00579	tRNA_synthetases_class_I_(W_and_Y)	2.4e-37
GCA_000008085-CALJACFG_01220	-	-	-
GCA_000008085-CALJACFG_01230	-	-	-
GCA_000008085-CALJACFG_01240	PF13238	AAA_domain	4.8e-19
GCA_000008085-CALJACFG_01250	PF13614	AAA_domain	1.3e-22
GCA_000008085-CALJACFG_01260	-	-	-
GCA_000008085-CALJACFG_01270	-	-	-
GCA_000008085-CALJACFG_01280	-	-	-
GCA_000008085-CALJACFG_01290	PF12706	Beta-lactamase_superfamily_domain	9.2e-20
GCA_000008085-CALJACFG_01300	PF01702	Queuine_tRNA-ribosyltransferase	2e-29
GCA_000008085-CALJACFG_01310	PF01269	Fibrillarin	3.3e-95
GCA_000008085-CALJACFG_01320	PF00710	Asparaginase,_N-terminal	2.2e-45
GCA_000008085-CALJACFG_01330	PF01986	Domain_of_unknown_function_DUF123	1.4e-16
GCA_000008085-CALJACFG_01340	PF02543	Carbamoyltransferase_N-terminus	4.7e-74
GCA_000008085-CALJACFG_01350	PF01663	Type_I_phosphodiesterase_/_nucleotide_pyrophosphatase	6e-12
GCA_000008085-CALJACFG_01360	PF01176	Translation_initiation_factor_1A_/_IF-1	1.5e-24
GCA_000008085-CALJACFG_01370	PF01458	Uncharacterized_protein_family_(UPF0051)	2e-18
GCA_000008085-CALJACFG_01380	PF01997	Translin_family	1.4e-12
GCA_000008085-CALJACFG_01390	PF00091	Tubulin/FtsZ_family,_GTPase_domain	6.5e-41
GCA_000008085-CALJACFG_01400	-	-	-
GCA_000008085-CALJACFG_01410	-	-	-
GCA_000008085-CALJACFG_01420	-	-	-
GCA_000008085-CALJACFG_01430	-	-	-
GCA_000008085-CALJACFG_01440	-	-	-
GCA_000008085-CALJACFG_01450	-	-	-
GCA_000008085-CALJACFG_01460	-	-	-
GCA_000008085-CALJACFG_01470	-	-	-
GCA_000008085-CALJACFG_01480	PF00118	TCP-1/cpn60_chaperonin_family	3.5e-188
GCA_000008085-CALJACFG_01490	PF09239	Topoisomerase_VI_B_subunit,_transducer	5.1e-57
GCA_000008085-CALJACFG_01500	PF01381	Helix-turn-helix	9.1e-16
GCA_000008085-CALJACFG_01510	PF00573	Ribosomal_protein_L4/L1_family	1.8e-51
GCA_000008085-CALJACFG_01520	-	-	-
GCA_000008085-CALJACFG_01530	PF01894	Uncharacterised_protein_family_UPF0047	6.5e-37
GCA_000008085-CALJACFG_01540	PF04055	Radical_SAM_superfamily	1.1e-23
GCA_000008085-CALJACFG_01550	PF01984	Double-stranded_DNA-binding_domain	1.6e-09
GCA_000008085-CALJACFG_01560	PF13207	AAA_domain	2.1e-24
GCA_000008085-CALJACFG_01570	-	-	-
GCA_000008085-CALJACFG_01580	PF09249	tRNA_nucleotidyltransferase,_second_domain	5.6e-33
GCA_000008085-CALJACFG_01590	-	-	-
GCA_000008085-CALJACFG_01600	-	-	-
GCA_000008085-CALJACFG_01610	-	-	-
GCA_000008085-CALJACFG_01620	PF00562	RNA_polymerase_Rpb2,_domain_6	3.6e-116
GCA_000008085-CALJACFG_01630	PF01926	50S_ribosome-binding_GTPase	2.5e-23
GCA_000008085-CALJACFG_01640	PF04266	ASCH_domain	1.6e-18
GCA_000008085-CALJACFG_01650	-	-	-
GCA_000008085-CALJACFG_01660	PF01161	Phosphatidylethanolamine-binding_protein	4.8e-22
GCA_000008085-CALJACFG_01670	-	-	-
GCA_000008085-CALJACFG_01680	PF01594	AI-2E_family_transporter	1.4e-40
GCA_000008085-CALJACFG_01690	-	-	-
GCA_000008085-CALJACFG_01700	-	-	-
GCA_000008085-CALJACFG_01710	PF01699	Sodium/calcium_exchanger_protein	1.5e-06
GCA_000008085-CALJACFG_01720	-	-	-
GCA_000008085-CALJACFG_01730	PF05175	Methyltransferase_small_domain	4.7e-08
GCA_000008085-CALJACFG_01740	PF01813	ATP_synthase_subunit_D_	2.3e-40
GCA_000008085-CALJACFG_01750	PF00344	SecY_translocase	6.3e-41
GCA_000008085-CALJACFG_01760	PF08542	Replication_factor_C_C-terminal_domain	1.5e-20
GCA_000008085-CALJACFG_01770	PF00437	Type_II/IV_secretion_system_protein	2.5e-49
GCA_000008085-CALJACFG_01780	-	-	-
GCA_000008085-CALJACFG_01790	PF00535	Glycosyl_transferase_family_2	2.6e-23
GCA_000008085-CALJACFG_01800	PF04563	RNA_polymerase_beta_subunit	8.5e-43
GCA_000008085-CALJACFG_01810	PF12704	MacB-like_periplasmic_core_domain	2.4e-15
GCA_000008085-CALJACFG_01820	PF06745	KaiC	1.4e-81
GCA_000008085-CALJACFG_01830	PF01599	Ribosomal_protein_S27a	1.5e-19
GCA_000008085-CALJACFG_01840	PF08915	Archaea-specific_editing_domain_of_threonyl-tRNA_synthetase	1.4e-44
GCA_000008085-CALJACFG_01850	-	-	-
GCA_000008085-CALJACFG_01860	PF01248	Ribosomal_protein_L7Ae/L30e/S12e/Gadd45_family	2.9e-15
GCA_000008085-CALJACFG_01870	PF13184	NusA-like_KH_domain	6.6e-10
GCA_000008085-CALJACFG_01880	PF13656	RNA_polymerase_Rpb3/Rpb11_dimerisation_domain	3.1e-17
GCA_000008085-CALJACFG_01890	PF00827	Ribosomal_L15	2.1e-71
GCA_000008085-CALJACFG_01900	PF00935	Ribosomal_protein_L44	9.6e-25
GCA_000008085-CALJACFG_01910	PF00013	KH_domain	1e-10
GCA_000008085-CALJACFG_01920	PF02934	GatB/GatE_catalytic_domain	4.9e-92
GCA_000008085-CALJACFG_01930	PF00004	ATPase_family_associated_with_various_cellular_activities_(AAA)	1.6e-44
GCA_000008085-CALJACFG_01940	PF01850	PIN_domain	6e-06
GCA_000008085-CALJACFG_01950	PF01090	Ribosomal_protein_S19e	7e-49
GCA_000008085-CALJACFG_01960	PF01063	Amino-transferase_class_IV	1.5e-46
GCA_000008085-CALJACFG_01970	PF01595	Domain_of_unknown_function_DUF21	3.7e-31
GCA_000008085-CALJACFG_01980	PF00578	AhpC/TSA_family	2.1e-32
GCA_000008085-CALJACFG_01990	-	-	-
GCA_000008085-CALJACFG_02000	PF00800	Prephenate_dehydratase	2.9e-53
GCA_000008085-CALJACFG_02010	PF00534	Glycosyl_transferases_group_1	5.7e-27
GCA_000008085-CALJACFG_02020	-	-	-
GCA_000008085-CALJACFG_02030	-	-	-
GCA_000008085-CALJACFG_02040	PF00924	Mechanosensitive_ion_channel	7.8e-67
GCA_000008085-CALJACFG_02050	-	-	-
GCA_000008085-CALJACFG_02060	PF01336	OB-fold_nucleic_acid_binding_domain	5.1e-13
GCA_000008085-CALJACFG_02070	-	-	-
GCA_000008085-CALJACFG_02080	PF00428	60s_Acidic_ribosomal_protein	3.7e-19
GCA_000008085-CALJACFG_02090	PF00237	Ribosomal_protein_L22p/L17e	2.3e-17
GCA_000008085-CALJACFG_02100	PF00227	Proteasome_subunit	1.4e-45
GCA_000008085-CALJACFG_02110	PF01974	tRNA_intron_endonuclease,_catalytic_C-terminal_domain	6.8e-28
GCA_000008085-CALJACFG_02120	PF01192	RNA_polymerase_Rpb6_	5.7e-11
GCA_000008085-CALJACFG_02130	PF01472	PUA_domain	2.2e-20
GCA_000008085-CALJACFG_02140	PF00750	tRNA_synthetases_class_I_(R)	6.3e-74
GCA_000008085-CALJACFG_02150	PF00572	Ribosomal_protein_L13	9.5e-10
GCA_000008085-CALJACFG_02160	-	-	-
GCA_000008085-CALJACFG_02170	PF00587	tRNA_synthetase_class_II_core_domain_(G,_H,_P,_S_and_T)	8.6e-23
GCA_000008085-CALJACFG_02180	PF17146	PIN_domain_of_ribonuclease	7.3e-06
GCA_000008085-CALJACFG_02190	PF01411	tRNA_synthetases_class_II_(A)	7e-14
GCA_000008085-CALJACFG_02200	PF01230	HIT_domain	1.8e-15
GCA_000008085-CALJACFG_02210	-	-	-
GCA_000008085-CALJACFG_02220	-	-	-
GCA_000008085-CALJACFG_02230	-	-	-
GCA_000008085-CALJACFG_02240	-	-	-
GCA_000008085-CALJACFG_02250	PF00137	ATP_synthase_subunit_C	3.6e-22
GCA_000008085-CALJACFG_02260	-	-	-
GCA_000008085-CALJACFG_02270	PF01667	Ribosomal_protein_S27	9.7e-23
GCA_000008085-CALJACFG_02280	PF00736	EF-1_guanine_nucleotide_exchange_domain	7.1e-16
GCA_000008085-CALJACFG_02290	-	-	-
GCA_000008085-CALJACFG_02300	-	-	-
GCA_000008085-CALJACFG_02310	PF00491	Arginase_family	8.7e-32
GCA_000008085-CALJACFG_02320	-	-	-
GCA_000008085-CALJACFG_02330	-	-	-
GCA_000008085-CALJACFG_02340	-	-	-
GCA_000008085-CALJACFG_02350	PF01866	Putative_diphthamide_synthesis_protein	1.3e-44
GCA_000008085-CALJACFG_02360	PF00253	Ribosomal_protein_S14p/S29e	4.8e-11
GCA_000008085-CALJACFG_02370	PF13404	AsnC-type_helix-turn-helix_domain	1.7e-15
GCA_000008085-CALJACFG_02380	PF02475	Met-10+_like-protein	1.2e-37
GCA_000008085-CALJACFG_02390	PF00133	tRNA_synthetases_class_I_(I,_L,_M_and_V)	4.2e-171
GCA_000008085-CALJACFG_02400	PF06093	Spt4/RpoE2_zinc_finger	4.2e-14
GCA_000008085-CALJACFG_02410	-	-	-
GCA_000008085-CALJACFG_02420	-	-	-
GCA_000008085-CALJACFG_02430	PF07726	ATPase_family_associated_with_various_cellular_activities_(AAA)	3.6e-63
GCA_000008085-CALJACFG_02440	PF04981	NMD3_family_	1.9e-32
GCA_000008085-CALJACFG_02450	-	-	-
GCA_000008085-CALJACFG_02460	-	-	-
GCA_000008085-CALJACFG_02470	PF05175	Methyltransferase_small_domain	5.2e-10
GCA_000008085-CALJACFG_02480	PF00133	tRNA_synthetases_class_I_(I,_L,_M_and_V)	2.7e-60
GCA_000008085-CALJACFG_02490	PF00149	Calcineurin-like_phosphoesterase	7.1e-15
GCA_000008085-CALJACFG_02500	PF00347	Ribosomal_protein_L6	8.9e-28
GCA_000008085-CALJACFG_02510	PF00177	Ribosomal_protein_S7p/S5e	1.7e-40
GCA_000008085-CALJACFG_02520	-	-	-
GCA_000008085-CALJACFG_02530	PF02934	GatB/GatE_catalytic_domain	5.2e-61
GCA_000008085-CALJACFG_02540	PF01981	Peptidyl-tRNA_hydrolase_PTH2	5.5e-38
GCA_000008085-CALJACFG_02550	-	-	-
GCA_000008085-CALJACFG_02560	PF01479	S4_domain	3.4e-18
GCA_000008085-CALJACFG_02570	PF01138	3'_exoribonuclease_family,_domain_1	4.7e-27
GCA_000008085-CALJACFG_02580	-	-	-
GCA_000008085-CALJACFG_02590	-	-	-
GCA_000008085-CALJACFG_02600	PF00133	tRNA_synthetases_class_I_(I,_L,_M_and_V)	3.3e-104
GCA_000008085-CALJACFG_02610	-	-	-
GCA_000008085-CALJACFG_02620	-	-	-
GCA_000008085-CALJACFG_02630	PF02463	RecF/RecN/SMC_N_terminal_domain	5.5e-20
GCA_000008085-CALJACFG_02640	-	-	-
GCA_000008085-CALJACFG_02650	PF16906	Ribosomal_proteins_L26_eukaryotic,_L24P_archaeal	1.1e-25
GCA_000008085-CALJACFG_02660	PF05239	PRC-barrel_domain	2.5e-10
GCA_000008085-CALJACFG_02670	-	-	-
GCA_000008085-CALJACFG_02680	-	-	-
GCA_000008085-CALJACFG_02690	PF01974	tRNA_intron_endonuclease,_catalytic_C-terminal_domain	2.6e-13
GCA_000008085-CALJACFG_02700	-	-	-
GCA_000008085-CALJACFG_02710	PF00831	Ribosomal_L29_protein	2.4e-17
GCA_000008085-CALJACFG_02720	PF01253	Translation_initiation_factor_SUI1	6.8e-13
GCA_000008085-CALJACFG_02730	PF00006	ATP_synthase_alpha/beta_family,_nucleotide-binding_domain	1.7e-58
GCA_000008085-CALJACFG_02740	-	-	-
GCA_000008085-CALJACFG_02750	-	-	-
GCA_000008085-CALJACFG_02760	PF00482	Type_II_secretion_system_(T2SS),_protein_F	4.3e-18
GCA_000008085-CALJACFG_02770	PF00482	Type_II_secretion_system_(T2SS),_protein_F	9.4e-17
GCA_000008085-CALJACFG_02780	PF00009	Elongation_factor_Tu_GTP_binding_domain	5.6e-34
GCA_000008085-CALJACFG_02790	-	-	-
GCA_000008085-CALJACFG_02800	-	-	-
GCA_000008085-CALJACFG_02810	-	-	-
GCA_000008085-CALJACFG_02820	PF00410	Ribosomal_protein_S8	2.7e-25
GCA_000008085-CALJACFG_02830	PF00382	Transcription_factor_TFIIB_repeat	2.4e-31
GCA_000008085-CALJACFG_02840	-	-	-
GCA_000008085-CALJACFG_02850	PF04472	Cell_division_protein_SepF	2.4e-16
GCA_000008085-CALJACFG_02860	-	-	-
GCA_000008085-CALJACFG_02870	-	-	-
GCA_000008085-CALJACFG_02880	-	-	-
GCA_000008085-CALJACFG_02890	-	-	-
GCA_000008085-CALJACFG_02900	PF00493	MCM2/3/5_family	1e-116
GCA_000008085-CALJACFG_02910	PF01171	PP-loop_family	1.9e-14
GCA_000008085-CALJACFG_02920	-	-	-
GCA_000008085-CALJACFG_02930	PF04135	Nucleolar_RNA-binding_protein,_Nop10p_family	2.5e-24
GCA_000008085-CALJACFG_02940	PF00482	Type_II_secretion_system_(T2SS),_protein_F	3.4e-07
GCA_000008085-CALJACFG_02950	-	-	-
GCA_000008085-CALJACFG_02960	-	-	-
GCA_000008085-CALJACFG_02970	-	-	-
GCA_000008085-CALJACFG_02980	PF00808	Histone-like_transcription_factor_(CBF/NF-Y)_and_archaeal_histone	6.9e-14
GCA_000008085-CALJACFG_02990	PF02594	Uncharacterised_ACR,_YggU_family_COG1872	1.1e-16
GCA_000008085-CALJACFG_03000	-	-	-
GCA_000008085-CALJACFG_03010	-	-	-
GCA_000008085-CALJACFG_03020	-	-	-
GCA_000008085-CALJACFG_03030	-	-	-
GCA_000008085-CALJACFG_03040	PF01142	tRNA_pseudouridine_synthase_D_(TruD)	4.3e-75
GCA_000008085-CALJACFG_03050	-	-	-
GCA_000008085-CALJACFG_03060	PF01902	Diphthamide_synthase	8.3e-37
GCA_000008085-CALJACFG_03070	PF01189	16S_rRNA_methyltransferase_RsmB/F	1.1e-40
GCA_000008085-CALJACFG_03080	PF01199	Ribosomal_protein_L34e	1.7e-19
GCA_000008085-CALJACFG_03090	-	-	-
GCA_000008085-CALJACFG_03100	-	-	-
GCA_000008085-CALJACFG_03110	PF00005	ABC_transporter	2.6e-36
GCA_000008085-CALJACFG_03120	-	-	-
GCA_000008085-CALJACFG_03130	-	-	-
GCA_000008085-CALJACFG_03140	PF00749	tRNA_synthetases_class_I_(E_and_Q),_catalytic_domain	1e-81
GCA_000008085-CALJACFG_03150	PF01247	Ribosomal_protein_L35Ae	2.4e-19
GCA_000008085-CALJACFG_03160	-	-	-
GCA_000008085-CALJACFG_03170	-	-	-
GCA_000008085-CALJACFG_03180	PF14810	Patch-forming_domain_C2_of_tRNA-guanine_transglycosylase	4.7e-16
GCA_000008085-CALJACFG_03190	PF13561	Enoyl-(Acyl_carrier_protein)_reductase	1e-39
GCA_000008085-CALJACFG_03200	PF00334	Nucleoside_diphosphate_kinase	5e-42
GCA_000008085-CALJACFG_03210	-	-	-
GCA_000008085-CALJACFG_03220	PF00587	tRNA_synthetase_class_II_core_domain_(G,_H,_P,_S_and_T)	1.1e-27
GCA_000008085-CALJACFG_03230	PF13636	RNA-binding_PUA-like_domain_of_methyltransferase_RsmF	4.8e-13
GCA_000008085-CALJACFG_03240	-	-	-
GCA_000008085-CALJACFG_03250	PF00327	Ribosomal_protein_L30p/L7e	4.6e-11
GCA_000008085-CALJACFG_03260	PF05239	PRC-barrel_domain	3.4e-12
GCA_000008085-CALJACFG_03270	-	-	-
GCA_000008085-CALJACFG_03280	PF06559	2'-deoxycytidine_5'-triphosphate_deaminase_(DCD)	4.4e-15
GCA_000008085-CALJACFG_03290	PF01343	Peptidase_family_S49	2.7e-32
GCA_000008085-CALJACFG_03300	PF00828	Ribosomal_proteins_50S-L15,_50S-L18e,_60S-L27A	1.3e-10
GCA_000008085-CALJACFG_03310	PF01131	DNA_topoisomerase	3.8e-85
GCA_000008085-CALJACFG_03320	PF01248	Ribosomal_protein_L7Ae/L30e/S12e/Gadd45_family	2.7e-34
GCA_000008085-CALJACFG_03330	PF03367	ZPR1_zinc-finger_domain	2.5e-26
GCA_000008085-CALJACFG_03340	PF00833	Ribosomal_S17	6.8e-14
GCA_000008085-CALJACFG_03350	-	-	-
GCA_000008085-CALJACFG_03360	PF01131	DNA_topoisomerase	6.9e-34
GCA_000008085-CALJACFG_03370	PF01873	Domain_found_in_IF2B/IF5	1.9e-32
GCA_000008085-CALJACFG_03380	PF02676	Methyltransferase_TYW3	4.1e-45
GCA_000008085-CALJACFG_03390	PF00366	Ribosomal_protein_S17	1.1e-22
GCA_000008085-CALJACFG_03400	PF01037	Lrp/AsnC_ligand_binding_domain	1.1e-18
GCA_000008085-CALJACFG_03410	-	-	-
GCA_000008085-CALJACFG_03420	-	-	-
GCA_000008085-CALJACFG_03430	PF13462	Thioredoxin	3.8e-06
GCA_000008085-CALJACFG_03440	-	-	-
GCA_000008085-CALJACFG_03450	-	-	-
GCA_000008085-CALJACFG_03460	-	-	-
GCA_000008085-CALJACFG_03470	PF04919	Protein_of_unknown_function_(DUF655)	4e-56
GCA_000008085-CALJACFG_03480	PF01416	tRNA_pseudouridine_synthase	4.5e-18
GCA_000008085-CALJACFG_03490	-	-	-
GCA_000008085-CALJACFG_03500	PF09376	NurA_domain	7e-14
GCA_000008085-CALJACFG_03510	PF01194	RNA_polymerases_N_/_8_kDa_subunit	2.1e-27
GCA_000008085-CALJACFG_03520	PF00398	Ribosomal_RNA_adenine_dimethylase	3.6e-07
GCA_000008085-CALJACFG_03530	PF01246	Ribosomal_protein_L24e	5.7e-16
GCA_000008085-CALJACFG_03540	PF13419	Haloacid_dehalogenase-like_hydrolase	1.3e-14
GCA_000008085-CALJACFG_03550	PF02163	Peptidase_family_M50	3.7e-08
GCA_000008085-CALJACFG_03560	PF13662	Toprim_domain	3.4e-08
GCA_000008085-CALJACFG_03570	PF01798	snoRNA_binding_domain,_fibrillarin	2.8e-60
GCA_000008085-CALJACFG_03580	PF00011	Hsp20/alpha_crystallin_family	4e-17
GCA_000008085-CALJACFG_03590	PF01965	DJ-1/PfpI_family	6.2e-16
GCA_000008085-CALJACFG_03600	PF13597	Anaerobic_ribonucleoside-triphosphate_reductase	2.9e-148
GCA_000008085-CALJACFG_03610	PF04493	Endonuclease_V	2.4e-30
