target name	accession	query name	accession2	E-value_full_sequence	score_full_sequence	bias_full_sequence	E-value_best_first_domain	score_best_first_domain	bias_best_first_domain	exp	reg	clu	ov	env	dom	rep	inc	Description_target
GCA_000017945-FLGBHGLA_11490	-	DUF1512	PF07431.11	1.6e-142	471.6	5.6	1.9e-142	471.4	5.6	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_05920	-	UbiD	PF01977.15	9.2e-141	466.3	0.0	1.2e-140	465.9	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_02960	-	Hydantoinase_B	PF02538.13	3.9e-140	464.6	0.0	4.4e-140	464.4	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_13380	-	MCM	PF00493.22	2.9e-139	460.7	0.0	4.2e-139	460.2	0.0	1.2	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_10620	-	AFOR_C	PF01314.17	7.7e-135	446.7	0.1	9.3e-135	446.4	0.1	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_04900	-	HMG-CoA_red	PF00368.17	3.8e-134	444.2	0.4	4.3e-134	444.1	0.4	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_02340	-	DUF711	PF05167.11	9.7e-134	443.2	0.2	1.2e-133	442.9	0.2	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_00360	-	NRDD	PF13597.5	3.6e-132	438.9	0.0	4.3e-132	438.7	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_04790	-	tRNA-synt_1g	PF09334.10	1.2e-130	432.8	2.0	3.9e-81	269.7	0.0	2.2	1	1	0	2	2	2	2	-
GCA_000017945-FLGBHGLA_06740	-	RNA_pol_Rpb2_6	PF00562.27	4.5e-130	431.1	0.1	9.2e-130	430.1	0.0	1.6	2	0	0	2	2	2	1	-
GCA_000017945-FLGBHGLA_11460	-	PPDK_N	PF01326.18	5.9e-129	426.9	0.1	9e-129	426.3	0.1	1.3	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_10200	-	tRNA-synt_1e	PF01406.18	2.8e-128	424.4	0.3	3.7e-128	424.0	0.3	1.2	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_12670	-	Gln-synt_C	PF00120.23	2.1e-127	421.8	0.0	2.6e-127	421.5	0.0	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_07180	-	DUF521	PF04412.12	4e-127	421.2	0.0	4.4e-127	421.0	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_05470	-	Chorismate_synt	PF01264.20	1.3e-125	415.3	0.0	1.5e-125	415.2	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_04220	-	HypD	PF01924.15	2.3e-125	415.2	0.0	2.6e-125	415.1	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_01320	-	Fe-ADH	PF00465.18	1.2e-124	412.8	0.0	1.3e-124	412.6	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_11350	-	Cys_Met_Meta_PP	PF01053.19	9.1e-124	409.7	0.0	1e-123	409.6	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_01980	-	tRNA-synt_2c	PF01411.18	1.7e-121	403.4	0.0	3.3e-121	402.4	0.0	1.5	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_04160	-	Glu_synthase	PF01645.16	6.9e-118	390.9	1.7	1e-117	390.4	1.7	1.2	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_03990	-	Pantoate_transf	PF02548.14	5.7e-118	389.9	0.7	6.4e-118	389.7	0.7	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_02230	-	tRNA-synt_1	PF00133.21	4.1e-117	388.8	1.0	6.3e-116	384.9	1.0	2.1	1	1	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_10370	-	Enolase_C	PF00113.21	5.1e-117	387.3	0.0	7e-117	386.8	0.0	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_02770	-	PGK	PF00162.18	1.2e-116	386.7	0.0	1.3e-116	386.6	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_02900	-	MCM	PF00493.22	1e-116	386.6	0.0	1.4e-116	386.1	0.0	1.2	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_00070	-	Topoisom_bac	PF01131.19	2.9e-116	385.8	0.0	3.5e-116	385.5	0.0	1.1	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_01620	-	RNA_pol_Rpb2_6	PF00562.27	3.6e-116	385.3	0.0	4.4e-116	385.1	0.0	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_13330	-	Ammonium_transp	PF00909.20	7.8e-116	384.0	29.1	8.8e-116	383.8	29.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_02790	-	FAD_binding_2	PF00890.23	7.7e-114	377.9	1.0	1.2e-113	377.3	1.0	1.3	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_09890	-	Prismane	PF03063.19	9.7e-114	377.8	0.0	2.1e-99	330.5	0.0	2.0	1	1	1	2	2	2	2	-
GCA_000017945-FLGBHGLA_01060	-	DUF763	PF05559.10	1.5e-113	376.0	0.0	5.7e-113	374.1	0.0	1.7	2	0	0	2	2	2	1	-
GCA_000017945-FLGBHGLA_09450	-	Amidase	PF01425.20	1.8e-112	373.5	0.0	2e-112	373.3	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_00560	-	tRNA-synt_1e	PF01406.18	1.1e-111	369.9	0.8	1.7e-111	369.3	0.8	1.3	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_05490	-	SDH_sah	PF01972.15	4.4e-108	357.6	0.4	5.3e-108	357.3	0.4	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_07620	-	Peptidase_M17	PF00883.20	8.2e-108	357.3	0.0	1.1e-107	356.8	0.0	1.2	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_10950	-	Iso_dh	PF00180.19	9.8e-108	357.3	0.0	1.1e-107	357.1	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_13670	-	CstA	PF02554.13	7.1e-107	354.5	23.4	7.1e-107	354.5	23.4	2.1	2	0	0	2	2	2	1	-
GCA_000017945-FLGBHGLA_06630	-	DUF1152	PF06626.11	8.4e-107	353.7	2.2	9.7e-107	353.5	2.2	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_14640	-	Fibrillarin	PF01269.16	5.2e-105	346.5	0.0	6e-105	346.3	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_02600	-	tRNA-synt_1	PF00133.21	3.3e-104	346.2	1.5	5.4e-103	342.2	0.3	2.7	1	1	1	2	2	2	1	-
GCA_000008085-CALJACFG_04290	-	Peptidase_M17	PF00883.20	2.4e-104	345.9	0.0	2.9e-104	345.6	0.0	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_06450	-	Epimerase_2	PF02350.18	8.8e-104	344.0	0.0	1e-103	343.8	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_14460	-	CPSase_L_D2	PF02786.16	4.9e-104	343.3	0.0	7.3e-72	238.2	0.0	2.3	2	0	0	2	2	2	2	-
GCA_000017945-FLGBHGLA_09600	-	Aconitase	PF00330.19	4.4e-103	342.6	7.5	5.7e-101	335.7	7.5	2.5	1	1	0	1	1	1	1	-
GCA_000008085-CALJACFG_04970	-	AAA	PF00004.28	5.1e-104	341.0	0.0	1.2e-51	171.6	0.0	2.8	3	0	0	3	3	2	2	-
GCA_000017945-FLGBHGLA_01570	-	SOR_SNZ	PF01680.16	5.9e-102	336.7	6.9	7.5e-102	336.4	6.9	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_03360	-	CTP_synth_N	PF06418.13	1.2e-101	336.4	0.1	1.9e-101	335.7	0.1	1.3	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_10120	-	Iso_dh	PF00180.19	3.8e-101	335.6	0.1	4.8e-101	335.3	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_14780	-	AAA	PF00004.28	9.6e-102	333.6	0.0	2.5e-52	173.7	0.0	2.5	2	0	0	2	2	2	2	-
GCA_000008085-CALJACFG_00440	-	Peptidase_M32	PF02074.14	2e-99	330.8	13.8	2.3e-99	330.6	13.8	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_06640	-	NadA	PF02445.15	6.8e-99	327.7	0.0	7.6e-99	327.5	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_00130	-	GatB_N	PF02934.14	7e-99	327.5	0.0	9.7e-99	327.1	0.0	1.2	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_11190	-	Aconitase	PF00330.19	5.9e-98	325.7	2.8	6.1e-96	319.1	2.8	2.4	1	1	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_07160	-	AAA	PF00004.28	4.6e-99	325.0	0.0	6.5e-50	165.9	0.0	2.6	2	0	0	2	2	2	2	-
GCA_000017945-FLGBHGLA_02460	-	RNA_pol_Rpb1_1	PF04997.11	8.6e-98	324.4	0.0	1.1e-97	324.0	0.0	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_06540	-	DS	PF01916.16	5.8e-97	321.3	0.0	6.7e-97	321.1	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_05350	-	IF-2B	PF01008.16	9.2e-97	320.6	0.0	1.1e-96	320.3	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_07820	-	ParA	PF10609.8	3.2e-96	318.5	0.0	3.7e-96	318.3	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_07980	-	His_biosynth	PF00977.20	7.7e-96	316.9	0.8	8.8e-96	316.7	0.8	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_09730	-	Aminotran_3	PF00202.20	2e-95	316.7	0.0	2.7e-95	316.3	0.0	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_04790	-	tRNA-synt_1f	PF01921.17	3.1e-95	316.1	0.1	5.7e-95	315.2	0.0	1.4	2	0	0	2	2	2	1	-
GCA_000017945-FLGBHGLA_03900	-	Histidinol_dh	PF00815.19	9.4e-95	314.9	0.7	2.1e-94	313.8	0.7	1.5	1	1	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_06160	-	HpaB_N	PF11794.7	7.5e-95	314.6	0.4	1.2e-94	313.9	0.4	1.3	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_01310	-	Fibrillarin	PF01269.16	3.3e-95	314.5	0.1	3.8e-95	314.2	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_04180	-	DS	PF01916.16	8.6e-95	314.2	0.0	1e-94	313.9	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_05290	-	Hydantoinase_A	PF01968.17	2.6e-93	309.4	1.4	3.3e-93	309.0	1.4	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_00250	-	AFOR_C	PF01314.17	1.2e-92	307.8	0.0	1.6e-92	307.4	0.0	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_10130	-	HMGL-like	PF00682.18	2.6e-92	306.1	2.1	4e-92	305.4	2.1	1.3	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_01920	-	GatB_N	PF02934.14	4.9e-92	305.1	0.0	7.3e-92	304.5	0.0	1.2	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_10360	-	Rad51	PF08423.10	2.7e-91	302.3	0.0	3.3e-91	302.0	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_10000	-	ATP-sulfurylase	PF01747.16	5.4e-91	300.7	0.0	7.4e-91	300.3	0.0	1.2	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_04440	-	Rad51	PF08423.10	5.6e-90	298.0	0.0	6.7e-90	297.7	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_03770	-	Amidase	PF01425.20	1.6e-89	297.9	0.0	2.3e-89	297.4	0.0	1.2	1	1	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_02970	-	ATPase	PF06745.12	3.2e-89	295.2	0.0	3.7e-89	294.9	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_05290	-	RNA_pol_Rpb1_1	PF04997.11	1.4e-88	294.1	0.0	2.2e-88	293.5	0.0	1.2	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_01090	-	ATP-synt_ab	PF00006.24	1.2e-88	293.3	0.0	1.6e-88	292.8	0.0	1.2	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_13470	-	ATP-synt_ab	PF00006.24	1.4e-88	293.1	0.0	1.9e-88	292.6	0.0	1.2	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_00940	-	tRNA-synt_1f	PF01921.17	1.8e-87	290.5	3.5	2.9e-87	289.8	3.5	1.3	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_14480	-	Thiolase_N	PF00108.22	1.2e-86	287.3	0.0	1.5e-86	287.0	0.0	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_09020	-	VitK2_biosynth	PF02621.13	3.2e-86	286.1	0.1	3.6e-86	285.9	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_01150	-	TRM	PF02005.15	6.6e-86	285.8	0.1	8.7e-86	285.3	0.1	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_12190	-	TRM	PF02005.15	1.1e-85	285.0	0.0	1.3e-85	284.7	0.0	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_13280	-	EPSP_synthase	PF00275.19	1.6e-85	284.3	0.0	1.8e-85	284.1	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_03310	-	Topoisom_bac	PF01131.19	3.8e-85	283.3	5.5	1.5e-84	281.4	5.5	1.8	1	1	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_09540	-	Chorismate_bind	PF00425.17	2.9e-85	282.9	0.0	3.6e-85	282.6	0.0	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_09520	-	DUF2192	PF09958.8	5.5e-84	278.2	3.1	6.2e-84	278.0	3.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_11740	-	DevR	PF01905.15	1.1e-83	277.3	0.0	1.4e-83	277.0	0.0	1.1	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_05650	-	tRNA-synt_2	PF00152.19	1e-82	274.6	1.2	1.3e-82	274.3	1.2	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_07010	-	Fumerase	PF05681.13	5e-82	272.3	0.0	6.9e-82	271.8	0.0	1.2	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_09360	-	Ribosomal_L15e	PF00827.16	2.4e-82	272.3	4.2	2.4e-82	272.3	4.2	1.6	1	1	1	2	2	2	1	-
GCA_000017945-FLGBHGLA_10210	-	Memo	PF01875.16	5.3e-82	271.9	0.0	6e-82	271.7	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_00180	-	DHQ_synthase	PF01761.19	5.7e-82	271.7	0.0	7.8e-82	271.3	0.0	1.1	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_03140	-	tRNA-synt_1c	PF00749.20	1e-81	271.2	0.2	1.6e-81	270.5	0.2	1.3	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_10640	-	PALP	PF00291.24	1.4e-81	271.0	4.1	1.8e-81	270.7	4.1	1.1	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_01820	-	ATPase	PF06745.12	1.4e-81	270.2	0.0	1.6e-81	270.0	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_09720	-	DUF1297	PF06973.11	1e-81	269.9	0.0	1.5e-81	269.4	0.0	1.2	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_14820	-	tRNA-synt_2	PF00152.19	1.5e-80	267.5	0.0	1.9e-80	267.2	0.0	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_12470	-	DUF373	PF04123.12	3.3e-80	267.0	9.6	4.1e-80	266.7	9.6	1.2	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_03850	-	AMP-binding	PF00501.27	4.3e-80	266.3	0.0	5.2e-80	266.0	0.0	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_12660	-	tRNA-synt_2d	PF01409.19	6.5e-80	265.1	0.0	8.2e-80	264.7	0.0	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_05480	-	RTC	PF01137.20	2.4e-79	262.5	0.0	2.8e-79	262.3	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_05690	-	UbiD	PF01977.15	1.5e-78	261.4	0.2	1.8e-78	261.1	0.2	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_11430	-	tRNA-synt_1c	PF00749.20	1.6e-78	260.7	0.0	2.4e-78	260.1	0.0	1.3	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_14830	-	DAHP_synth_1	PF00793.19	3.4e-78	259.2	0.0	4.5e-78	258.8	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_09040	-	PCMT	PF01135.18	3.8e-78	259.0	0.1	4.6e-78	258.7	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_12120	-	SRP54	PF00448.21	2.9e-78	259.0	0.5	4.2e-78	258.4	0.5	1.2	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_06070	-	Prenyltransf	PF01255.18	4.6e-78	258.7	0.1	5.5e-78	258.4	0.1	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_12380	-	Hist_deacetyl	PF00850.18	8.3e-77	255.6	0.0	1.4e-76	254.9	0.0	1.3	1	1	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_08480	-	BtpA	PF03437.14	6.3e-77	255.4	0.1	7.1e-77	255.2	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_00180	-	Cas_Cas1	PF01867.15	6.7e-77	255.3	0.7	7.8e-77	255.1	0.7	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_00630	-	DNA_pol_B	PF00136.20	2.3e-75	251.0	0.0	3.4e-75	250.4	0.0	1.2	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_00710	-	Nop	PF01798.17	1.2e-75	250.9	0.0	1.6e-75	250.5	0.0	1.2	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_08680	-	Nre_N	PF04894.11	3e-75	250.4	0.0	3.7e-75	250.2	0.0	1.1	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_03040	-	TruD	PF01142.17	4.3e-75	250.0	0.3	3.5e-62	207.5	0.1	2.5	1	1	1	2	2	2	2	-
GCA_000017945-FLGBHGLA_02590	-	AMP-binding	PF00501.27	6.8e-75	249.2	0.0	7.8e-75	249.0	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_06290	-	IlvN	PF07991.11	1.9e-75	248.9	0.0	5.4e-75	247.4	0.0	1.8	3	0	0	3	3	3	1	-
GCA_000017945-FLGBHGLA_07060	-	Aminotran_3	PF00202.20	1.2e-74	248.4	0.0	1.4e-74	248.1	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_00400	-	AdoHcyase	PF05221.16	2.2e-74	247.2	0.0	6.3e-42	140.7	0.1	2.0	1	1	1	2	2	2	2	-
GCA_000008085-CALJACFG_01340	-	Carbam_trans_N	PF02543.14	4.7e-74	247.0	0.0	8.4e-74	246.2	0.0	1.4	1	1	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_00780	-	GatB_N	PF02934.14	3.9e-74	246.4	0.0	5.7e-74	245.9	0.0	1.2	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_02140	-	tRNA-synt_1d	PF00750.18	6.3e-74	245.9	2.8	1.6e-72	241.3	2.8	2.1	1	1	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_05320	-	Topoisom_bac	PF01131.19	1.1e-73	245.5	0.1	9.8e-71	235.8	0.0	2.3	1	1	0	2	2	2	2	-
GCA_000017945-FLGBHGLA_02690	-	Peptidase_M22	PF00814.24	1.9e-73	244.4	0.0	2.4e-73	244.1	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_14890	-	Glycos_transf_3	PF00591.20	1.8e-73	244.2	0.0	2.4e-73	243.8	0.0	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_04660	-	PPS_PS	PF02006.15	8e-74	243.9	0.7	1e-73	243.6	0.7	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_10740	-	SRP54	PF00448.21	2.9e-73	242.7	0.6	4.4e-73	242.1	0.6	1.3	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_12880	-	HMGL-like	PF00682.18	9.4e-73	241.9	5.6	1.4e-72	241.4	5.6	1.2	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_08640	-	DUF2204	PF09970.8	8.9e-73	240.7	0.8	1e-72	240.6	0.8	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_11780	-	NADHdh	PF00146.20	4e-72	240.0	17.1	5.3e-72	239.6	17.1	1.2	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_01890	-	Ribosomal_L15e	PF00827.16	2.1e-71	236.5	2.3	2.4e-71	236.4	2.3	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_12030	-	polyprenyl_synt	PF00348.16	3e-71	236.4	0.0	4.6e-71	235.8	0.0	1.3	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_04680	-	SSF	PF00474.16	6.9e-71	236.2	27.1	1.7e-70	234.8	27.1	1.7	1	1	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_02910	-	eIF-6	PF01912.17	2.6e-71	236.1	1.2	3e-71	235.9	1.2	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_00930	-	PIN_5	PF08745.10	3.4e-71	235.9	0.1	4e-71	235.7	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_09760	-	SAM_adeno_trans	PF01887.15	6.4e-71	235.4	0.0	7.2e-71	235.3	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_04270	-	Topoisom_bac	PF01131.19	1.7e-70	235.0	0.0	2.5e-70	234.5	0.0	1.2	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_10510	-	SBP_bac_5	PF00496.21	4.6e-70	233.4	0.0	6e-70	233.0	0.0	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_05590	-	Complex1_49kDa	PF00346.18	3.9e-70	233.0	0.0	3.9e-68	226.4	0.0	2.1	1	1	0	1	1	1	1	-
GCA_000008085-CALJACFG_04520	-	Ribosomal_L3	PF00297.21	1.2e-69	232.0	0.9	4.8e-69	230.0	0.9	1.8	1	1	0	1	1	1	1	-
GCA_000008085-CALJACFG_05180	-	Peptidase_M22	PF00814.24	1.5e-69	231.7	0.0	1.8e-69	231.4	0.0	1.0	1	0	0	1	1	1	1	-
