accession	IPR	IPRMdescription	IPR_PFAM	IPR_PFAMdescription
GCA_000008085-CALJACFG_00220	IPR001650;_IPR038257;_IPR035011;_IPR011545;_IPR006474;_IPR014001;_IPR006483;_IPR027417	Helicase,_C-terminal;_CRISPR-associated_Cas3-type_HD_domain_superfamily;_CRISPR-associated_endonuclease/helicase_Cas3;_DEAD/DEAH_box_helicase_domain;_Helicase_Cas3,_CRISPR-associated,_core;_Helicase_superfamily_1/2,_ATP-binding_domain;_CRISPR-associated__Cas3-type_HD_domain;_P-loop_containing_nucleoside_triphosphate_hydrolase	PF00271;_PF00270	Helicase_conserved_C-terminal_domain;_DEAD/DEAH_box_helicase
GCA_000008085-CALJACFG_00230	IPR011604;_IPR022765;_IPR013343	Exonuclease,_phage-type/RecB,_C-terminal;_Dna2/Cas4,_domain_of_unknown_function_DUF83;_CRISPR-associated_protein_Cas4	PF01930	Domain_of_unknown_function_DUF83
GCA_000008085-CALJACFG_00240	IPR011765;_IPR011249	Peptidase_M16,_N-terminal;_Metalloenzyme,_LuxS/M16_peptidase-like	PF00675	Insulinase_(Peptidase_family_M16)
GCA_000008085-CALJACFG_00250	IPR011249;_IPR007863	Metalloenzyme,_LuxS/M16_peptidase-like;_Peptidase_M16,_C-terminal	PF05193	Peptidase_M16_inactive_domain
GCA_000008085-CALJACFG_00260	IPR036188;_IPR023753	FAD/NAD(P)-binding_domain_superfamily;_FAD/NAD(P)-binding_domain	PF07992	Pyridine_nucleotide-disulphide_oxidoreductase
GCA_000008085-CALJACFG_00270	IPR029044;_IPR005835	Nucleotide-diphospho-sugar_transferases;_Nucleotidyl_transferase_domain	PF00483	Nucleotidyl_transferase
GCA_000008085-CALJACFG_00280	-	-	-	-
GCA_000008085-CALJACFG_00290	-	-	-	-
GCA_000008085-CALJACFG_00300	-	-	-	-
GCA_000008085-CALJACFG_00310	IPR036249;_IPR002109	Thioredoxin-like_superfamily;_Glutaredoxin	PF00462	Glutaredoxin
GCA_000008085-CALJACFG_00320	-	-	-	-
GCA_000008085-CALJACFG_00330	IPR019964;_IPR036612	KH_domain_protein,_archaea;_K_Homology_domain,_type_1_superfamily	-	-
GCA_000008085-CALJACFG_00340	-	-	-	-
GCA_000008085-CALJACFG_00350	IPR035986	PKD_domain_superfamily	-	-
GCA_000008085-CALJACFG_00360	-	-	-	-
GCA_000008085-CALJACFG_00370	-	-	-	-
GCA_000008085-CALJACFG_00380	-	-	-	-
GCA_000008085-CALJACFG_00390	IPR011331;_IPR002674;_IPR011332	Ribosomal_protein_L37ae/L37e;_Ribosomal_protein_L37ae;_Zinc-binding_ribosomal_protein	PF01780	Ribosomal_L37ae_protein_family
GCA_000008085-CALJACFG_00400	IPR001163;_IPR010920	LSM_domain,_eukaryotic/archaea-type;_LSM_domain_superfamily	PF01423	LSM_domain
GCA_000008085-CALJACFG_00410	IPR012295;_IPR000814;_IPR033711	TBP_domain_superfamily;_TATA-box_binding_protein;_TATA-box_binding_protein,_archaea	PF00352	Transcription_factor_TFIID_(or_TATA-binding_protein,_TBP)
GCA_000008085-CALJACFG_00420	-	-	-	-
GCA_000008085-CALJACFG_00430	IPR036938	Phosphatidic_acid_phosphatase_type_2/haloperoxidase_superfamily	-	-
GCA_000008085-CALJACFG_00440	IPR001333	Peptidase_M32,_carboxypeptidase_Taq	PF02074	Carboxypeptidase_Taq_(M32)_metallopeptidase
GCA_000008085-CALJACFG_00450	-	-	-	-
GCA_000008085-CALJACFG_00460	IPR022495;_IPR011009;_IPR000719	Serine/threonine-protein_kinase_Bud32;_Protein_kinase-like_domain_superfamily;_Protein_kinase_domain	PF01163	RIO1_family
GCA_000008085-CALJACFG_00470	IPR013497;_IPR013824;_IPR023405;_IPR000380;_IPR006171;_IPR013825;_IPR013826;_IPR023406;_IPR003602;_IPR003601	DNA_topoisomerase,_type_IA,_central;_DNA_topoisomerase,_type_IA,_central_region,_subdomain_1;_DNA_topoisomerase,_type_IA,_core_domain;_DNA_topoisomerase,_type_IA;_TOPRIM__domain;_DNA_topoisomerase,_type_IA,_central_region,_subdomain_2;_DNA_topoisomerase,_type_IA,_central_region,_subdomain_3;_DNA_topoisomerase,_type_IA,_active_site;_DNA_topoisomerase,_type_IA,_DNA-binding_domain;_DNA_topoisomerase,_type_IA,_domain_2	PF01751;_PF01131	Toprim_domain;_DNA_topoisomerase
GCA_000008085-CALJACFG_00480	IPR000594;_IPR035985	THIF-type_NAD/FAD_binding_fold;_Ubiquitin-activating_enzyme	PF00899	ThiF_family
GCA_000008085-CALJACFG_00490	-	-	-	-
GCA_000008085-CALJACFG_00500	IPR002934	Polymerase,_nucleotidyl_transferase_domain	PF01909	Nucleotidyltransferase_domain
GCA_000008085-CALJACFG_00510	IPR007197;_IPR013785;_IPR039661;_IPR006638	Radical_SAM;_Aldolase-type_TIM_barrel;_ELP3/YhcC;_Elp3/MiaB/NifB	PF04055	Radical_SAM_superfamily
GCA_000008085-CALJACFG_00520	IPR039261;_IPR017927;_IPR033892;_IPR001433;_IPR008333;_IPR017938	Ferredoxin-NADP_reductase_(FNR),_nucleotide-binding_domain;_FAD-binding_domain,_ferredoxin_reductase-type;_Ferredoxin--NADP_reductase,_bacteria;_Oxidoreductase_FAD/NAD(P)-binding;_Flavoprotein_pyridine_nucleotide_cytochrome_reductase-like,_FAD-binding_domain;_Riboflavin_synthase-like_beta-barrel	PF00175;_PF00970	Oxidoreductase_NAD-binding_domain;_Oxidoreductase_FAD-binding_domain
GCA_000008085-CALJACFG_00530	IPR024049;_IPR029064;_IPR004403;_IPR005141;_IPR005140;_IPR020918;_IPR005142	Peptide_Chain_Release_Factor_eRF1/aRF1,_N-terminal;_50S_ribosomal_protein_L30e-like;_Peptide_chain_release_factor_eRF1/aRF1;_eRF1_domain_2;_eRF1_domain_1/Pelota-like;_Peptide_chain_release_factor_aRF1;_eRF1_domain_3	PF03464;_PF03463;_PF03465	eRF1_domain_2;_eRF1_domain_1;_eRF1_domain_3
GCA_000008085-CALJACFG_00540	IPR010280;_IPR030390;_IPR029063	(Uracil-5)-methyltransferase_family;_RNA_methyltransferase_TrmA,_active_site;_S-adenosyl-L-methionine-dependent_methyltransferase	PF05958	tRNA_(Uracil-5-)-methyltransferase
GCA_000008085-CALJACFG_00550	IPR020948	Phosphate-starvation-induced_PsiE-like	PF06146	Phosphate-starvation-inducible_E
GCA_000008085-CALJACFG_00560	IPR024909;_IPR015803;_IPR014729;_IPR032678;_IPR009080	Cysteinyl-tRNA_synthetase/mycothiol_ligase;_Cysteine-tRNA_ligase;_Rossmann-like_alpha/beta/alpha_sandwich_fold;_tRNA_synthetases_class_I,_catalytic_domain;_Aminoacyl-tRNA_synthetase,_class_Ia,_anticodon-binding	PF01406	tRNA_synthetases_class_I_(C)_catalytic_domain
GCA_000008085-CALJACFG_00570	IPR025662;_IPR015163;_IPR014277;_IPR036388;_IPR027417;_IPR003593;_IPR036390;_IPR003959	Sigma-54_interaction_domain,_ATP-binding_site_1;_Cdc6,_C-terminal;_Orc1/Cdc6-type_DNA_replication_protein,_archaea;_Winged_helix-like_DNA-binding_domain_superfamily;_P-loop_containing_nucleoside_triphosphate_hydrolase;_AAA+_ATPase_domain;_Winged_helix_DNA-binding_domain_superfamily;_ATPase,_AAA-type,_core	PF09079;_PF00004	CDC6,_C_terminal_winged_helix_domain;_ATPase_family_associated_with_various_cellular_activities_(AAA)
GCA_000008085-CALJACFG_00580	-	-	-	-
GCA_000008085-CALJACFG_00590	IPR005680;_IPR006032;_IPR022863;_IPR012340	Ribosomal_protein_S23,_eukaryotic/archaeal;_Ribosomal_protein_S12/S23;_Ribosomal_protein_S12,_archaea;_Nucleic_acid-binding,_OB-fold	PF00164	Ribosomal_protein_S12/S23
GCA_000008085-CALJACFG_00600	IPR029060;_IPR002716;_IPR036612;_IPR004087;_IPR004088;_IPR009019;_IPR027417;_IPR003593;_IPR001482	PIN-like_domain_superfamily;_PIN_domain;_K_Homology_domain,_type_1_superfamily;_K_Homology_domain;_K_Homology_domain,_type_1;_K_homology_domain_superfamily,_prokaryotic_type;_P-loop_containing_nucleoside_triphosphate_hydrolase;_AAA+_ATPase_domain;_Type_II/IV_secretion_system_protein	PF13638;_PF00013;_PF00437	PIN_domain;_KH_domain;_Type_II/IV_secretion_system_protein
GCA_000008085-CALJACFG_00610	-	-	-	-
GCA_000008085-CALJACFG_00620	-	-	-	-
GCA_000008085-CALJACFG_00630	IPR033895;_IPR000715	UDP-GlcNAc-dolichyl-phosphate_GlcNAc_phosphotransferase;_Glycosyl_transferase,_family_4	PF00953	Glycosyl_transferase_family_4
GCA_000008085-CALJACFG_00640	-	-	-	-
GCA_000008085-CALJACFG_00650	IPR024567;_IPR012337;_IPR023160;_IPR001352;_IPR004649;_IPR036397;_IPR020787	Ribonuclease_HII/HIII_domain;_Ribonuclease_H-like_superfamily;_Ribonuclease_HII,_helix-loop-helix_cap_domain_superfamily;_Ribonuclease_HII/HIII;_Ribonuclease_H2,_subunit_A;_Ribonuclease_H_superfamily;_Ribonuclease_HII,_archaea	PF01351	Ribonuclease_HII
GCA_000008085-CALJACFG_00660	IPR013471;_IPR036866;_IPR001279	Ribonuclease_Z/BN;_Ribonuclease_Z/Hydroxyacylglutathione_hydrolase-like;_Metallo-beta-lactamase	PF12706	Beta-lactamase_superfamily_domain
GCA_000008085-CALJACFG_00670	IPR012678;_IPR013025;_IPR012677;_IPR000504	Ribosomal_protein_L23/L15e_core_domain_superfamily;_Ribosomal_protein_L25/L23;_Nucleotide-binding_alpha-beta_plait_domain_superfamily;_RNA_recognition_motif_domain	PF00076;_PF00276	RNA_recognition_motif._(a.k.a._RRM,_RBD,_or_RNP_domain);_Ribosomal_protein_L23
GCA_000008085-CALJACFG_00680	-	-	-	-
GCA_000008085-CALJACFG_00690	-	-	-	-
GCA_000008085-CALJACFG_00700	IPR001279;_IPR036866;_IPR014426	Metallo-beta-lactamase;_Ribonuclease_Z/Hydroxyacylglutathione_hydrolase-like;_Uncharacterised_protein_family_UPF0282,_hydrolase,_metallo-beta-lactamase	PF00753	Metallo-beta-lactamase_superfamily
GCA_000008085-CALJACFG_00710	IPR006172;_IPR006134;_IPR023211;_IPR036397;_IPR012337;_IPR006133	DNA-directed_DNA_polymerase,_family_B;_DNA-directed_DNA_polymerase,_family_B,_multifunctional_domain;_DNA_polymerase,_palm_domain_superfamily;_Ribonuclease_H_superfamily;_Ribonuclease_H-like_superfamily;_DNA-directed_DNA_polymerase,_family_B,_exonuclease_domain	PF00136;_PF03104	DNA_polymerase_family_B;_DNA_polymerase_family_B,_exonuclease_domain
GCA_000008085-CALJACFG_00720	IPR001971;_IPR036967;_IPR019961	Ribosomal_protein_S11;_Ribosomal_protein_S11_superfamily;_Ribosomal_protein_S11,_archaeal	PF00411	Ribosomal_protein_S11
GCA_000008085-CALJACFG_00730	-	-	-	-
GCA_000008085-CALJACFG_00740	-	-	-	-
GCA_000008085-CALJACFG_00750	-	-	-	-
GCA_000008085-CALJACFG_00760	-	-	-	-
GCA_000008085-CALJACFG_00770	-	-	-	-
GCA_000008085-CALJACFG_00780	IPR003439;_IPR027417;_IPR003593	ABC_transporter-like;_P-loop_containing_nucleoside_triphosphate_hydrolase;_AAA+_ATPase_domain	PF00005	ABC_transporter
GCA_000008085-CALJACFG_00790	IPR005485;_IPR025607	Ribosomal_protein_L5_eukaryotic/L18_archaeal;_Ribosomal_protein_L5_eukaryotic/L18_archaeal,_C-terminal	PF17144;_PF14204	Ribosomal_large_subunit_proteins_60S_L5,_and_50S_L18;_Ribosomal_L18_C-terminal_region
GCA_000008085-CALJACFG_00800	IPR033769;_IPR015946;_IPR022712;_IPR036866;_IPR001279;_IPR019975;_IPR011108	KH_domain,_archaeal;_K_homology_domain-like,_alpha/beta;_Beta-Casp_domain;_Ribonuclease_Z/Hydroxyacylglutathione_hydrolase-like;_Metallo-beta-lactamase;_KH-domain/beta-lactamase-domain_protein,_archaea;_Zn-dependent_metallo-hydrolase,_RNA_specificity_domain	PF17214;_PF10996;_PF16661;_PF07521	KH_domain;_Beta-Casp_domain;_Metallo-beta-lactamase_superfamily_domain;_Zn-dependent_metallo-hydrolase_RNA_specificity_domain
GCA_000008085-CALJACFG_00810	IPR006095;_IPR006097;_IPR006096;_IPR036291;_IPR033922;_IPR014362;_IPR033524	Glutamate/phenylalanine/leucine/valine_dehydrogenase;_Glutamate/phenylalanine/leucine/valine_dehydrogenase,_dimerisation_domain;_Glutamate/phenylalanine/leucine/valine_dehydrogenase,_C-terminal;_NAD(P)-binding_domain_superfamily;_NAD(P)_binding_domain_of_glutamate_dehydrogenase;_Glutamate_dehydrogenase;_Leu/Phe/Val_dehydrogenases_active_site	PF02812;_PF00208	Glu/Leu/Phe/Val_dehydrogenase,_dimerisation_domain;_Glutamate/Leucine/Phenylalanine/Valine_dehydrogenase
GCA_000008085-CALJACFG_00820	IPR001719;_IPR013022;_IPR036237	AP_endonuclease_2;_Xylose_isomerase-like,_TIM_barrel_domain;_Xylose_isomerase-like_superfamily	PF01261	Xylose_isomerase-like_TIM_barrel
GCA_000008085-CALJACFG_00830	IPR001233;_IPR036025	tRNA-splicing_ligase,_RtcB;_tRNA-splicing_ligase_RtcB-like_superfamily	PF01139	tRNA-splicing_ligase_RtcB
GCA_000008085-CALJACFG_00840	IPR036809;_IPR023140	AF1782-like_superfamily;_Domain_of_unknown_function_DUF357	PF04010	Protein_of_unknown_function_(DUF357)
GCA_000008085-CALJACFG_00850	-	-	-	-
GCA_000008085-CALJACFG_00860	-	-	-	-
GCA_000008085-CALJACFG_00870	-	-	-	-
GCA_000008085-CALJACFG_00880	IPR000795;_IPR009001;_IPR031157;_IPR004539;_IPR004160;_IPR009000;_IPR027417;_IPR005225;_IPR004161	Transcription_factor,_GTP-binding_domain;_Translation_elongation_factor_EF1A/initiation_factor_IF2gamma,_C-terminal;_Tr-type_G_domain,_conserved_site;_Translation_elongation_factor_EF1A,_eukaryotic/archaeal;_Translation_elongation_factor_EFTu/EF1A,_C-terminal;_Translation_protein,_beta-barrel_domain_superfamily;_P-loop_containing_nucleoside_triphosphate_hydrolase;_Small_GTP-binding_protein_domain;_Translation_elongation_factor_EFTu-like,_domain_2	PF00009;_PF03143;_PF03144	Elongation_factor_Tu_GTP_binding_domain;_Elongation_factor_Tu_C-terminal_domain;_Elongation_factor_Tu_domain_2
GCA_000008085-CALJACFG_00890	IPR027486;_IPR001848;_IPR036838;_IPR018268;_IPR005729	Ribosomal_protein_S10_domain;_Ribosomal_protein_S10;_Ribosomal_protein_S10_domain_superfamily;_Ribosomal_protein_S10,_conserved_site;_Ribosomal_protein_S10,_eukaryotic/archaeal	PF00338	Ribosomal_protein_S10p/S20e
GCA_000008085-CALJACFG_00900	IPR000644	CBS_domain	PF00571	CBS_domain
GCA_000008085-CALJACFG_00910	-	-	-	-
GCA_000008085-CALJACFG_00920	-	-	-	-
GCA_000008085-CALJACFG_00930	IPR029060;_IPR008918;_IPR006086;_IPR036279;_IPR006084;_IPR023426;_IPR006085;_IPR019973;_IPR019974	PIN-like_domain_superfamily;_Helix-hairpin-helix_motif,_class_2;_XPG-I_domain;_5'-3'_exonuclease,_C-terminal_domain_superfamily;_XPG/Rad2_endonuclease;_Flap_endonuclease_1;_XPG_N-terminal;_Flap_structure-specific_endonuclease,_archaea;_XPG_conserved_site	PF00752;_PF00867	XPG_N-terminal_domain;_XPG_I-region
GCA_000008085-CALJACFG_00940	IPR002904;_IPR001412;_IPR008925;_IPR020751;_IPR023386;_IPR014729	Lysine-tRNA_ligase;_Aminoacyl-tRNA_synthetase,_class_I,_conserved_site;_Aminoacyl-tRNA_synthetase,_class_I,_anticodon-binding;_Aminoacyl-tRNA_synthetase,_class_I,_anticodon-binding_domain,_subdomain_2;_Lysine-tRNA_ligase,_insertion_domain_superfamily;_Rossmann-like_alpha/beta/alpha_sandwich_fold	PF01921	tRNA_synthetases_class_I_(K)
GCA_000008085-CALJACFG_00950	-	-	-	-
GCA_000008085-CALJACFG_00960	IPR029303	Polysaccharide_biosynthesis_protein,_C-terminal_domain	PF14667	Polysaccharide_biosynthesis_C-terminal_domain
GCA_000008085-CALJACFG_00970	IPR022909;_IPR001790	50S_ribosomal_protein_L10,_archaea;_Ribosomal_protein_L10P	PF00466	Ribosomal_protein_L10
GCA_000008085-CALJACFG_00980	IPR019971;_IPR036853;_IPR000218	Ribosomal_protein_L14P,_archaeal;_Ribosomal_protein_L14_superfamily;_Ribosomal_protein_L14P	PF00238	Ribosomal_protein_L14p/L23e
GCA_000008085-CALJACFG_00990	-	-	-	-
GCA_000008085-CALJACFG_01000	-	-	-	-
GCA_000008085-CALJACFG_01010	IPR022804;_IPR031309;_IPR031310;_IPR022803;_IPR002132	Ribosomal_protein_L5,_archaeal;_Ribosomal_protein_L5,_C-terminal;_Ribosomal_protein_L5,_N-terminal;_Ribosomal_protein_L5_domain_superfamily;_Ribosomal_protein_L5	PF00673;_PF00281	ribosomal_L5P_family_C-terminus;_Ribosomal_protein_L5
GCA_000008085-CALJACFG_01020	IPR016031;_IPR002838	Tryptophan_RNA-binding_attenuator_protein-like_domain_superfamily;_Mitochondrial_biogenesis_protein_AIM24	PF01987	Mitochondrial_biogenesis_AIM24
GCA_000008085-CALJACFG_01030	IPR016181;_IPR000182;_IPR032672	Acyl-CoA_N-acyltransferase;_GNAT_domain;_TmcA/NAT10/Kre33	PF13718	GNAT_acetyltransferase_2
GCA_000008085-CALJACFG_01040	IPR016071;_IPR035437	Staphylococcal_nuclease_(SNase-like),_OB-fold;_SNase-like,_OB-fold_superfamily	PF00565	Staphylococcal_nuclease_homologue
GCA_000008085-CALJACFG_01050	IPR036388;_IPR002831;_IPR036390;_IPR021586;_IPR011991	Winged_helix-like_DNA-binding_domain_superfamily;_Transcription_regulator_TrmB,_N-terminal;_Winged_helix_DNA-binding_domain_superfamily;_Transcription_regulator_TrmB,_C-terminal;_ArsR-like_helix-turn-helix_domain	PF01978;_PF11495	Sugar-specific_transcriptional_regulator_TrmB;_Archaeal_transcriptional_regulator_TrmB
GCA_000008085-CALJACFG_01060	-	-	-	-
GCA_000008085-CALJACFG_01070	-	-	-	-
GCA_000008085-CALJACFG_01080	IPR000911;_IPR036769;_IPR020784;_IPR036796;_IPR020783	Ribosomal_protein_L11/L12;_Ribosomal_protein_L11,_C-terminal_domain_superfamily;_Ribosomal_protein_L11,_N-terminal;_Ribosomal_protein_L11/L12,_N-terminal_domain_superfamily;_Ribosomal_protein_L11,_C-terminal	PF03946;_PF00298	Ribosomal_protein_L11,_N-terminal_domain;_Ribosomal_protein_L11,_RNA_binding_domain
GCA_000008085-CALJACFG_01090	IPR022878;_IPR000194;_IPR027417;_IPR031686;_IPR024034;_IPR036121;_IPR004100;_IPR023366	V-type_ATP_synthase_catalytic_alpha_chain;_ATPase,_F1/V1/A1_complex,_alpha/beta_subunit,_nucleotide-binding_domain;_P-loop_containing_nucleoside_triphosphate_hydrolase;_ATPsynthase_alpha/beta_subunit,_N-terminal_extension;_ATPase,_F1/V1_complex,_beta/alpha_subunit,_C-terminal;_ATPase,_F1/V1/A1_complex,_alpha/beta_subunit,_N-terminal_domain_superfamily;_ATPase,_F1/V1/A1_complex,_alpha/beta_subunit,_N-terminal_domain;_ATP_synthase_subunit_alpha,_N-terminal_domain-like_superfamily	PF00006;_PF16886;_PF02874	ATP_synthase_alpha/beta_family,_nucleotide-binding_domain;_ATPsynthase_alpha/beta_subunit_N-term_extension;_ATP_synthase_alpha/beta_family,_beta-barrel_domain
GCA_000008085-CALJACFG_01100	IPR015807;_IPR006195;_IPR004154;_IPR036621;_IPR004516	Histidine-tRNA_ligase;_Aminoacyl-tRNA_synthetase,_class_II;_Anticodon-binding;_Anticodon-binding_domain_superfamily;_Histidine-tRNA_ligase/ATP_phosphoribosyltransferase_regulatory_subunit	PF13393;_PF03129	Histidyl-tRNA_synthetase;_Anticodon_binding_domain
GCA_000008085-CALJACFG_01110	-	-	-	-
GCA_000008085-CALJACFG_01120	IPR018282;_IPR020924;_IPR001377	Ribosomal_protein_S6e,_conserved_site;_Ribosomal_protein_S6e,_archaeal;_Ribosomal_protein_S6e	PF01092	Ribosomal_protein_S6e
GCA_000008085-CALJACFG_01130	-	-	-	-
GCA_000008085-CALJACFG_01140	IPR038069;_IPR005140	Pelota/DOM34,_N-terminal_domain;_eRF1_domain_1/Pelota-like	PF03463	eRF1_domain_1
GCA_000008085-CALJACFG_01150	IPR002905;_IPR029063	tRNA_methyltransferase,_Trm1;_S-adenosyl-L-methionine-dependent_methyltransferase	PF02005	N2,N2-dimethylguanosine_tRNA_methyltransferase
GCA_000008085-CALJACFG_01160	IPR020568;_IPR014721	Ribosomal_protein_S5_domain_2-type_fold;_Ribosomal_protein_S5_domain_2-type_fold,_subgroup	-	-
GCA_000008085-CALJACFG_01170	IPR001247;_IPR020568;_IPR015847;_IPR036345;_IPR027408	Exoribonuclease,_phosphorolytic_domain_1;_Ribosomal_protein_S5_domain_2-type_fold;_Exoribonuclease,_phosphorolytic_domain_2;_Exoribonuclease,_PH_domain_2_superfamily;_PNPase/RNase_PH_domain_superfamily	PF01138;_PF03725	3'_exoribonuclease_family,_domain_1;_3'_exoribonuclease_family,_domain_2
GCA_000008085-CALJACFG_01180	IPR012676;_IPR031662;_IPR004095;_IPR027417;_IPR012675;_IPR006073	TGS-like;_GTP_binding_protein,_second_domain;_TGS;_P-loop_containing_nucleoside_triphosphate_hydrolase;_Beta-grasp_domain_superfamily;_GTP_binding_domain	PF16897;_PF02824;_PF01926	C-terminal_region_of_MMR_HSR1_domain;_TGS_domain;_50S_ribosome-binding_GTPase
GCA_000008085-CALJACFG_01190	IPR022803;_IPR002739	Ribosomal_protein_L5_domain_superfamily;_Uncharacterised_protein_family_UPF0201	PF01877	RNA_binding
GCA_000008085-CALJACFG_01200	IPR003607;_IPR006674	HD/PDEase_domain;_HD_domain	PF01966	HD_domain
GCA_000008085-CALJACFG_01210	IPR002306;_IPR014729;_IPR002305	Tryptophan-tRNA_ligase;_Rossmann-like_alpha/beta/alpha_sandwich_fold;_Aminoacyl-tRNA_synthetase,_class_Ic	PF00579	tRNA_synthetases_class_I_(W_and_Y)
GCA_000008085-CALJACFG_01220	-	-	-	-
GCA_000008085-CALJACFG_01230	IPR038763	DHH_phosphoesterase_superfamily	-	-
GCA_000008085-CALJACFG_01240	IPR027417;_IPR020618	P-loop_containing_nucleoside_triphosphate_hydrolase;_Adenylate_kinase_isoenzyme_6	PF13238	AAA_domain
GCA_000008085-CALJACFG_01250	IPR027417;_IPR025669	P-loop_containing_nucleoside_triphosphate_hydrolase;_AAA_domain	PF13614	AAA_domain
GCA_000008085-CALJACFG_01260	-	-	-	-
GCA_000008085-CALJACFG_01270	-	-	-	-
GCA_000008085-CALJACFG_01280	-	-	-	-
GCA_000008085-CALJACFG_01290	IPR001279;_IPR036866	Metallo-beta-lactamase;_Ribonuclease_Z/Hydroxyacylglutathione_hydrolase-like	PF12706	Beta-lactamase_superfamily_domain
GCA_000008085-CALJACFG_01300	IPR004804;_IPR036511;_IPR002616	tRNA-guanine(15)_transglycosylase;_Queuine_tRNA-ribosyltransferase-like;_tRNA-guanine(15)_transglycosylase-like	PF01702	Queuine_tRNA-ribosyltransferase
