GCA_000008085-CALJACFG_00220	IPR001650; IPR038257; IPR035011; IPR011545; IPR006474; IPR014001; IPR006483; IPR027417	Helicase, C-terminal; CRISPR-associated Cas3-type HD domain superfamily; CRISPR-associated endonuclease/helicase Cas3; DEAD/DEAH box helicase domain; Helicase Cas3, CRISPR-associated, core; Helicase superfamily 1/2, ATP-binding domain; CRISPR-associated  Cas3-type HD domain; P-loop containing nucleoside triphosphate hydrolase	PF00271; PF00270	Helicase conserved C-terminal domain; DEAD/DEAH box helicase	GO:0004536|GO:0033680|GO:0051607; GO:0003676|GO:0005524	-
GCA_000008085-CALJACFG_00230	IPR011604; IPR022765; IPR013343	Exonuclease, phage-type/RecB, C-terminal; Dna2/Cas4, domain of unknown function DUF83; CRISPR-associated protein Cas4	PF01930	Domain of unknown function DUF83	-	-
GCA_000008085-CALJACFG_00240	IPR011765; IPR011249	Peptidase M16, N-terminal; Metalloenzyme, LuxS/M16 peptidase-like	PF00675	Insulinase (Peptidase family M16)	GO:0003824|GO:0046872	-
GCA_000008085-CALJACFG_00250	IPR011249; IPR007863	Metalloenzyme, LuxS/M16 peptidase-like; Peptidase M16, C-terminal	PF05193	Peptidase M16 inactive domain	GO:0003824|GO:0046872; GO:0003824|GO:0046872	-
GCA_000008085-CALJACFG_00260	IPR036188; IPR023753	FAD/NAD(P)-binding domain superfamily; FAD/NAD(P)-binding domain	PF07992	Pyridine nucleotide-disulphide oxidoreductase	GO:0016491|GO:0055114	-
GCA_000008085-CALJACFG_00270	IPR029044; IPR005835	Nucleotide-diphospho-sugar transferases; Nucleotidyl transferase domain	PF00483	Nucleotidyl transferase	GO:0009058|GO:0016779	-
GCA_000008085-CALJACFG_00280	-	-	-	-	-	-
GCA_000008085-CALJACFG_00290	-	-	-	-	-	-
GCA_000008085-CALJACFG_00300	-	-	-	-	-	-
GCA_000008085-CALJACFG_00310	IPR036249; IPR002109	Thioredoxin-like superfamily; Glutaredoxin	PF00462	Glutaredoxin	GO:0009055|GO:0015035|GO:0045454	-
GCA_000008085-CALJACFG_00320	-	-	-	-	-	-
GCA_000008085-CALJACFG_00330	IPR019964; IPR036612	KH domain protein, archaea; K Homology domain, type 1 superfamily	-	-	GO:0003723; GO:0003723	-
GCA_000008085-CALJACFG_00340	-	-	-	-	-	-
GCA_000008085-CALJACFG_00350	IPR035986	PKD domain superfamily	-	-	-	-
GCA_000008085-CALJACFG_00360	-	-	-	-	-	-
GCA_000008085-CALJACFG_00370	-	-	-	-	-	-
GCA_000008085-CALJACFG_00380	-	-	-	-	-	-
GCA_000008085-CALJACFG_00390	IPR011331; IPR002674; IPR011332	Ribosomal protein L37ae/L37e; Ribosomal protein L37ae; Zinc-binding ribosomal protein	PF01780	Ribosomal L37ae protein family	GO:0003735|GO:0005622|GO:0005840|GO:0006412; GO:0003735|GO:0005622|GO:0005840|GO:0006412; GO:0006412; GO:0003735|GO:0005622|GO:0005840|GO:0006412; GO:0003735|GO:0005622|GO:0005840|GO:0006412; GO:0003735|GO:0005622|GO:0005840|GO:0006412	-
GCA_000008085-CALJACFG_00400	IPR001163; IPR010920	LSM domain, eukaryotic/archaea-type; LSM domain superfamily	PF01423	LSM domain	-	-
GCA_000008085-CALJACFG_00410	IPR012295; IPR000814; IPR033711	TBP domain superfamily; TATA-box binding protein; TATA-box binding protein, archaea	PF00352	Transcription factor TFIID (or TATA-binding protein, TBP)	GO:0003677|GO:0006352; GO:0003677|GO:0006352; GO:0003677|GO:0006352; GO:0003677|GO:0006352; GO:0003677|GO:0006352; GO:0003677|GO:0006352; GO:0003677|GO:0006352	-
GCA_000008085-CALJACFG_00420	-	-	-	-	-	-
GCA_000008085-CALJACFG_00430	IPR036938	Phosphatidic acid phosphatase type 2/haloperoxidase superfamily	-	-	-	-
GCA_000008085-CALJACFG_00440	IPR001333	Peptidase M32, carboxypeptidase Taq	PF02074	Carboxypeptidase Taq (M32) metallopeptidase	GO:0004181|GO:0006508; GO:0004181|GO:0006508; GO:0004181|GO:0006508; GO:0004181|GO:0006508; GO:0004181|GO:0006508; GO:0004181|GO:0006508; GO:0004181|GO:0006508; GO:0004181|GO:0006508; GO:0004181|GO:0006508; GO:0004181|GO:0006508; GO:0004181|GO:0006508; GO:0004181|GO:0006508	-
GCA_000008085-CALJACFG_00450	-	-	-	-	-	-
GCA_000008085-CALJACFG_00460	IPR022495; IPR011009; IPR000719	Serine/threonine-protein kinase Bud32; Protein kinase-like domain superfamily; Protein kinase domain	PF01163	RIO1 family	GO:0004674; GO:0004674; GO:0004672|GO:0005524|GO:0006468	-
GCA_000008085-CALJACFG_00470	IPR013497; IPR013824; IPR023405; IPR000380; IPR006171; IPR013825; IPR013826; IPR023406; IPR003602; IPR003601	DNA topoisomerase, type IA, central; DNA topoisomerase, type IA, central region, subdomain 1; DNA topoisomerase, type IA, core domain; DNA topoisomerase, type IA; TOPRIM  domain; DNA topoisomerase, type IA, central region, subdomain 2; DNA topoisomerase, type IA, central region, subdomain 3; DNA topoisomerase, type IA, active site; DNA topoisomerase, type IA, DNA-binding domain; DNA topoisomerase, type IA, domain 2	PF01751; PF01131	Toprim domain; DNA topoisomerase	GO:0003677|GO:0003916|GO:0006265; GO:0003677|GO:0003916|GO:0006265; GO:0003677|GO:0003916|GO:0006265; GO:0003677|GO:0003916|GO:0006265; GO:0003677|GO:0003917|GO:0006265; GO:0003917; GO:0003677|GO:0003916|GO:0006265; GO:0003677|GO:0003916|GO:0006265; GO:0003677|GO:0003916|GO:0006265	-
GCA_000008085-CALJACFG_00480	IPR000594; IPR035985	THIF-type NAD/FAD binding fold; Ubiquitin-activating enzyme	PF00899	ThiF family	GO:0008641; GO:0008641	-
GCA_000008085-CALJACFG_00490	-	-	-	-	-	-
GCA_000008085-CALJACFG_00500	IPR002934	Polymerase, nucleotidyl transferase domain	PF01909	Nucleotidyltransferase domain	GO:0016779	-
GCA_000008085-CALJACFG_00510	IPR007197; IPR013785; IPR039661; IPR006638	Radical SAM; Aldolase-type TIM barrel; ELP3/YhcC; Elp3/MiaB/NifB	PF04055	Radical SAM superfamily	GO:0003824|GO:0051536; GO:0003824; GO:0003824|GO:0051536; GO:0003824|GO:0051536	-
GCA_000008085-CALJACFG_00520	IPR039261; IPR017927; IPR033892; IPR001433; IPR008333; IPR017938	Ferredoxin-NADP reductase (FNR), nucleotide-binding domain; FAD-binding domain, ferredoxin reductase-type; Ferredoxin--NADP reductase, bacteria; Oxidoreductase FAD/NAD(P)-binding; Flavoprotein pyridine nucleotide cytochrome reductase-like, FAD-binding domain; Riboflavin synthase-like beta-barrel	PF00175; PF00970	Oxidoreductase NAD-binding domain; Oxidoreductase FAD-binding domain	GO:0016491|GO:0055114; GO:0004324; GO:0016491|GO:0055114	-
GCA_000008085-CALJACFG_00530	IPR024049; IPR029064; IPR004403; IPR005141; IPR005140; IPR020918; IPR005142	Peptide Chain Release Factor eRF1/aRF1, N-terminal; 50S ribosomal protein L30e-like; Peptide chain release factor eRF1/aRF1; eRF1 domain 2; eRF1 domain 1/Pelota-like; Peptide chain release factor aRF1; eRF1 domain 3	PF03464; PF03463; PF03465	eRF1 domain 2; eRF1 domain 1; eRF1 domain 3	GO:0003747|GO:0005737|GO:0006415; GO:0003747|GO:0005737|GO:0006415; GO:0003747|GO:0005737|GO:0006415	-
GCA_000008085-CALJACFG_00540	IPR010280; IPR030390; IPR029063	(Uracil-5)-methyltransferase family; RNA methyltransferase TrmA, active site; S-adenosyl-L-methionine-dependent methyltransferase	PF05958	tRNA (Uracil-5-)-methyltransferase	GO:0006396|GO:0008173; GO:0006396|GO:0008173; GO:0006396|GO:0008173; GO:0006396|GO:0008173	-
GCA_000008085-CALJACFG_00550	IPR020948	Phosphate-starvation-induced PsiE-like	PF06146	Phosphate-starvation-inducible E	-	-
GCA_000008085-CALJACFG_00560	IPR024909; IPR015803; IPR014729; IPR032678; IPR009080	Cysteinyl-tRNA synthetase/mycothiol ligase; Cysteine-tRNA ligase; Rossmann-like alpha/beta/alpha sandwich fold; tRNA synthetases class I, catalytic domain; Aminoacyl-tRNA synthetase, class Ia, anticodon-binding	PF01406	tRNA synthetases class I (C) catalytic domain	GO:0004817|GO:0005524|GO:0006423; GO:0000166|GO:0004812|GO:0005524|GO:0006418; GO:0004817|GO:0005524|GO:0006423	-
GCA_000008085-CALJACFG_00570	IPR025662; IPR015163; IPR014277; IPR036388; IPR027417; IPR003593; IPR036390; IPR003959	Sigma-54 interaction domain, ATP-binding site 1; Cdc6, C-terminal; Orc1/Cdc6-type DNA replication protein, archaea; Winged helix-like DNA-binding domain superfamily; P-loop containing nucleoside triphosphate hydrolase; AAA+ ATPase domain; Winged helix DNA-binding domain superfamily; ATPase, AAA-type, core	PF09079; PF00004	CDC6, C terminal winged helix domain; ATPase family associated with various cellular activities (AAA)	GO:0005524	-
GCA_000008085-CALJACFG_00580	-	-	-	-	-	-
GCA_000008085-CALJACFG_00590	IPR005680; IPR006032; IPR022863; IPR012340	Ribosomal protein S23, eukaryotic/archaeal; Ribosomal protein S12/S23; Ribosomal protein S12, archaea; Nucleic acid-binding, OB-fold	PF00164	Ribosomal protein S12/S23	GO:0003735|GO:0006412|GO:0015935; GO:0003735|GO:0005622|GO:0005840|GO:0006412; GO:0003735|GO:0005622|GO:0005840|GO:0006412; GO:0003735|GO:0005622|GO:0005840|GO:0006412; GO:0003735|GO:0006412|GO:0015935	-
GCA_000008085-CALJACFG_00600	IPR029060; IPR002716; IPR036612; IPR004087; IPR004088; IPR009019; IPR027417; IPR003593; IPR001482	PIN-like domain superfamily; PIN domain; K Homology domain, type 1 superfamily; K Homology domain; K Homology domain, type 1; K homology domain superfamily, prokaryotic type; P-loop containing nucleoside triphosphate hydrolase; AAA+ ATPase domain; Type II/IV secretion system protein	PF13638; PF00013; PF00437	PIN domain; KH domain; Type II/IV secretion system protein	GO:0003723; GO:0003676; GO:0003723; GO:0003723	-
GCA_000008085-CALJACFG_00610	-	-	-	-	-	-
GCA_000008085-CALJACFG_00620	-	-	-	-	-	-
GCA_000008085-CALJACFG_00630	IPR033895; IPR000715	UDP-GlcNAc-dolichyl-phosphate GlcNAc phosphotransferase; Glycosyl transferase, family 4	PF00953	Glycosyl transferase family 4	GO:0003975|GO:0006487|GO:0006488; GO:0008963|GO:0016021; GO:0003975|GO:0006487|GO:0006488	-
GCA_000008085-CALJACFG_00640	-	-	-	-	-	-
GCA_000008085-CALJACFG_00650	IPR024567; IPR012337; IPR023160; IPR001352; IPR004649; IPR036397; IPR020787	Ribonuclease HII/HIII domain; Ribonuclease H-like superfamily; Ribonuclease HII, helix-loop-helix cap domain superfamily; Ribonuclease HII/HIII; Ribonuclease H2, subunit A; Ribonuclease H superfamily; Ribonuclease HII, archaea	PF01351	Ribonuclease HII	GO:0004523; GO:0003723|GO:0004523; GO:0004523|GO:0016070; GO:0003676; GO:0004523|GO:0005737|GO:0006401|GO:0030145	-
GCA_000008085-CALJACFG_00660	IPR013471; IPR036866; IPR001279	Ribonuclease Z/BN; Ribonuclease Z/Hydroxyacylglutathione hydrolase-like; Metallo-beta-lactamase	PF12706	Beta-lactamase superfamily domain	GO:0016891|GO:0042779; GO:0016891|GO:0042779; GO:0016891|GO:0042779	-
GCA_000008085-CALJACFG_00670	IPR012678; IPR013025; IPR012677; IPR000504	Ribosomal protein L23/L15e core domain superfamily; Ribosomal protein L25/L23; Nucleotide-binding alpha-beta plait domain superfamily; RNA recognition motif domain	PF00076; PF00276	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); Ribosomal protein L23	GO:0003735|GO:0005622|GO:0005840|GO:0006412; GO:0003735|GO:0005840|GO:0006412; GO:0003676; GO:0003735|GO:0005840|GO:0006412	-
GCA_000008085-CALJACFG_00680	-	-	-	-	-	-
GCA_000008085-CALJACFG_00690	-	-	-	-	-	-
GCA_000008085-CALJACFG_00700	IPR001279; IPR036866; IPR014426	Metallo-beta-lactamase; Ribonuclease Z/Hydroxyacylglutathione hydrolase-like; Uncharacterised protein family UPF0282, hydrolase, metallo-beta-lactamase	PF00753	Metallo-beta-lactamase superfamily	-	-
GCA_000008085-CALJACFG_00710	IPR006172; IPR006134; IPR023211; IPR036397; IPR012337; IPR006133	DNA-directed DNA polymerase, family B; DNA-directed DNA polymerase, family B, multifunctional domain; DNA polymerase, palm domain superfamily; Ribonuclease H superfamily; Ribonuclease H-like superfamily; DNA-directed DNA polymerase, family B, exonuclease domain	PF00136; PF03104	DNA polymerase family B; DNA polymerase family B, exonuclease domain	GO:0000166|GO:0003676|GO:0003887; GO:0000166|GO:0003677; GO:0003676; GO:0000166|GO:0003676|GO:0003887; GO:0000166|GO:0003676|GO:0003887	-
GCA_000008085-CALJACFG_00720	IPR001971; IPR036967; IPR019961	Ribosomal protein S11; Ribosomal protein S11 superfamily; Ribosomal protein S11, archaeal	PF00411	Ribosomal protein S11	GO:0003735|GO:0005840|GO:0006412; GO:0003735|GO:0005840|GO:0006412; GO:0003735|GO:0005840|GO:0006412; GO:0003735|GO:0005840|GO:0006412; GO:0003735|GO:0005622|GO:0005840|GO:0006412; GO:0003735|GO:0005840|GO:0006412	-
GCA_000008085-CALJACFG_00730	-	-	-	-	-	-
GCA_000008085-CALJACFG_00740	-	-	-	-	-	-
GCA_000008085-CALJACFG_00750	-	-	-	-	-	-
GCA_000008085-CALJACFG_00760	-	-	-	-	-	-
GCA_000008085-CALJACFG_00770	-	-	-	-	-	-
GCA_000008085-CALJACFG_00780	IPR003439; IPR027417; IPR003593	ABC transporter-like; P-loop containing nucleoside triphosphate hydrolase; AAA+ ATPase domain	PF00005	ABC transporter	GO:0005524|GO:0016887	-
GCA_000008085-CALJACFG_00790	IPR005485; IPR025607	Ribosomal protein L5 eukaryotic/L18 archaeal; Ribosomal protein L5 eukaryotic/L18 archaeal, C-terminal	PF17144; PF14204	Ribosomal large subunit proteins 60S L5, and 50S L18; Ribosomal L18 C-terminal region	GO:0003735|GO:0005622|GO:0005840|GO:0006412|GO:0008097; GO:0003735|GO:0005622|GO:0005840|GO:0006412|GO:0008097; GO:0003735|GO:0005622|GO:0005840|GO:0006412|GO:0008097; GO:0003735|GO:0005622|GO:0005840|GO:0006412|GO:0008097; GO:0003735|GO:0005622|GO:0005840|GO:0006412|GO:0008097; GO:0003735|GO:0005622|GO:0005840|GO:0006412|GO:0008097; GO:0003735|GO:0005622|GO:0005840|GO:0006412|GO:0008097; GO:0003735|GO:0005622|GO:0005840|GO:0006412|GO:0008097	-
GCA_000008085-CALJACFG_00800	IPR033769; IPR015946; IPR022712; IPR036866; IPR001279; IPR019975; IPR011108	KH domain, archaeal; K homology domain-like, alpha/beta; Beta-Casp domain; Ribonuclease Z/Hydroxyacylglutathione hydrolase-like; Metallo-beta-lactamase; KH-domain/beta-lactamase-domain protein, archaea; Zn-dependent metallo-hydrolase, RNA specificity domain	PF17214; PF10996; PF16661; PF07521	KH domain; Beta-Casp domain; Metallo-beta-lactamase superfamily domain; Zn-dependent metallo-hydrolase RNA specificity domain	-	-
GCA_000008085-CALJACFG_00810	IPR006095; IPR006097; IPR006096; IPR036291; IPR033922; IPR014362; IPR033524	Glutamate/phenylalanine/leucine/valine dehydrogenase; Glutamate/phenylalanine/leucine/valine dehydrogenase, dimerisation domain; Glutamate/phenylalanine/leucine/valine dehydrogenase, C-terminal; NAD(P)-binding domain superfamily; NAD(P) binding domain of glutamate dehydrogenase; Glutamate dehydrogenase; Leu/Phe/Val dehydrogenases active site	PF02812; PF00208	Glu/Leu/Phe/Val dehydrogenase, dimerisation domain; Glutamate/Leucine/Phenylalanine/Valine dehydrogenase	GO:0006520|GO:0016491|GO:0055114; GO:0006520|GO:0016491|GO:0055114; GO:0006520|GO:0016491|GO:0055114; GO:0006520|GO:0016491|GO:0055114; GO:0006520|GO:0016491|GO:0055114; GO:0016639; GO:0006520|GO:0016491|GO:0055114; GO:0016639|GO:0055114	-
GCA_000008085-CALJACFG_00820	IPR001719; IPR013022; IPR036237	AP endonuclease 2; Xylose isomerase-like, TIM barrel domain; Xylose isomerase-like superfamily	PF01261	Xylose isomerase-like TIM barrel	GO:0003677|GO:0006281|GO:0008270; GO:0003677|GO:0006281|GO:0008270	-
GCA_000008085-CALJACFG_00830	IPR001233; IPR036025	tRNA-splicing ligase, RtcB; tRNA-splicing ligase RtcB-like superfamily	PF01139	tRNA-splicing ligase RtcB	GO:0006396|GO:0008452; GO:0006396|GO:0008452; GO:0006396|GO:0008452; GO:0006396|GO:0008452	-
GCA_000008085-CALJACFG_00840	IPR036809; IPR023140	AF1782-like superfamily; Domain of unknown function DUF357	PF04010	Protein of unknown function (DUF357)	-	-
GCA_000008085-CALJACFG_00850	-	-	-	-	-	-
GCA_000008085-CALJACFG_00860	-	-	-	-	-	-
GCA_000008085-CALJACFG_00870	-	-	-	-	-	-
GCA_000008085-CALJACFG_00880	IPR000795; IPR009001; IPR031157; IPR004539; IPR004160; IPR009000; IPR027417; IPR005225; IPR004161	Transcription factor, GTP-binding domain; Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal; Tr-type G domain, conserved site; Translation elongation factor EF1A, eukaryotic/archaeal; Translation elongation factor EFTu/EF1A, C-terminal; Translation protein, beta-barrel domain superfamily; P-loop containing nucleoside triphosphate hydrolase; Small GTP-binding protein domain; Translation elongation factor EFTu-like, domain 2	PF00009; PF03143; PF03144	Elongation factor Tu GTP binding domain; Elongation factor Tu C-terminal domain; Elongation factor Tu domain 2	GO:0003924|GO:0005525; GO:0003924|GO:0005525; GO:0003924|GO:0005525; GO:0003924|GO:0005525; GO:0003924|GO:0005525; GO:0003924|GO:0005525; GO:0003924|GO:0005525; GO:0003746|GO:0005525|GO:0005737|GO:0006414; GO:0003746|GO:0005525|GO:0005737|GO:0006414; GO:0005525; GO:0005525	-
GCA_000008085-CALJACFG_00890	IPR027486; IPR001848; IPR036838; IPR018268; IPR005729	Ribosomal protein S10 domain; Ribosomal protein S10; Ribosomal protein S10 domain superfamily; Ribosomal protein S10, conserved site; Ribosomal protein S10, eukaryotic/archaeal	PF00338	Ribosomal protein S10p/S20e	GO:0003735|GO:0005840|GO:0006412; GO:0003735|GO:0005840|GO:0006412; GO:0003723|GO:0003735|GO:0005622|GO:0005840|GO:0006412; GO:0003735|GO:0006412|GO:0015935; GO:0003735|GO:0005840|GO:0006412; GO:0003735|GO:0005840|GO:0006412; GO:0003735|GO:0005840|GO:0006412	-
GCA_000008085-CALJACFG_00900	IPR000644	CBS domain	PF00571	CBS domain	-	-
GCA_000008085-CALJACFG_00910	-	-	-	-	-	-
GCA_000008085-CALJACFG_00920	-	-	-	-	-	-
GCA_000008085-CALJACFG_00930	IPR029060; IPR008918; IPR006086; IPR036279; IPR006084; IPR023426; IPR006085; IPR019973; IPR019974	PIN-like domain superfamily; Helix-hairpin-helix motif, class 2; XPG-I domain; 5'-3' exonuclease, C-terminal domain superfamily; XPG/Rad2 endonuclease; Flap endonuclease 1; XPG N-terminal; Flap structure-specific endonuclease, archaea; XPG conserved site	PF00752; PF00867	XPG N-terminal domain; XPG I-region	GO:0003677|GO:0003824; GO:0004518; GO:0004518|GO:0006281; GO:0004518|GO:0006281; GO:0004518|GO:0006281; GO:0004518|GO:0006281; GO:0004518|GO:0006281; GO:0016788; GO:0004518|GO:0006281; GO:0004518|GO:0006281; GO:0004518; GO:0016788; GO:0004518|GO:0006281; GO:0016788; GO:0016788	-
GCA_000008085-CALJACFG_00940	IPR002904; IPR001412; IPR008925; IPR020751; IPR023386; IPR014729	Lysine-tRNA ligase; Aminoacyl-tRNA synthetase, class I, conserved site; Aminoacyl-tRNA synthetase, class I, anticodon-binding; Aminoacyl-tRNA synthetase, class I, anticodon-binding domain, subdomain 2; Lysine-tRNA ligase, insertion domain superfamily; Rossmann-like alpha/beta/alpha sandwich fold	PF01921	tRNA synthetases class I (K)	GO:0000166|GO:0004824|GO:0005524|GO:0005737|GO:0006430; GO:0000166|GO:0004812|GO:0005524|GO:0006418; GO:0000049; GO:0000166|GO:0004824|GO:0005524|GO:0005737|GO:0006430; GO:0004824; GO:0000166|GO:0004824|GO:0005524|GO:0005737|GO:0006430; GO:0000166|GO:0004824|GO:0005524|GO:0005737|GO:0006430	-
GCA_000008085-CALJACFG_00950	-	-	-	-	-	-
GCA_000008085-CALJACFG_00960	IPR029303	Polysaccharide biosynthesis protein, C-terminal domain	PF14667	Polysaccharide biosynthesis C-terminal domain	-	-
GCA_000008085-CALJACFG_00970	IPR022909; IPR001790	50S ribosomal protein L10, archaea; Ribosomal protein L10P	PF00466	Ribosomal protein L10	GO:0005622|GO:0042254	-
GCA_000008085-CALJACFG_00980	IPR019971; IPR036853; IPR000218	Ribosomal protein L14P, archaeal; Ribosomal protein L14 superfamily; Ribosomal protein L14P	PF00238	Ribosomal protein L14p/L23e	GO:0003735|GO:0005840|GO:0006412; GO:0003735|GO:0005840|GO:0006412; GO:0003735|GO:0005840|GO:0006412; GO:0003735|GO:0005840|GO:0006412; GO:0003735|GO:0005840|GO:0006412; GO:0003735|GO:0005840|GO:0006412	-
GCA_000008085-CALJACFG_00990	-	-	-	-	-	-
GCA_000008085-CALJACFG_01000	-	-	-	-	-	-
GCA_000008085-CALJACFG_01010	IPR022804; IPR031309; IPR031310; IPR022803; IPR002132	Ribosomal protein L5, archaeal; Ribosomal protein L5, C-terminal; Ribosomal protein L5, N-terminal; Ribosomal protein L5 domain superfamily; Ribosomal protein L5	PF00673; PF00281	ribosomal L5P family C-terminus; Ribosomal protein L5	GO:0003735|GO:0005622|GO:0005840|GO:0006412; GO:0003735|GO:0005840|GO:0006412; GO:0003735|GO:0005840|GO:0006412	-
GCA_000008085-CALJACFG_01020	IPR016031; IPR002838	Tryptophan RNA-binding attenuator protein-like domain superfamily; Mitochondrial biogenesis protein AIM24	PF01987	Mitochondrial biogenesis AIM24	-	-
GCA_000008085-CALJACFG_01030	IPR016181; IPR000182; IPR032672	Acyl-CoA N-acyltransferase; GNAT domain; TmcA/NAT10/Kre33	PF13718	GNAT acetyltransferase 2	GO:0008080; GO:0008080	-
GCA_000008085-CALJACFG_01040	IPR016071; IPR035437	Staphylococcal nuclease (SNase-like), OB-fold; SNase-like, OB-fold superfamily	PF00565	Staphylococcal nuclease homologue	-	-
