accession	BinID	NewContigID	OldContigId	ContigIdMerge	ContigNewLength	ContigOldLength	GC	ProteinID	ProteinGC	ProteinLength	Prokka	NCBI_COG	NCBI_COG_Description	PathwayID	Pathway	NCBI_COG_evalue	arcogs	arcogs_geneID	arcogs_Description	Pathway	arcogs_evalue	KO_hmm	e_value	bit_score	bit_score_cutoff	Definition	confidence	PFAM_hmm	PFAM_description	Pfam_Evalue	TIRGR	TIGR_description	EC	TIGR_Evalue	CAZy	CAZy_evalue	Description	TDBD_ID	TPDB_evalue	HydDB	Description	HydDB_evalue	IPR	IPRMdescription	IPR_PFAM	IPR_PFAMdescription	TopHit	E_value	PecID	TaxID	TaxString
GCA_000008085-CALJACFG_00110	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00110	0.073	109	Superoxide reductase	COG2033	Desulfoferrodoxin,_superoxide_reductase-like_(SORL)_domain	C	-	1e-20	arCOG02146	-	Desulfoferredoxin	C	2.5e-29	K05919	1.6e-27	93.2	33.37	superoxide_reductase_[EC:1.15.1.2]	high_score	PF01880	Desulfoferrodoxin	7.6e-29	TIGR00332	desulfoferrodoxin_ferrous_iron-binding_domain	-	3.6e-22	-	-	-	-	-	-	-	-	IPR002742;_IPR036073	Desulfoferrodoxin,_ferrous_iron-binding_domain;_Desulfoferrodoxin,_ferrous_iron-binding_domain_superfamily	PF01880	Desulfoferrodoxin	4BV1_A_Chain_A,_Superoxide_Reductase_(neelaredoxin)_From_Nanoarchaeum_Equitans	5.6e-58	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00120	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00120	0.052	346	hypothetical protein	COG4641	Spore_maturation_protein_CgeB	D	-	1.5e-15	arCOG01409	RfaG	Glycosyltransferase	M	3.8e-58	K21001	2.1e-41	139.3	298.70	polysaccharide_biosynthesis_protein_PslH	-	PF13692	Glycosyl_transferases_group_1	1.8e-17	TIGR03087	sugar_transferase,_PEP-CTERM/EpsH1_system_associated	-	4e-22	-	-	-	-	-	-	-	-	IPR028098	Glycosyltransferase_subfamily_4-like,_N-terminal_domain	PF13692;_PF13439	Glycosyl_transferases_group_1;_Glycosyltransferase_Family_4	AAR38867.1_NEQ012_[Nanoarchaeum_equitans_Kin4-M]	3.2e-192	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00130	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00130	0.08	346	Coenzyme PQQ synthesis protein E	COG0641	Sulfatase_maturation_enzyme_AslB,_radical_SAM_superfamily	O	-	2.9e-41	arCOG00938	-	Radical_SAM_superfamily_enzyme	R	7.7e-40	K22227	1.1e-46	156.5	341.43	heme_synthase	-	PF04055	Radical_SAM_superfamily	6.6e-13	TIGR03470	hopanoid_biosynthesis_associated_radical_SAM_protein_HpnH	-	1.7e-24	-	-	-	-	-	-	-	-	IPR007197;_IPR023885;_IPR034481;_IPR034395;_IPR013785	Radical_SAM;_4Fe4S-binding_SPASM_domain;_Main_SPASM_domain-containing;_SPASM/twitch_domain-containing;_Aldolase-type_TIM_barrel	PF13394;_PF13186;_PF04055	4Fe-4S_single_cluster_domain;_Iron-sulfur_cluster-binding_domain;_Radical_SAM_superfamily	AAR38868.1_NEQ013_[Nanoarchaeum_equitans_Kin4-M]	1.8e-203	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00140	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00140	0.053	315	hypothetical protein	COG1275	Tellurite_resistance_protein_TehA_and_related_permeases	V	-	2.8e-75	arCOG04355	TehA	Tellurite_resistance_protein_or_related_permease	P	5.6e-58	K03304	4e-84	279.4	157.77	tellurite_resistance_protein	high_score	PF03595	Voltage-dependent_anion_channel	5.8e-53	TIGR00816	C4-dicarboxylate_transporter/malic_acid_transport_protein	-	3.7e-44	-	-	-	2.A.16.4.4	6.27e-24	-	-	-	IPR038665;_IPR004695	Voltage-dependent_anion_channel_superfamily;_Voltage-dependent_anion_channel	PF03595	Voltage-dependent_anion_channel	AAR38869.1_NEQ014_[Nanoarchaeum_equitans_Kin4-M]	6.1e-166	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00150	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00150	0.051	352	Flavin-dependent thymidylate synthase	COG1351	Thymidylate_synthase_ThyX,_FAD-dependent_family	F	Thymidylate_biosynthesis	4.4e-54	arCOG01883	THY1	Thymidylate_synthase	F	2.5e-92	K03465	4.6e-40	134.5	51.00	thymidylate_synthase_(FAD)_[EC:2.1.1.148]	high_score	PF02511	Thymidylate_synthase_complementing_protein	1.9e-42	TIGR02170	thymidylate_synthase,_flavin-dependent	2.1.1.148	1.8e-28	-	-	-	-	-	-	-	-	IPR036098;_IPR003669	Thymidylate_synthase_ThyX_superfamily;_Thymidylate_synthase_ThyX	PF02511	Thymidylate_synthase_complementing_protein	AAR38870.1_NEQ015_[Nanoarchaeum_equitans_Kin4-M]	3.7e-204	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00160	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00160	0.028	70	hypothetical protein	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCA_000008085-CALJACFG_00170	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00170	0.047	85	CRISPR-associated endoribonuclease Cas2	COG1343	CRISPR/Cas_system-associated_endoribonuclease_Cas2	V	CRISPR-Cas_system	2.1e-18	arCOG04194	Cas2	CRISPR-associated_protein_Cas2	V	1.1e-17	K09951	1.9e-14	50.8	18.60	CRISPR-associated_protein_Cas2	high_score	PF09827	CRISPR_associated_protein_Cas2	7.4e-19	TIGR01573	CRISPR-associated_endonuclease_Cas2	-	1.7e-15	-	-	-	-	-	-	-	-	IPR021127;_IPR019199	CRISPR-associated_endonuclease_Cas2;_Virulence-associated_protein_D_/_CRISPR_associated_protein_Cas2	PF09827	CRISPR_associated_protein_Cas2	Q74N46.1_RecName:_Full=CRISPR-associated_endoribonuclease_Cas2	7.7e-39	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00180	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00180	0.048	333	CRISPR-associated endonuclease Cas1	COG1518	CRISPR-Cas_system-associated_integrase_Cas1	V	CRISPR-Cas_system	6.9e-72	arCOG01452	Cas1	CRISPR-associated_protein_Cas1	V	3.3e-52	K15342	8.1e-63	210.0	25.77	CRISP-associated_protein_Cas1	high_score	PF01867	CRISPR_associated_protein_Cas1	6.7e-77	TIGR03641	CRISPR-associated_endonuclease_Cas1,_subtype_I-B/HMARI/TNEAP	-	2.3e-119	-	-	-	-	-	-	-	-	IPR002729;_IPR019858	CRISPR-associated_protein_Cas1;_CRISPR-associated_protein_Cas1,_HMARI/TNEAP_subtype	PF01867	CRISPR_associated_protein_Cas1	Q74N45.1_RecName:_Full=CRISPR-associated_endonuclease_Cas1	7.4e-186	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00190	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00190	0.056	425	hypothetical protein	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AAR38873.1_NEQ018_[Nanoarchaeum_equitans_Kin4-M]	3.2e-210	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00200	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00200	0.055	322	hypothetical protein	COG1857	CRISPR-Cas_system_type_I_effector_complex_subunit_Cas7,__RAMP_superfamily	V	CRISPR-Cas_system	2.2e-37	arCOG03617	Cas7	CRISPR-Cas_system_related_protein_Cas7,_RAMP_superfamily	V	4e-36	K19075	3.6e-49	164.6	114.10	CRISPR-associated_protein_Cst2	high_score	PF01905	CRISPR-associated_negative_auto-regulator_DevR/Csa2	1.6e-16	TIGR02585	CRISPR-associated_protein_Cas7/Cst2/DevR,_subtype_I-B/TNEAP	-	2.1e-81	-	-	-	-	-	-	-	-	IPR010154;_IPR013414	CRISPR-associated_protein_Cas7/Cst2/DevR;_CRISPR-associated_protein_Cas7,__subtype_I-B/Tneap	PF01905	CRISPR-associated_negative_auto-regulator_DevR/Csa2	AAR38874.1_NEQ019_[Nanoarchaeum_equitans_Kin4-M]	2.3e-176	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00210	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00210	0.064	234	hypothetical protein	-	-	-	-	-	arCOG02758	Cas5	CRISPR-Cas_system_related_protein_Cas5,_RAMP_superfamily	V	9e-40	K19116	5e-14	49.8	101.73	CRISPR-associated_protein_Cas5h	-	-	-	-	TIGR02593	CRISPR-associated_protein_Cas5	-	9.6e-12	-	-	-	-	-	-	-	-	IPR013422	CRISPR-associated_protein_Cas5,_N-terminal	-	-	AAR38875.1_NEQ020_[Nanoarchaeum_equitans_Kin4-M]	1.9e-132	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00220	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00220	0.043	755	CRISPR-associated nuclease/helicase Cas3	COG1203	CRISPR-Cas_type_I_system-associated_endonuclease/helicase_Cas3	V	CRISPR-Cas_system	4.4e-109	arCOG01445	Cas3	CRISPR-associated_helicase_Cas3	V	1e-145	K07012	1.3e-107	357.9	143.63	CRISPR-associated_endonuclease/helicase_Cas3_[EC:3.1.-.-_3.6.4.-]	high_score	PF00270	DEAD/DEAH_box_helicase	3.8e-13	TIGR01587	CRISPR-associated_helicase_Cas3	-	4.3e-79	-	-	-	-	-	-	-	-	IPR001650;_IPR038257;_IPR035011;_IPR011545;_IPR006474;_IPR014001;_IPR006483;_IPR027417	Helicase,_C-terminal;_CRISPR-associated_Cas3-type_HD_domain_superfamily;_CRISPR-associated_endonuclease/helicase_Cas3;_DEAD/DEAH_box_helicase_domain;_Helicase_Cas3,_CRISPR-associated,_core;_Helicase_superfamily_1/2,_ATP-binding_domain;_CRISPR-associated__Cas3-type_HD_domain;_P-loop_containing_nucleoside_triphosphate_hydrolase	PF00271;_PF00270	Helicase_conserved_C-terminal_domain;_DEAD/DEAH_box_helicase	AAR38876.1_NEQ022_[Nanoarchaeum_equitans_Kin4-M]	0.0e+00	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00230	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00230	0.059	168	hypothetical protein	COG1468	CRISPR/Cas_system-associated_exonuclease_Cas4,_RecB_family	V	CRISPR-Cas_system	1.2e-23	arCOG00794	Cas4	CRISPR-associated_protein_Cas4,_RecB_family_nuclease	V	3.1e-54	K07464	1.2e-20	71.5	71.13	CRISPR-associated_exonuclease_Cas4_[EC:3.1.12.1]	high_score	PF01930	Domain_of_unknown_function_DUF83	1.2e-52	TIGR00372	CRISPR-associated_protein_Cas4	-	9.2e-24	-	-	-	-	-	-	-	-	IPR011604;_IPR022765;_IPR013343	Exonuclease,_phage-type/RecB,_C-terminal;_Dna2/Cas4,_domain_of_unknown_function_DUF83;_CRISPR-associated_protein_Cas4	PF01930	Domain_of_unknown_function_DUF83	AAR38877.1_NEQ021_[Nanoarchaeum_equitans_Kin4-M]	1.2e-91	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00240	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00240	0.07	85	hypothetical protein	COG0612	Predicted_Zn-dependent_peptidase,_M16_family	R	-	1e-15	arCOG04065	PqqL	Zn-dependent_peptidase	R	5e-10	K07263	2.1e-16	57.0	276.73	zinc_protease_[EC:3.4.24.-]	-	PF00675	Insulinase_(Peptidase_family_M16)	1.6e-15	-	-	-	-	-	-	-	-	-	-	-	-	IPR011765;_IPR011249	Peptidase_M16,_N-terminal;_Metalloenzyme,_LuxS/M16_peptidase-like	PF00675	Insulinase_(Peptidase_family_M16)	PVU68831.1_hypothetical_protein_DDW03_00620_[Candidatus_Nanobsidianus_stetteri]	5.6e-13	54.3	1294122	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanopusillaceae,Candidatus_Nanobsidianus,Candidatus_Nanobsidianus_stetteri
GCA_000008085-CALJACFG_00250	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00250	0.067	297	hypothetical protein	COG0612	Predicted_Zn-dependent_peptidase,_M16_family	R	-	3.8e-30	arCOG04065	PqqL	Zn-dependent_peptidase	R	1.1e-73	K07263	1.7e-31	106.8	276.73	zinc_protease_[EC:3.4.24.-]	-	PF05193	Peptidase_M16_inactive_domain	1.1e-15	-	-	-	-	-	-	-	-	-	-	-	-	IPR011249;_IPR007863	Metalloenzyme,_LuxS/M16_peptidase-like;_Peptidase_M16,_C-terminal	PF05193	Peptidase_M16_inactive_domain	AAR38878.1_NEQ023_[Nanoarchaeum_equitans_Kin4-M]	2.2e-165	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00260	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00260	0.071	365	Sulfide-quinone reductase	COG1252	NADH_dehydrogenase,_FAD-containing_subunit	C	-	1.3e-50	arCOG01065	HcaD	NAD(FAD)-dependent_dehydrogenase	R	2.5e-106	K17218	3.2e-59	197.8	212.37	sulfide:quinone_oxidoreductase_[EC:1.8.5.4]	-	PF07992	Pyridine_nucleotide-disulphide_oxidoreductase	9.7e-21	TIGR03169	pyridine_nucleotide-disulfide_oxidoreductase_family_protein	-	6.9e-12	-	-	-	-	-	-	-	-	IPR036188;_IPR023753	FAD/NAD(P)-binding_domain_superfamily;_FAD/NAD(P)-binding_domain	PF07992	Pyridine_nucleotide-disulphide_oxidoreductase	AAR38879.1_NEQ024_[Nanoarchaeum_equitans_Kin4-M]	1.9e-211	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00270	GCA_000008085	CALJACFG_1	AE017199.1	GCA_000008085_contig_1	490885	490885	0.315	CALJACFG_00270	0.046	257	Bifunctional protein GlmU	COG1208	NDP-sugar_pyrophosphorylase,_includes_eIF-2Bgamma,_eIF-2Bepsilon,_and_LPS_biosynthesis_protein_s	JM	-	2.2e-39	arCOG00666	GCD1	N-acetylglucosamine-1-phosphate_uridyltransferase	M	1.6e-38	K00973	7e-42	140.8	243.07	glucose-1-phosphate_thymidylyltransferase_[EC:2.7.7.24]	-	PF00483	Nucleotidyl_transferase	6.1e-38	TIGR03992	UDP-N-acetylglucosamine_diphosphorylase/glucosamine-1-phosphate_N-acetyltransferase	2.7.7.23|2.3.1.157	1.2e-28	-	-	-	-	-	-	-	-	IPR029044;_IPR005835	Nucleotide-diphospho-sugar_transferases;_Nucleotidyl_transferase_domain	PF00483	Nucleotidyl_transferase	AAR38880.1_NEQ025_[Nanoarchaeum_equitans_Kin4-M]	4.1e-144	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
