accession	arcogs	arcogs_geneID	arcogs_Description	Pathway	arcogs_evalue
GCA_000008085-CALJACFG_00800	arCOG00543	-	Predicted_metal-dependent_RNase,_consists_of_a_metallo-beta-lactamase_domain_and_an_RNA-binding_KH_domain	R	1.4e-165
GCA_000008085-CALJACFG_00810	arCOG01352	GdhA	Glutamate_dehydrogenase/leucine_dehydrogenase	E	1.1e-124
GCA_000008085-CALJACFG_00820	arCOG01894	Nfo	Endonuclease_IV	L	9.4e-59
GCA_000008085-CALJACFG_00830	arCOG04246	RtcB	RNA_3'-P_ligase,_RtcB_family_protein	J	3.7e-130
GCA_000008085-CALJACFG_00840	-	-	-	-	-
GCA_000008085-CALJACFG_00850	-	-	-	-	-
GCA_000008085-CALJACFG_00860	-	-	-	-	-
GCA_000008085-CALJACFG_00870	-	-	-	-	-
GCA_000008085-CALJACFG_00880	arCOG01561	TEF1	Translation_elongation_factor_EF-1_alpha,__GTPase	J	2.5e-154
GCA_000008085-CALJACFG_00890	arCOG01758	RpsJ	Ribosomal_protein_S10	J	2.5e-27
GCA_000008085-CALJACFG_00900	arCOG00601	-	Protein_containing_two_CBS_domains_(some_fused_to_C-terminal_double-stranded_RNA-binding_domain_of_RaiA_family)	R	5.9e-34
GCA_000008085-CALJACFG_00910	-	-	-	-	-
GCA_000008085-CALJACFG_00920	arCOG00368	SbcC	ATPase_involved_in_DNA_repair,_SbcC	L	5.2e-08
GCA_000008085-CALJACFG_00930	arCOG04050	FEN1	5'-3'_exonuclease	L	1.9e-55
GCA_000008085-CALJACFG_00940	arCOG00485	LysS	Lysyl-tRNA_synthetase,_class_I	J	1.4e-155
GCA_000008085-CALJACFG_00950	-	-	-	-	-
GCA_000008085-CALJACFG_00960	arCOG02209	AglR	MATE_family_membrane_protein,_Rfbx_family,_flippase	M	1.6e-46
GCA_000008085-CALJACFG_00970	arCOG04288	RplJ	Ribosomal_protein_L10	J	4.6e-54
GCA_000008085-CALJACFG_00980	arCOG04095	RplN	Ribosomal_protein_L14	J	3.8e-39
GCA_000008085-CALJACFG_00990	-	-	-	-	-
GCA_000008085-CALJACFG_01000	-	-	-	-	-
GCA_000008085-CALJACFG_01010	arCOG04092	RplE	Ribosomal_protein_L5	J	3.5e-53
GCA_000008085-CALJACFG_01020	-	-	-	-	-
GCA_000008085-CALJACFG_01030	arCOG01951	TmcA	tRNA(Met)_C34_N-acetyltransferase_TmcA	J	2.9e-76
GCA_000008085-CALJACFG_01040	arCOG03192	-	Endonuclease_YncB,_thermonuclease_family	L	4.6e-22
GCA_000008085-CALJACFG_01050	arCOG02037	-	Sugar-specific_transcriptional_regulator_TrmB	K	1.9e-35
GCA_000008085-CALJACFG_01060	-	-	-	-	-
GCA_000008085-CALJACFG_01070	-	-	-	-	-
GCA_000008085-CALJACFG_01080	arCOG04372	RplK	Ribosomal_protein_L11	J	3.6e-46
GCA_000008085-CALJACFG_01090	arCOG00868	NtpA	Archaeal/vacuolar-type_H+-ATPase_subunit_A	C	1.2e-195
GCA_000008085-CALJACFG_01100	arCOG00404	HisS	Histidyl-tRNA_synthetase	J	5.6e-81
GCA_000008085-CALJACFG_01110	arCOG00427	RecJ/Cdc45	Single-stranded_DNA-specific_exonuclease_RecJ	L	7.9e-13
GCA_000008085-CALJACFG_01120	arCOG01946	RPS6A	Ribosomal_protein_S6E/S10	J	1.3e-27
GCA_000008085-CALJACFG_01130	-	-	-	-	-
GCA_000008085-CALJACFG_01140	arCOG01741	PelA	Release_factor_eRF1	J	2.6e-20
GCA_000008085-CALJACFG_01150	arCOG01219	TRM1	N2,N2-dimethylguanosine_tRNA_methyltransferase	J	6.3e-74
GCA_000008085-CALJACFG_01160	arCOG01937	-	Archaeal_serine_protease,_S18_family	R	3.9e-54
GCA_000008085-CALJACFG_01170	arCOG01574	Rrp42	Exosome_complex_RNA-binding_protein_Rrp42,_RNase_PH_superfamily	J	2.3e-45
GCA_000008085-CALJACFG_01180	arCOG00358	DRG	Ribosome-interacting_GTPase_1	J	1.5e-53
GCA_000008085-CALJACFG_01190	arCOG01042	-	Exosome_subunit,_RNA_binding_protein_with_dsRBD_fold	J	4.3e-13
GCA_000008085-CALJACFG_01200	arCOG04430	-	HD_superfamily_phosphohydrolase	R	3e-65
GCA_000008085-CALJACFG_01210	arCOG01887	TrpS	Tryptophanyl-tRNA_synthetase	J	7.4e-90
GCA_000008085-CALJACFG_01220	-	-	-	-	-
GCA_000008085-CALJACFG_01230	arCOG00424	-	DHH_superfamily_phosphohydrolase/exonuclease	L	7.6e-72
GCA_000008085-CALJACFG_01240	arCOG01038	Fap7	Broad-specificity_NMP_kinase	F	3.2e-31
GCA_000008085-CALJACFG_01250	arCOG00589	FlhG	FleN_family_ATPase_involved_in_pili_biosynthesis	N	2.1e-41
GCA_000008085-CALJACFG_01260	-	-	-	-	-
GCA_000008085-CALJACFG_01270	-	-	-	-	-
GCA_000008085-CALJACFG_01280	-	-	-	-	-
GCA_000008085-CALJACFG_01290	arCOG00499	-	Metal-dependent_hydrolase_of_the_beta-lactamase_superfamily	R	8.7e-39
GCA_000008085-CALJACFG_01300	arCOG00989	Tgt	Queuine/archaeosine_tRNA-ribosyltransferase	J	2.5e-87
GCA_000008085-CALJACFG_01310	arCOG00078	NOP1	Fibrillarin-like_rRNA_methylase	J	1.3e-71
GCA_000008085-CALJACFG_01320	arCOG01924	AnsB	L-asparaginase/archaeal_Glu-tRNAGln_amidotransferase_subunit_D	E	5.2e-90
GCA_000008085-CALJACFG_01330	arCOG00463	-	Uri_superfamily_endonuclease	L	2.3e-31
GCA_000008085-CALJACFG_01340	arCOG01188	-	Predicted_carbamoyl_transferase,_NodU_family	R	5.9e-187
GCA_000008085-CALJACFG_01350	arCOG01378	-	Uncharacterized_protein_of_the_AP_superfamily	R	1.4e-56
GCA_000008085-CALJACFG_01360	arCOG01179	InfA	Translation_initiation_factor_1_(IF-1)	J	5.7e-18
GCA_000008085-CALJACFG_01370	arCOG01715	SufB	Cysteine_desulfurase_activator_SufB	O	2.7e-21
GCA_000008085-CALJACFG_01380	arCOG04318	-	Predicted_RNA-binding_protein_of_the_translin_family	J	1.4e-42
GCA_000008085-CALJACFG_01390	arCOG02201	FtsZ1_2	Cell_division_GTPase	D	3.3e-93
GCA_000008085-CALJACFG_01400	-	-	-	-	-
GCA_000008085-CALJACFG_01410	-	-	-	-	-
GCA_000008085-CALJACFG_01420	-	-	-	-	-
GCA_000008085-CALJACFG_01430	-	-	-	-	-
GCA_000008085-CALJACFG_01440	-	-	-	-	-
GCA_000008085-CALJACFG_01450	-	-	-	-	-
GCA_000008085-CALJACFG_01460	-	-	-	-	-
GCA_000008085-CALJACFG_01470	-	-	-	-	-
GCA_000008085-CALJACFG_01480	arCOG01257	GroEL	Chaperonin_GroEL,_HSP60_family	O	6.9e-231
GCA_000008085-CALJACFG_01490	arCOG01165	-	DNA_topoisomerase_VI,_subunit_B	L	5.8e-152
GCA_000008085-CALJACFG_01500	arCOG01863	MBF1	Ribosome-binding_protein_aMBF1,_translation_factor,_contains_Zn-ribbon_and_HTH_domains	J	8.9e-25
GCA_000008085-CALJACFG_01510	arCOG04071	RplD	Ribosomal_protein_L4	J	1.5e-75
GCA_000008085-CALJACFG_01520	-	-	-	-	-
GCA_000008085-CALJACFG_01530	arCOG04214	-	Thiamine_monophosphate_synthetase_YjbQ,_ThiE_analog	H	1.3e-41
GCA_000008085-CALJACFG_01540	arCOG01356	-	Radical_SAM_superfamily_enzyme	C	4e-81
GCA_000008085-CALJACFG_01550	arCOG04179	PDCD5	DNA-binding_TFAR19-related_protein,_PDSD5_family	R	1.6e-12
GCA_000008085-CALJACFG_01560	arCOG01039	AdkA	Archaeal_adenylate_kinase	F	9.9e-30
GCA_000008085-CALJACFG_01570	-	-	-	-	-
GCA_000008085-CALJACFG_01580	arCOG04249	CCA1	tRNA_nucleotidyltransferase_(CCA-adding_enzyme)	J	1.2e-60
GCA_000008085-CALJACFG_01590	-	-	-	-	-
GCA_000008085-CALJACFG_01600	-	-	-	-	-
GCA_000008085-CALJACFG_01610	arCOG02044	AglB	Oligosaccharyltransferase_membrane_subunit	M	5.4e-68
GCA_000008085-CALJACFG_01620	arCOG01762	RpoB/Rpo2	DNA-directed_RNA_polymerase_subunit_B	K	4.1e-157
GCA_000008085-CALJACFG_01630	arCOG00352	Nog1	GTP-binding_protein,_GTP1/Obg_family	R	2.1e-62
GCA_000008085-CALJACFG_01640	arCOG00398	-	ASCH_domain,_predicted_RNA-binding_domain	J	6.1e-55
GCA_000008085-CALJACFG_01650	-	-	-	-	-
GCA_000008085-CALJACFG_01660	arCOG04702	-	Phospholipid-binding_protein	R	7e-29
GCA_000008085-CALJACFG_01670	arCOG01994	SpoIIM	Uncharacterized_membrane_protein,_a_component_of_a_putative_membrane_remodelling_system	R	1.3e-08
GCA_000008085-CALJACFG_01680	arCOG02642	PerM	Predicted_PurR-regulated_permease_PerM	R	6.7e-49
GCA_000008085-CALJACFG_01690	-	-	-	-	-
GCA_000008085-CALJACFG_01700	-	-	-	-	-
GCA_000008085-CALJACFG_01710	-	-	-	-	-
GCA_000008085-CALJACFG_01720	-	-	-	-	-
GCA_000008085-CALJACFG_01730	arCOG00910	-	Predicted_RNA_methylase	J	8.8e-28
GCA_000008085-CALJACFG_01740	arCOG04101	NtpD	Archaeal/vacuolar-type_H+-ATPase_subunit_D	C	5.4e-29
GCA_000008085-CALJACFG_01750	arCOG04169	SecY	Preprotein_translocase_subunit_SecY	U	2.6e-76
GCA_000008085-CALJACFG_01760	arCOG00469	RFCS	Clamp_loader_ATPase,_small_subunit	L	1.3e-113
GCA_000008085-CALJACFG_01770	arCOG01817	FlaI	ATPase_involved_in_archaellum/pili_biosynthesis	N	2.3e-162
GCA_000008085-CALJACFG_01780	-	-	-	-	-
GCA_000008085-CALJACFG_01790	arCOG01385	-	Glycosyl_transferase_family_2	M	5.7e-28
GCA_000008085-CALJACFG_01800	arCOG01762	RpoB/Rpo2	DNA-directed_RNA_polymerase_subunit_B	K	6.6e-121
GCA_000008085-CALJACFG_01810	arCOG02312	SalY	ABC-type_antimicrobial_peptide_transport_system,_permease_component	V	5.2e-77
GCA_000008085-CALJACFG_01820	arCOG01171	KaiC	KaiC_family_ATPase_implicated_in_signal_transduction	T	4.4e-75
GCA_000008085-CALJACFG_01830	arCOG04183	RPS27AE	Ribosomal_protein_S27AE	J	1.7e-21
GCA_000008085-CALJACFG_01840	arCOG00401	ThrS	Threonyl-tRNA_synthetase	J	1.3e-151
GCA_000008085-CALJACFG_01850	arCOG04167	RPL14A	Ribosomal_protein_L14E/L6E/L27E	J	4.9e-35
GCA_000008085-CALJACFG_01860	arCOG01752	RPL30	Ribosomal_protein_L30E	J	1.4e-20
GCA_000008085-CALJACFG_01870	arCOG01760	NusA	Transcription_elongation_factor	K	3e-20
GCA_000008085-CALJACFG_01880	arCOG04111	RPB11	DNA-directed_RNA_polymerase,_subunit_L	K	6.8e-17
GCA_000008085-CALJACFG_01890	arCOG04209	RPL15A	Ribosomal_protein_L15E	J	5.3e-56
GCA_000008085-CALJACFG_01900	arCOG04109	RPL42A	Ribosomal_protein_L44E	J	2e-24
GCA_000008085-CALJACFG_01910	arCOG00678	Rrp4	Exosome_complex_RNA-binding_protein_Rrp4,_contains_S1_and_KH_domains	J	2.9e-37
GCA_000008085-CALJACFG_01920	arCOG01718	GatB	Asp-tRNAAsn/Glu-tRNAGln_amidotransferase_B_subunit	J	3.5e-117
GCA_000008085-CALJACFG_01930	arCOG01306	RPT1	ATP-dependent_26S_proteasome_regulatory_subunit	O	9.5e-121
GCA_000008085-CALJACFG_01940	-	-	-	-	-
GCA_000008085-CALJACFG_01950	arCOG01344	RPS19A	Ribosomal_protein_S19E_(S16A)	J	6.4e-41
GCA_000008085-CALJACFG_01960	arCOG02297	IlvE	Branched-chain_amino_acid_aminotransferase/4-amino-4-deoxychorismate_lyase	E	3.2e-70
GCA_000008085-CALJACFG_01970	arCOG00626	TlyC	Hemolysins_or_related_protein_containing_CBS_domains	R	1.8e-79
GCA_000008085-CALJACFG_01980	arCOG00312	AhpC	AhpC/TSA_family_peroxiredoxin	O	3.7e-88
GCA_000008085-CALJACFG_01990	-	-	-	-	-
GCA_000008085-CALJACFG_02000	arCOG00255	PheA	Prephenate_dehydratase	E	4.2e-67
GCA_000008085-CALJACFG_02010	arCOG01403	AglL	Glycosyltransferase	M	1.6e-55
GCA_000008085-CALJACFG_02020	-	-	-	-	-
GCA_000008085-CALJACFG_02030	-	-	-	-	-
GCA_000008085-CALJACFG_02040	arCOG01568	MscS	Small-conductance_mechanosensitive_channel	M	2.3e-66
GCA_000008085-CALJACFG_02050	arCOG00075	CysH	3'-phosphoadenosine_5'-phosphosulfate_sulfotransferase_(PAPS_reductase)/FAD_synthetase_or_related_enzyme	E	1e-12
GCA_000008085-CALJACFG_02060	arCOG01510	RPA1	Single-stranded_DNA-binding_replication_protein_A_(RPA),_large_(70_kD)_subunit_or_related_ssDNA-binding_protein	L	5.5e-15
GCA_000008085-CALJACFG_02070	-	-	-	-	-
GCA_000008085-CALJACFG_02080	arCOG04287	RPP1A	Ribosomal_protein_L12E/L44/L45/RPP1/RPP2	J	2e-31
GCA_000008085-CALJACFG_02090	arCOG04098	RplV	Ribosomal_protein_L22	J	4.6e-33
GCA_000008085-CALJACFG_02100	arCOG00970	PRE1	20S_proteasome,_beta_subunit	O	6.5e-48
GCA_000008085-CALJACFG_02110	arCOG01701	SEN2	tRNA_splicing_endonuclease	J	5.1e-21
GCA_000008085-CALJACFG_02120	arCOG01268	Rpo6/RpoZ	DNA-directed_RNA_polymerase_subunit_K/omega	K	7.7e-16
GCA_000008085-CALJACFG_02130	arCOG00985	Tma20	Predicted_RNA-binding_protein,_contains_PUA_domain	J	5.7e-30
GCA_000008085-CALJACFG_02140	arCOG00487	ArgS	Arginyl-tRNA_synthetase	J	1.9e-91
GCA_000008085-CALJACFG_02150	arCOG04242	RplM	Ribosomal_protein_L13	J	5.7e-42
GCA_000008085-CALJACFG_02160	-	-	-	-	-
GCA_000008085-CALJACFG_02170	arCOG00402	ProS	Prolyl-tRNA_synthetase	J	7e-170
GCA_000008085-CALJACFG_02180	arCOG00721	Nob1	Endonuclease_Nob1,_consists_of_a_PIN_domain_and_a_Zn-ribbon_module	J	5.1e-22
GCA_000008085-CALJACFG_02190	arCOG01255	AlaS	Alanyl-tRNA_synthetase	J	6.1e-124
GCA_000008085-CALJACFG_02200	arCOG00419	Hit	HIT_family_hydrolase	F	1.7e-34
GCA_000008085-CALJACFG_02210	-	-	-	-	-
GCA_000008085-CALJACFG_02220	arCOG02080	-	S-layer_domain	M	9.6e-11
GCA_000008085-CALJACFG_02230	-	-	-	-	-
GCA_000008085-CALJACFG_02240	-	-	-	-	-
GCA_000008085-CALJACFG_02250	arCOG02455	AtpK	Archaeal/vacuolar-type_Na+/H+-ATPase,_subunit_K	C	4.1e-18
GCA_000008085-CALJACFG_02260	-	-	-	-	-
GCA_000008085-CALJACFG_02270	arCOG04108	RPS27A	Ribosomal_protein_S27E	J	4.3e-08
GCA_000008085-CALJACFG_02280	arCOG01988	EFB1	Translation_elongation_factor_EF-1beta	J	1.8e-15
GCA_000008085-CALJACFG_02290	-	-	-	-	-
GCA_000008085-CALJACFG_02300	-	-	-	-	-
GCA_000008085-CALJACFG_02310	arCOG01700	SpeB	Arginase_family_enzyme	E	9.5e-33
GCA_000008085-CALJACFG_02320	-	-	-	-	-
GCA_000008085-CALJACFG_02330	-	-	-	-	-
GCA_000008085-CALJACFG_02340	-	-	-	-	-
GCA_000008085-CALJACFG_02350	arCOG04112	DPH2	Diphthamide_synthase_subunit_DPH2	J	6e-45
GCA_000008085-CALJACFG_02360	arCOG00782	RpsN	Ribosomal_protein_S14	J	8.4e-24
GCA_000008085-CALJACFG_02370	arCOG01580	-	DNA-binding_transcriptional_regulator,_Lrp_family	K	1.2e-26
GCA_000008085-CALJACFG_02380	arCOG00033	Trm5	Wybutosine_(yW)_biosynthesis_enzyme_Trm5,_tRNA_(guanine)_methyltransferase	J	7.1e-62
GCA_000008085-CALJACFG_02390	arCOG00807	IleS	Isoleucyl-tRNA_synthetase	J	6.9e-272
GCA_000008085-CALJACFG_02400	arCOG04077	Spt4	Transcription_elongation_factor_Spt4/RpoE2,_zinc_finger_protein	K	1.7e-17
GCA_000008085-CALJACFG_02410	-	-	-	-	-
GCA_000008085-CALJACFG_02420	arCOG02742	-	Uncharacterized_membrane_anchored_protein_with_extracellular_vWF_domain_and_Ig-like_domain	R	2.2e-06
GCA_000008085-CALJACFG_02430	arCOG00434	-	AAA+_ATPase_of_MoxR-like_family,_a_component_of_a_putative_secretion_system	N	1.7e-87
GCA_000008085-CALJACFG_02440	arCOG04149	NMD3	NMD_protein_affecting_ribosome_stability_and_mRNA_decay	J	4.5e-29
GCA_000008085-CALJACFG_02450	arCOG01144	CpdA	3',5'-cyclic_AMP_phosphodiesterase_CpdA	T	3.2e-08
GCA_000008085-CALJACFG_02460	-	-	-	-	-
GCA_000008085-CALJACFG_02470	arCOG00109	HemK	Methylase_of_polypeptide_chain_release_factors	J	7.2e-33
GCA_000008085-CALJACFG_02480	arCOG00809	LeuS	Leucyl-tRNA_synthetase	J	1.2e-192
GCA_000008085-CALJACFG_02490	arCOG04455	HYS2	Archaeal_DNA_polymerase_II,_small_subunit/DNA_polymerase_delta,_subunit_B	L	2.3e-131
GCA_000008085-CALJACFG_02500	arCOG04090	RplF	Ribosomal_protein_L6P	J	1.9e-48
GCA_000008085-CALJACFG_02510	arCOG04254	RpsG	Ribosomal_protein_S7	J	4.4e-68
GCA_000008085-CALJACFG_02520	-	-	-	-	-
GCA_000008085-CALJACFG_02530	arCOG01719	GatE	Archaeal_Glu-tRNAGln_amidotransferase_subunit_E_(contains_GAD_domain)	J	2.1e-97
GCA_000008085-CALJACFG_02540	arCOG04228	Pth2	Peptidyl-tRNA_hydrolase	J	3.4e-35
GCA_000008085-CALJACFG_02550	-	-	-	-	-
GCA_000008085-CALJACFG_02560	arCOG04239	RpsD	Ribosomal_protein_S4_or_related_protein	J	5.6e-56
GCA_000008085-CALJACFG_02570	arCOG01575	Rph/Rrp42	Ribonuclease_PH	J	1.9e-59
GCA_000008085-CALJACFG_02580	-	-	-	-	-
GCA_000008085-CALJACFG_02590	-	-	-	-	-
GCA_000008085-CALJACFG_02600	arCOG00808	ValS	Valyl-tRNA_synthetase	J	5.9e-182
GCA_000008085-CALJACFG_02610	-	-	-	-	-
GCA_000008085-CALJACFG_02620	-	-	-	-	-
GCA_000008085-CALJACFG_02630	arCOG00368	SbcC	ATPase_involved_in_DNA_repair,_SbcC	L	2e-58
GCA_000008085-CALJACFG_02640	-	-	-	-	-
GCA_000008085-CALJACFG_02650	arCOG04094	RplX	Ribosomal_protein_L24	J	3.4e-30
GCA_000008085-CALJACFG_02660	arCOG02155	-	Protein_implicated_in_RNA_metabolism,_contains_PRC-barrel_domain	R	5.1e-13
GCA_000008085-CALJACFG_02670	-	-	-	-	-
GCA_000008085-CALJACFG_02680	arCOG04500	-	Predicted_multidomain_toxin,_contains_delivery_and_Rnase_A_domain	V	7.6e-06
GCA_000008085-CALJACFG_02690	arCOG01701	SEN2	tRNA_splicing_endonuclease	J	1.8e-08
GCA_000008085-CALJACFG_02700	-	-	-	-	-
GCA_000008085-CALJACFG_02710	arCOG00785	RpmC	Ribosomal_protein_L29	J	7.7e-08
GCA_000008085-CALJACFG_02720	arCOG04223	SUI1	Translation_initiation_factor_1_(eIF-1/SUI1)	J	6.8e-17
